name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"958,784,000,000","873,729,000,000","817,729,000,000","707,794,000,000","702,095,000,000","620,854,000,000","552,257,000,000","526,186,000,000","484,931,000,000","427,452,000,000","392,647,000,000","372,229,000,000","297,119,000,000","267,399,000,000","273,160,000,000","248,437,000,000","198,325,000,000","188,874,000,000","180,559,000,000","169,544,000,000","162,752,000,000","135,792,000,000","131,416,000,000","122,237,000,000","56,110,900,000","43,409,500,000","29,928,800,000","21,338,200,000","19,520,500,000","16,944,800,000","14,461,900,000","10,670,400,000"
	TotalInvestments,"463,814,000,000","428,384,000,000","365,566,000,000","307,766,000,000","301,133,000,000","190,212,000,000","194,524,000,000","190,775,000,000","188,643,000,000","152,576,000,000","139,106,000,000","126,033,000,000","140,282,000,000","116,182,000,000","118,929,000,000","102,248,000,000","94,592,000,000","69,022,000,000","87,499,000,000","101,452,000,000","100,705,000,000","70,186,000,000","69,730,000,000","61,007,000,000","46,545,500,000","34,197,500,000",,,,,,
		FixedMaturityInvestments,"16,434,000,000","20,410,000,000","18,685,000,000","19,898,000,000","21,353,000,000","408,000,000","411,000,000",,,"842,000,000",,"1,080,000,000",,,,,,,"35,919,000,000",,"1,813,000,000",,,,,,,,,,,
		EquityInvestments,"350,719,000,000","281,170,000,000","248,027,000,000","172,757,000,000","164,026,000,000","120,471,000,000","110,212,000,000","116,828,000,000","116,970,000,000","86,467,000,000","108,251,000,000","59,819,000,000","93,693,000,000","80,705,000,000","106,570,000,000","89,845,000,000","46,721,000,000","69,022,000,000","35,287,000,000","28,363,000,000","28,675,000,000","70,186,000,000","69,730,000,000","61,007,000,000","46,545,500,000","34,197,500,000",,,,,,
		TradingAssets,,,,,,,,,,,,,,,,,,,"4,519,000,000","6,582,000,000","2,252,000,000",,,,,,,,,,,
		NetLoan,"20,751,000,000","19,201,000,000","17,527,000,000","16,280,000,000","13,748,000,000","13,300,000,000","12,772,000,000","12,566,000,000","12,826,000,000","12,809,000,000","13,934,000,000","15,226,000,000","13,989,000,000","13,942,000,000","12,359,000,000","11,498,000,000","11,087,000,000",,"4,951,000,000","3,863,000,000","6,262,000,000",,,,,,,,,,,
			LoansReceivable,,,"17,527,000,000","16,280,000,000","13,748,000,000","13,300,000,000","12,772,000,000","12,566,000,000","12,826,000,000","12,809,000,000",,"15,226,000,000","13,989,000,000","13,942,000,000","12,359,000,000","11,498,000,000","11,087,000,000",,,"3,863,000,000","6,262,000,000",,,,,,,,,,,
		DerivativeAssets,,,,,,,,,,,,,,,,,"801,000,000",,,,,,,,,,,,,,,
		SecurityAgreeToBeResell,,,,,,,,,,,,,,,,,,,,,"333,000,000",,,,,,,,,,,
		LongTermEquityInvestment,"17,375,000,000","17,303,000,000","17,505,000,000","17,325,000,000","17,635,000,000","15,345,000,000","23,424,000,000","11,660,000,000","12,111,000,000",,,,,,,"0","4,125,000,000",,"3,899,000,000","3,651,000,000","1,826,000,000",,,,,,,,,,,
