name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
OperatingCashFlow,"39,421,000,000","39,421,000,000","39,773,000,000","38,687,000,000","37,400,000,000","45,776,000,000","32,535,000,000","31,491,000,000","32,010,000,000","27,704,000,000","20,950,000,000","20,476,000,000","17,895,000,000","15,846,000,000","11,252,000,000","12,550,000,000","10,195,000,000","9,446,000,000","7,405,000,000","8,257,000,000","11,203,000,000","6,574,000,000","2,947,000,000","2,200,000,000","657,000,000","2,335,600,000","1,260,000,000","1,127,900,000","929,100,000","726,200,000","997,200,000","709,200,000","522,600,000"
	CashFlowFromContinuingOperatingActivities,"39,421,000,000","39,421,000,000","39,773,000,000","38,687,000,000","37,400,000,000","45,776,000,000","32,535,000,000","31,491,000,000","32,010,000,000","27,704,000,000","20,950,000,000","20,476,000,000","17,895,000,000","15,846,000,000","11,252,000,000","12,550,000,000","10,195,000,000","9,446,000,000","7,405,000,000","8,257,000,000","11,203,000,000","6,574,000,000","2,947,000,000","2,200,000,000","657,000,000","2,335,600,000","1,260,000,000","1,127,900,000","929,100,000","726,200,000","997,200,000","709,200,000","522,600,000"
		NetIncomeFromContinuingOperations,"90,807,000,000","90,807,000,000","43,253,000,000","81,792,000,000","4,322,000,000","45,353,000,000","24,427,000,000","24,414,000,000","20,170,000,000","19,845,000,000","15,312,000,000","10,746,000,000","13,494,000,000","8,441,000,000","4,994,000,000","13,213,000,000","11,015,000,000","8,528,000,000","7,308,000,000","8,151,000,000","4,286,000,000","795,000,000","3,328,000,000","1,557,000,000","2,830,000,000","1,901,600,000","2,488,600,000","725,200,000","494,800,000","759,100,000","407,300,000","439,900,000","394,100,000"
		OperatingGainsLosses,"-77,576,000,000","-77,576,000,000","-40,905,000,000","-71,123,000,000","22,155,000,000","-1,410,000,000","-7,553,000,000","-9,373,000,000","-3,575,000,000","-4,065,000,000","-1,462,000,000","-1,274,000,000","-2,085,000,000",,"640,000,000",,,"-6,196,000,000",,"-4,129,000,000","-637,000,000","-1,363,000,000",,,,"-1,106,300,000","-2,484,100,000",,,,,"8,000,000",
			GainLossOnInvestmentSecurities,"-77,576,000,000","-77,576,000,000","-40,905,000,000","-71,123,000,000","22,155,000,000","-1,410,000,000","-7,553,000,000","-9,373,000,000","-3,575,000,000","-4,065,000,000","-1,462,000,000","-1,274,000,000","-2,085,000,000",,"640,000,000",,,"-6,196,000,000",,"-4,129,000,000","-637,000,000","-1,363,000,000",,,,"-1,106,300,000","-2,484,100,000",,,,,"8,000,000",
		DepreciationAndAmortization,"10,718,000,000","10,718,000,000","10,596,000,000","10,064,000,000","9,779,000,000","9,188,000,000","8,901,000,000","7,779,000,000","7,370,000,000","6,508,000,000","5,146,000,000","4,683,000,000","4,279,000,000","3,127,000,000","2,810,000,000","2,407,000,000","2,066,000,000","982,000,000","911,000,000","520,000,000","811,000,000","1,076,000,000","997,000,000","688,000,000","265,000,000","227,300,000","151,600,000","75,700,000","62,500,000","50,200,000","41,100,000","37,200,000","56,700,000"
			Depreciation,,,,,,,,,,,"5,146,000,000","4,683,000,000","4,279,000,000","3,127,000,000","2,810,000,000","2,407,000,000","2,066,000,000","982,000,000","911,000,000",,,,,,,,,"75,700,000","62,500,000","50,200,000","41,100,000","37,200,000","56,700,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,300,000",,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,300,000",,,
		OtherNonCashItems,"-3,397,000,000","-3,397,000,000","11,263,000,000","-1,254,000,000","2,957,000,000","458,000,000","-161,000,000","751,000,000","-341,000,000","373,000,000","795,000,000","811,000,000","255,000,000","-149,000,000","-646,000,000","-5,244,000,000","-1,811,000,000",,"-1,636,000,000",,,,"1,587,000,000","395,000,000","-2,561,000,000",,,"-216,500,000","177,200,000","-536,400,000","-63,000,000","224,100,000","173,300,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,"2,837,000,000",,,,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"18,869,000,000","18,869,000,000","15,566,000,000","19,208,000,000","-1,813,000,000","-7,813,000,000","6,921,000,000","7,920,000,000","8,386,000,000","5,043,000,000","1,159,000,000","5,510,000,000","1,952,000,000","1,590,000,000","3,454,000,000","2,174,000,000","-1,075,000,000","6,132,000,000","822,000,000","3,715,000,000","6,743,000,000","6,066,000,000","-2,965,000,000","-440,000,000","123,000,000","1,313,000,000","1,103,900,000","543,500,000","194,600,000","378,000,000","611,800,000",,"-101,500,000"
			ChangeInReceivables,"-5,834,000,000","-5,834,000,000","-1,609,000,000","-2,303,000,000","-3,443,000,000","-1,990,000,000","-3,302,000,000","-1,650,000,000","-1,890,000,000","1,035,000,000","-1,610,000,000","-1,159,000,000","-1,979,000,000","697,000,000","-2,222,000,000","-977,000,000","-59,000,000","-1,849,000,000","-8,000,000","2,018,000,000","-896,000,000","219,000,000","-3,062,000,000","-834,000,000","-56,000,000","-120,200,000","-127,100,000","-35,400,000","-49,800,000","134,100,000","239,400,000",,"-133,800,000"
