name,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalAssets,"958,784,000,000","920,758,000,000","912,493,000,000","884,393,000,000","873,729,000,000","829,946,000,000","788,133,000,000","760,448,000,000","817,729,000,000","788,482,000,000","760,108,000,000","738,724,000,000","707,794,000,000","736,459,000,000","711,932,000,000","702,651,000,000","702,095,000,000","681,554,000,000","665,590,000,000","654,451,000,000","620,854,000,000","604,038,000,000","592,816,000,000","586,315,000,000","552,257,000,000","545,468,000,000","540,774,000,000","531,076,000,000","526,186,000,000","517,363,000,000","504,379,000,000","494,944,000,000","484,931,000,000","458,081,000,000","446,563,000,000","442,302,000,000","427,452,000,000","424,115,000,000","411,356,000,000","411,362,000,000","392,647,000,000","385,494,000,000","382,696,000,000","376,496,000,000","372,229,000,000","363,979,000,000","349,187,000,000","356,320,000,000","297,119,000,000","292,010,000,000","275,646,000,000","260,542,000,000","267,399,000,000","281,729,000,000","277,792,000,000","281,047,000,000","273,160,000,000","276,516,000,000","269,051,000,000","261,678,000,000","248,437,000,000","240,002,000,000","232,331,000,000","230,206,000,000","198,325,000,000","196,710,000,000","194,835,000,000","191,075,000,000","188,874,000,000","181,860,000,000","203,426,000,000","210,954,000,000","180,559,000,000","172,239,000,000","172,930,000,000","169,616,000,000","169,544,000,000","167,749,000,000","167,497,000,000","164,624,000,000","162,752,000,000","154,586,000,000","148,776,000,000","146,690,000,000","135,792,000,000","130,482,000,000","134,797,000,000","134,201,000,000","131,416,000,000","126,592,000,000","125,166,000,000","123,774,000,000","122,237,000,000","54,110,000,000","63,947,000,000","61,166,000,000","56,110,900,000","50,613,400,000","50,553,800,000","44,137,400,000","43,409,500,000","39,206,700,000","37,393,900,000","35,109,100,000","29,928,800,000","28,383,200,000","25,869,800,000","23,289,000,000","21,338,200,000","20,725,300,000","19,988,100,000","19,579,600,000","19,520,500,000","18,091,600,000","17,321,600,000","16,944,800,000","16,060,300,000","15,649,300,000","14,902,900,000","14,461,900,000","10,670,400,000","9,265,600,000","10,107,700,000","9,292,400,000"
TotalLiabilitiesNetMinorityInterest,"443,854,000,000","439,683,000,000","433,693,000,000","428,217,000,000","422,393,000,000","410,731,000,000","390,880,000,000","385,213,000,000","389,166,000,000","386,924,000,000","373,717,000,000","366,133,000,000","355,294,000,000","357,040,000,000","350,174,000,000","351,599,000,000","350,141,000,000","369,702,000,000","361,497,000,000","358,171,000,000","334,495,000,000","331,423,000,000","326,558,000,000","324,478,000,000","293,630,000,000","294,147,000,000","291,572,000,000","286,237,000,000","283,159,000,000","277,061,000,000","267,619,000,000","264,655,000,000","260,446,000,000","246,650,000,000","241,575,000,000","240,196,000,000","235,864,000,000","235,041,000,000","229,641,000,000","231,093,000,000","223,686,000,000","221,613,000,000","215,912,000,000","212,231,000,000","209,295,000,000","209,382,000,000","201,673,000,000","204,396,000,000","161,334,000,000","161,328,000,000","156,809,000,000","153,623,000,000","153,820,000,000","157,225,000,000","155,568,000,000","157,401,000,000","149,759,000,000","154,051,000,000","151,346,000,000","149,424,000,000","137,756,000,000","135,622,000,000","132,865,000,000","133,118,000,000","106,841,000,000","106,391,000,000","105,971,000,000","103,854,000,000","102,216,000,000","100,455,000,000","122,147,000,000","130,399,000,000","102,963,000,000","99,556,000,000","100,823,000,000","102,832,000,000","105,507,000,000","103,774,000,000","103,751,000,000","102,849,000,000","104,802,000,000","96,090,000,000","88,706,000,000","86,938,000,000","72,799,000,000","69,770,000,000","75,909,000,000","76,588,000,000","72,232,000,000","69,881,000,000","65,618,000,000","64,277,000,000","63,190,000,000","22,681,000,000","26,514,000,000","25,886,000,000","24,199,200,000","22,205,000,000","22,144,400,000","19,608,400,000","19,648,100,000","17,706,200,000","17,092,800,000","16,714,200,000","12,447,200,000","12,204,000,000","10,932,800,000","10,098,900,000","9,264,000,000","9,120,200,000","9,000,900,000","8,947,300,000","8,909,800,000","8,599,900,000","8,093,600,000","7,919,000,000","7,798,100,000","7,522,000,000","7,183,100,000","6,964,800,000","5,289,700,000","4,370,400,000","4,609,100,000","4,407,200,000"
TotalEquityGrossMinorityInterest,"514,930,000,000","481,075,000,000","478,800,000,000","456,176,000,000","451,336,000,000","419,215,000,000","397,253,000,000","375,235,000,000","428,563,000,000","401,558,000,000","386,391,000,000","372,591,000,000","352,500,000,000","379,419,000,000","361,758,000,000","351,052,000,000","351,954,000,000","311,852,000,000","304,093,000,000","296,280,000,000","286,359,000,000","272,615,000,000","266,258,000,000","261,837,000,000","258,627,000,000","251,321,000,000","249,202,000,000","244,839,000,000","243,027,000,000","240,302,000,000","236,760,000,000","230,289,000,000","224,485,000,000","211,431,000,000","204,988,000,000","202,106,000,000","191,588,000,000","189,074,000,000","181,715,000,000","180,269,000,000","168,961,000,000","163,881,000,000","166,784,000,000","164,265,000,000","162,934,000,000","154,597,000,000","147,514,000,000","151,924,000,000","135,785,000,000","130,682,000,000","118,837,000,000","106,919,000,000","113,579,000,000","124,504,000,000","122,224,000,000","123,646,000,000","123,401,000,000","122,465,000,000","117,705,000,000","112,254,000,000","110,681,000,000","104,380,000,000","99,466,000,000","97,088,000,000","91,484,000,000","90,319,000,000","88,864,000,000","87,221,000,000","86,658,000,000","81,405,000,000","81,279,000,000","80,555,000,000","77,596,000,000","72,683,000,000","72,107,000,000","66,784,000,000","64,037,000,000","63,975,000,000","63,746,000,000","61,775,000,000","57,950,000,000","58,496,000,000","60,070,000,000","59,752,000,000","62,993,000,000","60,712,000,000","58,888,000,000","57,613,000,000","59,184,000,000","56,711,000,000","59,548,000,000","59,497,000,000","59,047,000,000","31,429,000,000","37,433,000,000","35,280,000,000","31,911,700,000","28,408,400,000","28,409,400,000","24,529,000,000","23,761,400,000","21,500,500,000","20,301,100,000","18,394,900,000","17,481,600,000","16,179,200,000","14,937,000,000","13,190,100,000","12,074,200,000","11,605,100,000","10,987,200,000","10,632,300,000","10,610,700,000","9,491,700,000","9,228,000,000","9,025,800,000","8,262,200,000","8,127,300,000","7,719,800,000","7,497,100,000","5,380,700,000","4,895,200,000","5,498,600,000","4,885,200,000"
	StockholdersEquity,"506,199,000,000","472,480,000,000","470,409,000,000","447,987,000,000","443,164,000,000","415,155,000,000","393,495,000,000","371,565,000,000","424,791,000,000","397,609,000,000","382,544,000,000","368,877,000,000","348,703,000,000","375,606,000,000","358,094,000,000","347,401,000,000","348,296,000,000","308,278,000,000","300,659,000,000","292,851,000,000","283,001,000,000","269,264,000,000","263,025,000,000","258,661,000,000","255,550,000,000","248,283,000,000","246,043,000,000","241,458,000,000","240,170,000,000","237,456,000,000","234,005,000,000","227,612,000,000","221,890,000,000","208,382,000,000","202,016,000,000","198,071,000,000","187,647,000,000","184,602,000,000","177,379,000,000","175,997,000,000","164,850,000,000","159,957,000,000","163,007,000,000","160,055,000,000","157,318,000,000","149,671,000,000","142,763,000,000","147,209,000,000","131,102,000,000","126,073,000,000","114,527,000,000","102,798,000,000","109,267,000,000","120,155,000,000","117,994,000,000","119,372,000,000","120,733,000,000","119,903,000,000","115,272,000,000","109,891,000,000","108,419,000,000","102,244,000,000","97,613,000,000","95,349,000,000","91,484,000,000","89,518,000,000","88,086,000,000","86,456,000,000","85,900,000,000","80,677,000,000","80,438,000,000","79,724,000,000","77,596,000,000","71,968,000,000","70,605,000,000","65,358,000,000","64,037,000,000","62,617,000,000","62,370,000,000","60,498,000,000","57,950,000,000","57,108,000,000","58,730,000,000","58,390,000,000","61,724,000,000","59,391,000,000","57,588,000,000","56,289,000,000","57,761,000,000","55,305,000,000","58,041,000,000","57,884,000,000","57,403,000,000","30,957,000,000","36,917,000,000","34,779,000,000","31,455,200,000","28,007,000,000","28,011,600,000","24,189,700,000","23,426,300,000","21,188,700,000","20,011,000,000","18,118,000,000","17,217,100,000","16,179,200,000","14,702,300,000","12,972,200,000","11,874,900,000","11,407,500,000","10,787,900,000","10,445,300,000","10,428,400,000","9,356,900,000","9,093,800,000","8,896,300,000","8,141,700,000","8,010,800,000","7,605,000,000","7,379,900,000","5,287,500,000","4,806,400,000","5,410,000,000","4,800,700,000"
		CapitalStock,"8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","0","0","0","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,900,000",,,,,,,,,,,,,,,,,,,,
			CommonStock,"8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","0","0","0","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,900,000",,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"35,592,000,000","35,603,000,000","35,635,000,000","35,630,000,000","35,626,000,000","35,621,000,000","35,615,000,000","35,619,000,000","35,658,000,000","35,612,000,000","35,610,000,000","35,622,000,000","35,707,000,000","35,713,000,000","35,694,000,000","35,681,000,000","35,694,000,000","35,684,000,000","35,663,000,000","35,699,000,000","35,681,000,000","35,730,000,000","35,710,000,000","35,670,000,000","35,620,000,000","35,610,000,000","35,584,000,000","35,565,000,000","35,573,000,000","35,560,000,000","35,491,000,000","35,465,000,000","35,472,000,000","36,082,000,000","36,101,000,000","37,270,000,000","37,230,000,000","37,890,000,000","37,856,000,000","37,846,000,000","37,807,000,000","37,786,000,000","37,771,000,000","37,578,000,000","37,533,000,000","38,123,000,000","38,077,000,000","38,034,000,000","27,074,000,000","27,086,000,000","27,089,000,000","27,090,000,000","27,133,000,000","27,133,000,000","27,132,000,000","27,100,000,000","26,952,000,000","26,946,000,000","26,927,000,000","26,549,000,000","26,522,000,000","26,498,000,000","26,476,000,000","26,424,000,000","26,399,000,000","26,362,000,000","26,340,000,000","26,315,000,000","26,268,000,000","26,228,000,000","26,212,000,000","26,188,000,000","26,151,000,000","26,100,000,000","26,066,000,000","26,044,000,000","26,028,000,000","26,002,000,000","25,985,000,000","25,958,000,000","25,607,000,000","25,572,000,000","25,555,000,000","25,545,000,000","25,524,000,000","25,483,000,000","25,243,000,000","25,219,000,000","25,209,000,000","25,189,000,000","25,179,000,000","25,138,000,000","25,121,000,000","3,024,000,000","2,671,000,000","2,670,000,000","2,347,100,000","2,347,000,000","2,274,200,000","2,274,100,000","2,274,100,000","1,566,600,000","1,566,600,000","1,001,700,000",,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"534,421,000,000","494,775,000,000","484,431,000,000","456,337,000,000","444,626,000,000","408,791,000,000","378,654,000,000","352,359,000,000","402,493,000,000","373,334,000,000","356,846,000,000","342,773,000,000","321,112,000,000","346,503,000,000","327,963,000,000","315,952,000,000","255,786,000,000","224,166,000,000","220,099,000,000","215,837,000,000","211,777,000,000","205,491,000,000","198,293,000,000","193,292,000,000","187,703,000,000","182,225,000,000","172,797,000,000","168,784,000,000","163,620,000,000","159,465,000,000","154,848,000,000","148,453,000,000","143,748,000,000","138,758,000,000","133,705,000,000","129,164,000,000","124,272,000,000","119,721,000,000","115,801,000,000","112,693,000,000","109,448,000,000","106,400,000,000","104,122,000,000","100,705,000,000","99,194,000,000","94,817,000,000","91,828,000,000","89,860,000,000","86,227,000,000","83,171,000,000","79,933,000,000","76,638,000,000","78,172,000,000","77,030,000,000","75,973,000,000","73,093,000,000","72,153,000,000","69,206,000,000","64,653,000,000","61,535,000,000","58,912,000,000","55,329,000,000","52,557,000,000","50,210,000,000","47,717,000,000","42,587,000,000","42,001,000,000","40,552,000,000","39,189,000,000","35,850,000,000","34,713,000,000","33,431,000,000","31,881,000,000","29,495,000,000","27,689,000,000","25,460,000,000","23,730,000,000","22,546,000,000","21,405,000,000","20,360,000,000","19,444,000,000","19,349,000,000","20,028,000,000","19,255,000,000","18,649,000,000","17,565,000,000","16,768,000,000","16,128,000,000","15,321,000,000","15,297,000,000","14,877,000,000","14,305,000,000","13,764,000,000","13,197,000,000","12,832,000,000","11,656,000,000","10,934,300,000","9,961,500,000","9,594,900,000","9,317,100,000","9,032,700,000","8,668,000,000","8,404,000,000","8,212,800,000","5,610,400,000","5,357,400,000","5,185,000,000","5,005,400,000","4,885,200,000","4,793,700,000","4,687,900,000","4,523,300,000","4,390,400,000","3,866,800,000","3,844,000,000","3,702,300,000","3,498,800,000","3,460,400,000","3,362,400,000","3,295,000,000","2,855,100,000","2,729,600,000","2,639,400,000","2,545,400,000"
		TreasuryStock,"59,795,000,000","53,072,000,000","45,446,000,000","39,418,000,000","32,853,000,000","24,075,000,000","14,815,000,000","9,700,000,000","8,125,000,000","5,937,000,000","5,242,000,000","4,799,000,000","3,109,000,000","2,691,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,763,000,000","1,363,000,000","1,363,000,000","1,363,000,000","1,363,000,000","1,363,000,000","1,363,000,000","67,000,000","67,000,000","67,000,000","67,000,000","18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","29,000,000","30,000,000","30,000,000","31,100,000","31,100,000","31,400,000","31,400,000","31,400,000","34,700,000","34,700,000","34,700,000",,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-4,027,000,000","-4,834,000,000","-4,219,000,000","-4,570,000,000","-4,243,000,000","-5,190,000,000","-5,967,000,000","-6,721,000,000","-5,243,000,000","-5,408,000,000","-4,678,000,000","-4,727,000,000","-5,015,000,000","-3,927,000,000","-3,808,000,000","-2,477,000,000","58,571,000,000","50,183,000,000","46,652,000,000","43,070,000,000","37,298,000,000","29,798,000,000","30,777,000,000","31,454,000,000","33,982,000,000","32,203,000,000","39,417,000,000","38,864,000,000","42,732,000,000","44,186,000,000","45,421,000,000","45,049,000,000","44,025,000,000","34,897,000,000","33,565,000,000","32,992,000,000","27,500,000,000","27,050,000,000","23,781,000,000","25,517,000,000","17,654,000,000","15,781,000,000","21,106,000,000","21,764,000,000","20,583,000,000","16,723,000,000","12,850,000,000","19,307,000,000","17,793,000,000","15,816,000,000","7,505,000,000","-930,000,000","3,954,000,000","15,984,000,000","14,881,000,000","19,171,000,000","21,620,000,000","23,743,000,000","23,684,000,000","21,799,000,000","22,977,000,000","20,409,000,000","18,572,000,000","18,707,000,000","17,360,000,000","20,561,000,000","19,737,000,000","19,581,000,000","20,435,000,000","18,591,000,000","19,505,000,000","20,097,000,000","19,556,000,000","16,365,000,000","16,842,000,000","13,846,000,000","14,271,000,000","14,061,000,000","14,972,000,000","14,172,000,000","12,891,000,000","12,179,000,000","13,139,000,000","13,582,000,000","17,543,000,000","16,335,000,000","15,569,000,000","14,934,000,000","17,223,000,000","14,811,000,000","17,977,000,000","18,433,000,000","18,510,000,000","14,758,000,000","21,437,000,000","20,476,000,000","18,197,900,000","15,722,600,000","16,166,900,000","12,622,900,000","12,143,900,000","10,981,800,000","10,068,100,000","8,931,300,000",,,,,,,,,,,,,,,,,,,,
