name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
OperatingCashFlow,"39,421,000,000","7,795,000,000","12,067,000,000","10,253,000,000","9,306,000,000","10,546,000,000","11,761,000,000","10,668,000,000","6,798,000,000","12,077,000,000","9,848,000,000","9,185,000,000","7,577,000,000","10,845,000,000","10,464,000,000","8,535,000,000","7,556,000,000","8,279,000,000","10,870,000,000","8,322,000,000","18,305,000,000","7,364,000,000","9,860,000,000","7,830,000,000","7,481,000,000","7,336,000,000","10,212,000,000","7,980,000,000","5,963,000,000","7,853,000,000","12,324,000,000","6,905,000,000","4,928,000,000","6,967,000,000","7,826,000,000","6,856,000,000","6,055,000,000","4,790,000,000","6,651,000,000","4,859,000,000","4,650,000,000","4,494,000,000","5,999,000,000","6,481,000,000","3,502,000,000","4,064,000,000","6,971,000,000","3,547,000,000","3,313,000,000","3,820,000,000","4,529,000,000","2,855,000,000","4,642,000,000","2,824,000,000","3,437,000,000","1,638,000,000","3,353,000,000","1,199,000,000","3,919,000,000","2,807,000,000","4,625,000,000","2,313,000,000","4,431,000,000","1,092,000,000","2,359,000,000","3,742,000,000","2,578,000,000","1,751,000,000","1,375,000,000","1,858,000,000","2,985,000,000","142,000,000","2,420,000,000","2,237,000,000","2,407,000,000","972,000,000","2,641,000,000","1,893,000,000","2,564,000,000","3,319,000,000","3,427,000,000","2,220,000,000","1,740,000,000","1,881,000,000","733,000,000","1,064,000,000","940,000,000","667,000,000","276,000,000","872,000,000","2,388,000,000","-895,000,000","-165,000,000","643,000,000","145,000,000","-100,000,000","-31,000,000","480,900,000","688,000,000","676,600,000","490,100,000","417,600,000","496,300,000","-1,600,000","347,700,000","298,000,000","317,600,000","197,500,000","314,800,000","465,300,000","264,200,000","194,600,000","5,000,000","237,700,000","272,900,000","197,900,000","352,900,000","125,400,000","321,000,000"
	CashFlowFromContinuingOperatingActivities,"39,421,000,000","7,795,000,000","12,067,000,000","10,253,000,000","9,306,000,000","10,546,000,000","11,761,000,000","10,668,000,000","6,798,000,000","12,077,000,000","9,848,000,000","9,185,000,000","7,577,000,000","10,845,000,000","10,464,000,000","8,535,000,000","7,556,000,000","8,279,000,000","10,870,000,000","8,322,000,000","18,305,000,000","7,364,000,000","9,860,000,000","7,830,000,000","7,481,000,000","7,336,000,000","10,212,000,000","7,980,000,000","5,963,000,000","7,853,000,000","12,324,000,000","6,905,000,000","4,928,000,000","6,967,000,000","7,826,000,000","6,856,000,000","6,055,000,000","4,790,000,000","6,651,000,000","4,859,000,000","4,650,000,000","4,494,000,000","5,999,000,000","6,481,000,000","3,502,000,000","4,064,000,000","6,971,000,000","3,547,000,000","3,313,000,000","3,820,000,000","4,529,000,000","2,855,000,000","4,642,000,000","2,824,000,000","3,437,000,000","1,638,000,000","3,353,000,000","1,199,000,000","3,919,000,000","2,807,000,000","4,625,000,000","2,313,000,000","4,431,000,000","1,092,000,000","2,359,000,000","3,742,000,000","2,578,000,000","1,751,000,000","1,375,000,000","1,858,000,000","2,985,000,000","142,000,000","2,420,000,000","2,237,000,000","2,407,000,000","972,000,000","2,641,000,000","1,893,000,000","2,564,000,000","3,319,000,000","3,427,000,000","2,220,000,000","1,740,000,000","1,881,000,000","733,000,000","1,064,000,000","940,000,000","667,000,000","276,000,000","872,000,000","2,388,000,000","-895,000,000","-165,000,000","643,000,000","145,000,000","-100,000,000","-31,000,000","480,900,000","688,000,000","676,600,000","490,100,000","417,600,000","496,300,000","-1,600,000","347,700,000","298,000,000","317,600,000","197,500,000","314,800,000","465,300,000","264,200,000","194,600,000","5,000,000","237,700,000","272,900,000","197,900,000","352,900,000","125,400,000","321,000,000"
		NetIncomeFromContinuingOperations,"90,807,000,000","39,898,000,000","10,644,000,000","28,425,000,000","11,840,000,000","36,130,000,000","30,413,000,000","26,407,000,000","-49,697,000,000","29,230,000,000","16,657,000,000","14,173,000,000","21,732,000,000","-25,391,000,000","18,707,000,000","12,077,000,000","-1,071,000,000","32,656,000,000","4,203,000,000","4,355,000,000","4,139,000,000","6,355,000,000","7,333,000,000","5,082,000,000","5,657,000,000","5,547,000,000","9,527,000,000","4,107,000,000","5,233,000,000","4,218,000,000","4,721,000,000","6,458,000,000","4,773,000,000","5,063,000,000","5,153,000,000","4,612,000,000","5,017,000,000","4,661,000,000","4,054,000,000","3,231,000,000","3,366,000,000","3,191,000,000","2,410,000,000","3,540,000,000","1,605,000,000","4,473,000,000","3,119,000,000","2,090,000,000","3,812,000,000","3,154,000,000",,,,,,,,"2,947,000,000","4,553,000,000","3,118,000,000","2,595,000,000","3,583,000,000","2,772,000,000","2,347,000,000","2,313,000,000","5,130,000,000","586,000,000","1,449,000,000","1,363,000,000","3,339,000,000","1,137,000,000","1,282,000,000","1,550,000,000","2,386,000,000","1,806,000,000","2,229,000,000","1,730,000,000","1,184,000,000","1,141,000,000","-1,466,000,000","3,427,000,000","95,000,000","-679,000,000","773,000,000","606,000,000","1,084,000,000","797,000,000","640,000,000","807,000,000",,,,,,,,,,,,,,,,,"252,900,000","172,500,000","179,600,000","120,200,000","91,400,000","105,900,000","164,600,000","132,900,000","523,600,000","22,800,000","203,500,000","38,300,000","98,100,000","67,400,000"
		OperatingGainsLosses,"-77,576,000,000","-40,341,000,000","-4,851,000,000","-27,173,000,000","-5,211,000,000","-38,873,000,000","-31,625,000,000","-39,289,000,000","68,882,000,000","-31,044,000,000","-10,692,000,000","-9,835,000,000","-19,552,000,000","34,905,000,000","-14,569,000,000","-5,990,000,000","7,809,000,000","-148,000,000","-657,000,000","-290,000,000","-315,000,000","-1,910,000,000","-3,150,000,000","-643,000,000","-1,850,000,000","-648,000,000","-8,266,000,000","-362,000,000","-97,000,000","-454,000,000","376,000,000","-2,366,000,000","-1,131,000,000","-1,354,000,000","-1,714,000,000","-492,000,000","-505,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-77,576,000,000","-40,341,000,000","-4,851,000,000","-27,173,000,000","-5,211,000,000","-38,873,000,000","-31,625,000,000","-39,289,000,000","68,882,000,000","-31,044,000,000","-10,692,000,000","-9,835,000,000","-19,552,000,000","34,905,000,000","-14,569,000,000","-5,990,000,000","7,809,000,000","-148,000,000","-657,000,000","-290,000,000","-315,000,000","-1,910,000,000","-3,150,000,000","-643,000,000","-1,850,000,000","-648,000,000","-8,266,000,000","-362,000,000","-97,000,000","-454,000,000","376,000,000","-2,366,000,000","-1,131,000,000","-1,354,000,000","-1,714,000,000","-492,000,000","-505,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-917,000,000","-125,000,000","106,000,000",,"-92,000,000","-1,289,000,000","407,000,000",,"-458,000,000","-383,000,000","-1,318,000,000","-571,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-3,397,000,000","-2,680,000,000","-750,000,000","258,000,000","-225,000,000","329,000,000","414,000,000","11,086,000,000","-566,000,000","486,000,000","-1,003,000,000","-268,000,000","-469,000,000","3,634,000,000","-256,000,000","-420,000,000","-1,000,000","-652,000,000","707,000,000","283,000,000","120,000,000","-188,000,000","99,000,000","-327,000,000","255,000,000","131,000,000","460,000,000","226,000,000","-66,000,000","28,000,000","-120,000,000","-13,000,000","-236,000,000","-610,000,000","533,000,000","202,000,000","248,000,000","154,000,000","213,000,000","166,000,000","262,000,000","437,000,000","225,000,000","28,000,000","121,000,000","52,000,000","100,000,000","5,000,000","98,000,000","-48,000,000",,,,"-6,153,000,000","2,437,000,000","-82,000,000","3,152,000,000","-6,329,000,000","-634,000,000","-311,000,000","2,030,000,000","-2,261,000,000","1,659,000,000","-1,255,000,000","46,000,000",,"1,992,000,000","302,000,000","12,000,000","-3,214,000,000","1,848,000,000","-1,140,000,000","870,000,000",,"601,000,000","-1,257,000,000","911,000,000",,"1,423,000,000",,,,"2,419,000,000","1,108,000,000","127,000,000","1,948,000,000","143,000,000","27,000,000","-531,000,000",,,,,,,,,,,,,,,,,"-574,100,000","145,100,000","17,900,000","194,600,000",,,,,,,"-658,500,000","314,600,000","27,300,000","253,600,000"
		ChangeInWorkingCapital,"18,869,000,000","8,213,000,000","4,356,000,000","6,071,000,000","229,000,000","10,056,000,000","9,976,000,000","9,940,000,000","-14,406,000,000","10,748,000,000","2,352,000,000","2,659,000,000","3,449,000,000","-4,913,000,000","4,187,000,000","481,000,000","-1,568,000,000","-25,930,000,000","4,321,000,000","1,678,000,000","12,118,000,000","811,000,000","3,332,000,000","1,484,000,000","1,294,000,000","328,000,000","6,502,000,000","2,068,000,000","-978,000,000","2,127,000,000","5,493,000,000","1,016,000,000","-250,000,000","1,396,000,000","2,500,000,000","1,189,000,000","-42,000,000","-831,000,000","2,005,000,000","322,000,000","-337,000,000","-99,000,000","2,314,000,000","3,061,000,000","234,000,000","-1,705,000,000","3,116,000,000","735,000,000","-194,000,000","473,000,000",,,,"533,000,000","1,000,000,000","1,720,000,000","201,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,200,000","158,300,000","30,000,000","-127,900,000","125,000,000","250,100,000",,,,
			ChangeInReceivables,"-5,834,000,000","976,000,000","-1,985,000,000","-1,385,000,000","-3,440,000,000","1,614,000,000","-1,338,000,000","198,000,000","-2,083,000,000","1,315,000,000","-524,000,000","-857,000,000","-2,237,000,000","1,338,000,000","-1,368,000,000","-1,227,000,000","-2,186,000,000","900,000,000","-1,282,000,000","-411,000,000","-1,197,000,000","143,000,000","-729,000,000","-729,000,000","-1,987,000,000","1,371,000,000","-354,000,000","-603,000,000","-2,064,000,000","1,171,000,000","-246,000,000","-400,000,000","-2,415,000,000","1,394,000,000","-179,000,000","1,295,000,000","-1,475,000,000","149,000,000","-194,000,000","478,000,000","-2,043,000,000","688,000,000","134,000,000","756,000,000","-2,737,000,000","1,316,000,000","-604,000,000","322,000,000","-3,013,000,000","949,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,"-5,834,000,000","976,000,000","-1,985,000,000","-1,385,000,000","-3,440,000,000","1,614,000,000","-1,338,000,000","198,000,000","-2,083,000,000","1,315,000,000","-524,000,000","-857,000,000","-2,237,000,000","1,338,000,000","-1,368,000,000","-1,227,000,000","-2,186,000,000","900,000,000","-1,282,000,000","-411,000,000","-1,197,000,000","143,000,000","-729,000,000","-729,000,000","-1,987,000,000","1,371,000,000","-354,000,000","-603,000,000","-2,064,000,000","1,171,000,000","-246,000,000","-400,000,000","-2,415,000,000","1,394,000,000","-179,000,000","1,295,000,000","-1,475,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
