name,ttm,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
OperatingCashFlow,"11,230,000,000","3,613,000,000","2,144,000,000","2,534,000,000","2,939,000,000","2,302,000,000","2,163,000,000","2,227,000,000","2,564,000,000","2,254,000,000","2,302,000,000","2,416,000,000","2,809,000,000","1,993,000,000","2,735,000,000","2,494,000,000","2,176,000,000","2,503,000,000","1,461,000,000","3,344,000,000","3,194,000,000","1,341,000,000","1,533,000,000","2,033,000,000","1,677,000,000","1,058,000,000","922,000,000","1,370,000,000","1,861,000,000","806,000,000","905,000,000","1,350,000,000","1,510,000,000","656,000,000","746,000,000","812,000,000","333,000,000","781,000,000","830,000,000","937,000,000","793,000,000","502,000,000","740,000,000","984,000,000","648,000,000","452,000,000","719,000,000","575,000,000","957,000,000","375,000,000","319,000,000","511,000,000","646,000,000","207,000,000","230,300,000","697,500,000","882,200,000","437,199,681","-131,799,701","326,204,968","756,095,052","276,900,308","-79,400,125","415,300,341","765,899,446","145,400,161","-39,399,732","477,199,710","714,500,234","-18,799,245","-98,900,790","351,600,684","669,599,758","-444,399,648","425,199,979","706,799,723","199,100,210","-201,700,015","148,499,676","416,800,824","31,599,824","-4,100,378","44,399,955","527,900,427","342,399,618","-398,200,331","306,800,817","173,600,035","51,699,511","-256,200,180","50,799,258","506,700,897","-37,300,275","-116,364,322","199,301,017","335,616,022","76,528,302","10,821,582","221,792,717","32,717,585","50,921,986","300,135,012","104,834,721","34,391,827","-7,338,687","253,000,916","151,498,339","162,960,562","-29,430,490","155,922,304","160,998,749","45,008,191","114,209,289","49,391,758","18,369,034","87,557,652","44,429,066","36,987,796","39,279,284","27,223,749","29,948,408","-3,719,662","46,281,493","32,198,501","36,746,343"
	CashFlowFromContinuingOperatingActivities,"11,230,000,000","3,613,000,000","2,144,000,000","2,534,000,000","2,939,000,000","2,302,000,000","2,163,000,000","2,227,000,000","2,564,000,000","2,254,000,000","2,302,000,000","2,416,000,000","2,809,000,000","1,993,000,000","2,735,000,000","2,494,000,000","2,176,000,000","2,503,000,000","1,461,000,000","3,344,000,000","3,194,000,000","1,341,000,000","1,533,000,000","2,033,000,000","1,677,000,000","1,058,000,000","922,000,000","1,370,000,000","1,861,000,000","806,000,000","905,000,000","1,350,000,000","1,510,000,000","656,000,000","746,000,000","812,000,000","314,000,000","773,000,000","830,000,000","937,000,000","793,000,000","502,000,000","740,000,000","984,000,000","648,000,000","452,000,000","719,000,000","575,000,000","957,000,000","375,000,000","319,000,000","511,000,000","646,000,000","207,000,000","230,300,000","697,500,000","882,200,000","437,199,681","-131,799,701","326,204,968","756,095,052","276,900,308","-79,400,125","415,300,341","765,899,446","145,400,161","-39,399,732","477,199,710","714,500,234","-18,799,245","-98,900,790","351,600,684","669,599,758","-444,399,648","425,199,979","706,799,723","199,100,210","-201,700,015","148,499,676","416,800,824","31,599,824","-1,800,347","44,399,743","515,000,129","326,700,128","-400,101,000","306,800,817","173,600,035","51,699,511","-256,200,180","50,799,258","506,700,897","-37,300,275","-116,364,322","199,301,017","335,616,022","76,528,302","10,821,582","221,792,717","32,717,585","50,921,986","300,135,012","104,834,721","34,391,827","-7,338,687","253,000,916","151,498,339","162,960,562","-29,430,490","155,922,304","160,998,749","45,008,191","114,209,289","49,391,758","18,369,034","87,557,652","44,429,066","36,987,796","39,279,284","27,223,749","29,948,408","-3,719,662","46,281,493","32,198,501","36,746,343"
		NetIncomeFromContinuingOperations,"2,938,000,000","-1,109,000,000","1,383,000,000","607,000,000","2,057,000,000","1,965,000,000","814,000,000","1,521,000,000","2,014,000,000","1,899,000,000","1,104,000,000","1,777,000,000","-1,364,000,000","914,000,000","1,060,000,000","1,830,000,000","2,023,000,000","1,283,000,000","213,000,000","1,327,000,000","510,000,000","65,000,000","1,015,000,000","1,241,000,000","945,000,000","847,000,000","-237,000,000","352,000,000","1,347,000,000","376,000,000","-737,000,000","423,000,000","-221,000,000","316,000,000","-34,000,000","833,000,000","447,000,000","-247,000,000","425,000,000","126,000,000","186,000,000","177,000,000","326,000,000","79,000,000","359,000,000",,"5,000,000","261,000,000","395,000,000","328,000,000","158,000,000","140,000,000","344,000,000","302,000,000","305,500,000","394,700,000","559,800,000","265,199,468","150,100,776","659,339,371","253,060,385","250,400,219","79,799,685","148,100,521","228,799,585","172,899,828","97,200,134","159,599,245","192,600,420","175,800,453","69,499,540","95,300,465","222,299,879","85,599,953","188,499,404","256,999,595","121,100,472","35,700,002","99,099,676","453,499,903","112,500,367","42,899,811","4,699,970","207,800,412","112,399,618","499,917","71,099,574","276,600,662","89,399,338","75,800,570","51,300,296","199,299,111","88,100,623","8,205,790","40,022,688","179,992,871","71,547,170","-7,794,183","38,900,656","147,490,896","62,269,504","-5,185,012","33,801,232","131,633,941","57,047,909","-3,341,330","23,193,662","114,903,437","45,592,319","-822,327","16,605,449","88,933,915","25,634,749","-13,564,252","19,834,152","17,008,711","20,346,021","24,055,015","21,445,014","18,767,683","16,484,208","11,676,116","22,721,262","15,321,414","25,805,684"
		OperatingGainsLosses,"-764,000,000","-918,000,000","740,000,000","272,000,000","-858,000,000","-1,061,000,000","94,000,000","-485,000,000","-751,000,000","-1,293,000,000","-939,000,000","-1,059,000,000","1,393,000,000","-836,000,000","-226,000,000","-987,000,000","-951,000,000","83,000,000","-543,000,000","-63,000,000","-75,000,000","-397,000,000","-656,000,000","-777,000,000","-453,000,000","-613,000,000","48,000,000","125,000,000","-856,000,000","-186,000,000","1,252,000,000","-313,000,000","1,506,000,000","-264,000,000","639,000,000","-570,000,000","256,000,000","672,000,000","-227,000,000","600,000,000","217,000,000","704,000,000","240,000,000","676,000,000","58,000,000","-490,000,000","354,000,000","1,000,000","-6,000,000","-55,000,000","231,000,000","-23,000,000","-24,000,000","-1,300,000","25,300,000","-26,500,000","-334,500,000","-20,900,468","2,300,733","-700,354,951","-19,545,314","10,799,423","8,400,049","-13,599,496","-24,700,185","14,299,180","-13,199,776","-2,200,057","-16,599,720","-6,399,465","85,099,669","9,700,815","-33,800,484","2,599,677","-100,899,642","-29,900,339","-33,899,528","30,399,974","-1,999,865","-285,200,811","-7,799,324","14,000,346","106,899,273","-44,899,719","-50,299,554","-3,999,049","13,100,251","-32,600,236","-16,900,520","84,000,149","-35,699,786","-52,299,835","-46,499,928","40,063,747","-36,125,964","-37,922,016","-28,226,415","45,587,939","-31,888,897","374,032","-1,843,972","-16,536,186","3,182,075","11,044,296","-692,329","31,248,094","-8,986,085","9,491,399","3,192,460",,,,,"72,134,033","-76,926,457","52,709,091","6,228,374","-4,803,833","545,657","-9,043,860","-3,775,009","47,454,952","-1,041,097","-8,528,932","-1,902,723"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,"8,000,000","6,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"1,280,000,000","-411,000,000","1,276,000,000","784,000,000","-369,000,000","-259,000,000","534,000,000","-133,000,000","-315,000,000","-956,000,000","-624,000,000","-732,000,000","1,556,000,000","-746,000,000","107,000,000","-574,000,000","-538,000,000","584,000,000","-230,000,000","289,000,000","260,000,000","-51,000,000","-349,000,000","-480,000,000","-417,000,000","336,000,000","-50,000,000","82,000,000","-816,000,000","-6,000,000","1,258,000,000","-364,000,000","1,465,000,000","-103,000,000","549,000,000","-607,000,000","244,000,000","988,000,000","-332,000,000","358,000,000","248,000,000","-83,000,000","217,000,000","330,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-2,056,000,000","-519,000,000","-536,000,000","-510,000,000","-491,000,000","-524,000,000","-440,000,000","-352,000,000","-395,000,000","-331,000,000","-315,000,000","-327,000,000","-163,000,000","-344,000,000","-333,000,000","-413,000,000","-413,000,000","-433,000,000","-378,000,000","-363,000,000","-335,000,000","-350,000,000","-280,000,000","-236,000,000","-22,000,000","73,000,000","95,000,000","43,000,000","-40,000,000","64,000,000","54,000,000","80,000,000","46,000,000","57,000,000","90,000,000","37,000,000","12,000,000","39,000,000","105,000,000","242,000,000","-31,000,000","39,000,000","23,000,000","346,000,000","58,000,000",,"12,000,000","1,000,000","-6,000,000","74,000,000","181,000,000","-21,000,000","-24,000,000","-1,200,000","25,300,000","2,300,000","1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"4,317,000,000","1,122,000,000","1,076,000,000","1,064,000,000","1,055,000,000","1,047,000,000","944,000,000","929,000,000","932,000,000","946,000,000","935,000,000","949,000,000","882,000,000","865,000,000","844,000,000","842,000,000","840,000,000","794,000,000","799,000,000","829,000,000","824,000,000","775,000,000","848,000,000","868,000,000","672,000,000","564,000,000","562,000,000","555,000,000","559,000,000","541,000,000","524,000,000","485,000,000","474,000,000","426,000,000","392,000,000","393,000,000","366,000,000","362,000,000","352,000,000","334,000,000","322,000,000","323,000,000","301,000,000","300,000,000","290,000,000","245,000,000","236,000,000","226,000,000","230,000,000","252,000,000","214,000,000","198,000,000","200,000,000","202,300,000","190,900,000","190,200,000","180,600,000","175,200,021","171,300,183","157,694,683","154,305,113","146,900,387","151,000,000","151,900,138","147,099,862","149,799,501","145,400,648","146,200,132","145,999,533","147,798,872","141,200,102","143,000,600","143,299,879","184,400,277","115,100,057","114,999,928","110,499,738","108,999,589","107,400,513","128,599,439","98,000,588","95,999,906","98,000,015","104,299,284","105,600,701","49,000,717","118,200,533","117,799,940","107,499,606","119,299,819","101,999,800","123,001,029","109,199,652","117,354,211","96,186,479","87,567,560","82,716,981","81,434,334","77,316,153","76,043,444","74,184,397","71,870,876","69,400,791","66,733,042","66,048,186","56,255,467","60,743,866","60,886,847","59,060,510","59,583,288","55,972,502","54,210,143","51,668,482","48,547,846","17,735,470","17,839,850","17,854,671","17,736,615","17,288,612","17,499,926","17,239,210",,"16,130,888","16,199,969","16,054,228"
			DepreciationAndAmortization,"4,317,000,000","1,122,000,000","1,076,000,000","1,064,000,000","1,055,000,000","1,047,000,000","944,000,000","929,000,000","932,000,000","946,000,000","935,000,000","949,000,000","882,000,000","865,000,000","844,000,000","842,000,000","840,000,000","794,000,000","799,000,000","829,000,000","824,000,000","775,000,000","848,000,000","868,000,000","672,000,000","564,000,000","562,000,000","555,000,000","559,000,000","541,000,000","524,000,000","485,000,000","474,000,000","426,000,000","392,000,000","393,000,000","366,000,000","362,000,000","352,000,000","334,000,000","322,000,000","323,000,000","301,000,000","300,000,000","290,000,000","245,000,000","236,000,000","226,000,000","230,000,000","252,000,000","214,000,000","198,000,000","200,000,000","202,300,000","190,900,000","190,200,000","180,600,000","175,200,021","171,300,183","157,694,683","154,305,113","146,900,387","151,000,000","151,900,138","147,099,862","149,799,501","145,400,648","146,200,132","145,999,533","147,798,872","141,200,102","143,000,600","143,299,879","184,400,277","115,100,057","114,999,928","110,499,738","108,999,589","107,400,513","128,599,439","98,000,588","95,999,906","98,000,015","104,299,284","105,600,701","49,000,717","118,200,533","117,799,940","107,499,606","119,299,819","101,999,800","123,001,029","109,199,652","117,354,211","96,186,479","87,567,560","82,716,981","81,434,334","77,316,153","76,043,444","74,184,397","71,870,876","69,400,791","66,733,042","66,048,186","56,255,467","60,743,866","60,886,847","59,060,510","59,583,288","55,972,502","54,210,143","51,668,482","48,547,846","17,735,470","17,839,850","17,854,671","17,736,615","17,288,612","17,499,926","17,239,210",,"16,130,888","16,199,969","16,054,228"
		DeferredTax,"957,000,000","357,000,000","131,000,000","46,000,000","423,000,000","302,000,000","142,000,000","278,000,000","369,000,000","529,000,000","141,000,000","490,000,000","-713,000,000","173,000,000","174,000,000","374,000,000","435,000,000","-97,000,000","277,000,000","-181,000,000","-147,000,000","-3,602,000,000","309,000,000","255,000,000","161,000,000","-38,000,000","-267,000,000","-26,000,000","374,000,000","48,000,000","98,000,000","183,000,000","-322,000,000","255,000,000","-14,000,000","277,000,000","69,000,000","-234,000,000","294,000,000","70,000,000","1,000,000","19,000,000","25,000,000","-61,000,000","-23,000,000","224,000,000","48,000,000","53,000,000","90,000,000","117,000,000","8,000,000","28,000,000","85,000,000","106,700,000","71,900,000","63,700,000","-24,300,000","120,100,213","-42,000,213","61,699,414","118,300,586","6,300,825","-36,800,029","5,599,727","65,699,954","31,700,812","-4,599,956","-49,700,110","1,599,720","67,599,198","-44,500,033","47,900,251","37,100,363","-61,999,725","-7,300,491","32,999,475","49,000,525","-42,299,083","4,599,744","115,499,344","8,000,588","-113,099,402","41,000,394","3,099,096","4,300,510","51,099,887","-50,200,054","-64,600,608","9,700,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
