name,ttm,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"53,309,000,000","13,424,000,000","11,573,000,000","13,215,000,000","15,097,000,000","12,520,000,000","11,466,000,000","10,948,000,000","12,187,000,000","10,008,000,000","9,110,000,000","7,956,000,000","12,013,000,000","12,352,000,000","11,598,000,000","13,263,000,000","12,856,000,000","11,562,000,000","11,345,000,000","10,745,000,000","12,726,000,000","12,889,000,000","9,227,000,000","11,116,000,000","11,146,000,000","9,338,000,000","8,488,000,000","7,939,000,000","8,795,000,000","8,914,000,000","8,320,000,000","8,631,000,000","7,929,000,000","8,797,000,000","8,297,000,000","10,026,000,000","10,521,000,000","8,293,000,000","8,998,000,000","7,847,000,000","8,017,000,000","7,173,000,000","5,788,000,000","5,718,000,000","6,627,000,000","5,436,000,000","4,272,000,000","4,981,000,000","4,713,000,000","4,143,000,000","3,502,000,000","3,505,000,000","3,977,000,000","3,187,100,000","2,628,700,000","2,867,600,000","3,782,600,000","3,923,500,341","4,368,500,106","3,871,500,102","3,967,698,796","3,198,499,811","2,633,999,801","2,728,700,319","3,358,199,954","2,785,700,635","2,184,899,966","2,327,200,223","3,346,700,140","2,667,800,709","1,657,099,884","1,206,800,049","2,181,700,121","1,960,000,171","1,283,400,529","1,843,899,933","1,453,200,420","854,300,038","1,068,099,676","1,887,099,824","1,045,799,912","636,300,787","1,175,600,000","1,654,000,606","1,081,599,745","372,300,066","1,084,000,316","1,720,500,756","873,299,700","506,100,090","638,300,271","1,100,500,222","700,100,043","497,182,460","552,164,343","1,049,867,996","588,377,358","562,298,862","390,359,602","894,458,327","628,085,106","345,933,701","568,567,877","985,093,168","620,465,245","327,294,384","521,987,747","989,361,702","617,099,361","319,523,639","471,558,895","971,456,018","784,385,057","295,111,937","99,744,932","94,631,987","102,006,920","100,731,192","100,853,789","95,628,766","97,898,578","97,820,822","99,887,767","94,124,700","108,574,147","166,474,652","153,428,377","154,847,551","156,901,343","152,865,682","275,459,484","247,759,804","276,874,488","196,390,559","244,525,547","217,302,860","220,155,039","73,674,800","255,080,930","263,917,526","268,684,373"
	OperatingRevenue,"53,309,000,000","13,424,000,000","11,573,000,000","13,215,000,000","15,097,000,000","12,520,000,000","11,466,000,000","10,948,000,000","12,187,000,000","10,008,000,000","9,110,000,000","7,956,000,000","12,013,000,000","12,352,000,000","11,598,000,000","13,263,000,000","12,856,000,000","11,562,000,000","11,345,000,000","10,745,000,000","12,726,000,000","12,889,000,000","9,227,000,000","11,116,000,000","11,146,000,000","9,338,000,000","8,488,000,000","7,939,000,000","8,795,000,000","8,914,000,000","8,320,000,000","8,631,000,000","7,929,000,000","8,797,000,000","8,297,000,000","10,026,000,000","10,521,000,000","8,293,000,000","8,998,000,000","7,847,000,000","8,017,000,000","7,173,000,000","5,788,000,000","5,718,000,000","6,627,000,000","5,436,000,000","4,272,000,000","4,981,000,000","4,713,000,000","4,143,000,000","3,502,000,000","3,505,000,000","3,977,000,000","3,187,100,000","2,628,700,000","2,867,600,000","3,782,600,000","3,923,500,341","4,368,500,106","3,871,500,102","3,967,698,796","3,198,499,811","2,633,999,801","2,728,700,319","3,358,199,954","2,785,700,635","2,184,899,966","2,327,200,223","3,346,700,140","2,667,800,709","1,657,099,884","1,206,800,049","2,181,700,121","1,960,000,171","1,283,400,529","1,843,899,933","1,453,200,420","854,300,038","1,068,099,676","1,887,099,824","1,045,799,912","636,300,787","1,175,600,000","1,654,000,606","1,081,599,745","372,300,066","1,084,000,316","1,720,500,756","873,299,700","506,100,090","638,300,271","1,100,500,222","700,100,043","497,182,460","552,164,343","1,049,867,996","588,377,358","562,298,862","390,359,602","894,458,327","628,085,106","345,933,701","568,567,877","985,093,168","620,465,245","327,294,384","521,987,747","989,361,702","617,099,361","319,523,639","471,558,895","971,456,018","784,385,057","295,111,937","99,744,932","94,631,987","102,006,920","100,731,192","100,853,789","95,628,766","97,898,578","97,820,822","99,887,767","94,124,700","108,574,147","166,474,652","153,428,377","154,847,551","156,901,343","152,865,682","275,459,484","247,759,804","276,874,488","196,390,559","244,525,547","217,302,860","220,155,039","73,674,800","255,080,930","263,917,526","268,684,373"
CostOfRevenue,"36,906,000,000","8,697,000,000","7,706,000,000","9,701,000,000","10,802,000,000","8,415,000,000","8,411,000,000","7,648,000,000","8,080,000,000","5,963,000,000","5,461,000,000","4,057,000,000","8,900,000,000","8,336,000,000","8,164,000,000","9,283,000,000","8,612,000,000","8,158,000,000","7,816,000,000","7,528,000,000","9,145,000,000","9,627,000,000","6,150,000,000","7,786,000,000","8,237,000,000","7,468,000,000","6,611,000,000","6,142,000,000","6,024,000,000","6,904,000,000","6,897,000,000","6,584,000,000","6,880,000,000","6,999,000,000","7,000,000,000","8,116,000,000","8,945,000,000","7,625,000,000","7,550,000,000","6,519,000,000","6,720,000,000","6,777,000,000","4,552,000,000","4,443,000,000","5,220,000,000","3,923,000,000","3,417,000,000","3,914,000,000","3,600,000,000","3,070,000,000","2,596,000,000","2,556,000,000","3,069,000,000","2,290,200,000","1,828,600,000","2,057,100,000","2,835,100,000","2,922,899,510","3,590,700,447","3,212,900,468","3,065,528,238","2,426,100,864","2,004,600,020","2,047,000,000","2,531,800,046","1,974,600,419","1,562,399,687","1,695,599,554","2,592,000,234","1,938,499,698","1,076,900,116","577,600,344","1,395,700,121","1,186,500,051","781,899,962","1,093,699,800","854,900,315","419,400,855","597,100,216","1,096,500,068","607,100,044","292,099,685","683,800,000","985,299,288","616,800,510","278,700,332","562,799,432","997,099,849","364,199,905","98,699,880","187,599,940","457,000,148","223,199,942","66,089,874","159,207,630","468,025,814","209,811,321","67,463,835","142,310,635","400,117,595","255,035,461","82,028,426","235,050,407","471,359,558","247,853,780",,,,,,,,,"312,560,743","20,136,931","18,677,366","21,314,879","129,140,307","20,144,077","19,356,493","20,385,051","202,001,017","19,453,797","17,865,707","19,621,834",,,,,,,,,,,,,,,,
GrossProfit,"16,403,000,000","4,727,000,000","3,867,000,000","3,514,000,000","4,295,000,000","4,105,000,000","3,055,000,000","3,300,000,000","4,107,000,000","4,045,000,000","3,649,000,000","3,899,000,000","3,113,000,000","4,016,000,000","3,434,000,000","3,980,000,000","4,244,000,000","3,404,000,000","3,529,000,000","3,217,000,000","3,581,000,000","3,262,000,000","3,077,000,000","3,330,000,000","2,909,000,000","1,870,000,000","1,877,000,000","1,797,000,000","2,771,000,000","2,010,000,000","1,423,000,000","2,047,000,000","1,049,000,000","1,798,000,000","1,297,000,000","1,910,000,000","1,576,000,000","668,000,000","1,448,000,000","1,328,000,000","1,297,000,000","396,000,000","1,236,000,000","1,275,000,000","1,407,000,000","1,513,000,000","855,000,000","1,067,000,000","1,113,000,000","1,073,000,000","906,000,000","949,000,000","908,000,000","896,900,000","800,100,000","810,500,000","947,500,000","1,000,600,831","777,799,659","658,599,634","902,170,558","772,398,947","629,399,781","681,700,319","826,399,908","811,100,216","622,500,279","631,600,669","754,699,906","729,301,011","580,199,768","629,199,705","786,000,000","773,500,120","501,500,567","750,200,133","598,300,105","434,899,183","470,999,460","790,599,756","438,699,868","344,201,102","491,800,000","668,701,318","464,799,235","93,599,734","521,200,884","723,400,907","509,099,795","407,400,210","450,700,331","643,500,074","476,900,101","431,092,586","392,956,713","581,842,182","378,566,037","494,835,027","248,048,967","494,340,732","373,049,645","263,905,275","333,517,470","513,733,610","372,611,465",,,,,,,,,"-17,448,806","79,608,001","75,954,621","80,692,041","-28,409,115","80,709,712","76,272,273","77,513,527","-104,180,195","80,433,970","76,258,993","88,952,313",,,,,,,,,,,,,,,,
OperatingExpense,"8,219,000,000","2,261,000,000","2,089,000,000","1,994,000,000","1,875,000,000","2,002,000,000","1,667,000,000","1,484,000,000","1,559,000,000","1,794,000,000","1,554,000,000","1,801,000,000","1,600,000,000","1,930,000,000","1,741,000,000","1,695,000,000","1,625,000,000","1,863,000,000","1,652,000,000","1,636,000,000","1,641,000,000","1,658,000,000","1,587,000,000","1,646,000,000","1,551,000,000","1,156,000,000","1,101,000,000","1,003,000,000","1,097,000,000","1,211,000,000","1,099,000,000","935,000,000","980,000,000","911,000,000","867,000,000","850,000,000","750,000,000","869,000,000","807,000,000","852,000,000","847,000,000","-208,000,000","1,017,000,000","981,000,000","922,000,000","824,000,000","653,000,000","604,000,000","576,000,000","669,000,000","580,000,000","557,000,000","524,000,000","590,200,000","524,800,000","529,800,000","549,200,000","559,401,363","498,699,170","467,599,227","445,427,425","465,698,738","440,999,702","426,500,531","427,399,677","474,099,766","402,000,671","395,100,948","400,399,346","423,400,918","408,599,303","398,199,337","402,700,121","541,999,496","332,700,013","352,500,334","312,800,367","332,699,383","288,299,568","341,299,473","281,499,927","251,700,346","461,100,000","332,201,849","315,699,490","56,700,014","377,500,395","364,700,454","332,699,038","342,599,459","326,299,970","343,500,074","311,399,159","362,299,683","287,894,351","298,181,285","256,905,660","280,000,640","232,899,770","237,689,255","233,617,021","252,379,119","223,449,800","225,120,773","211,575,741",,,,,,,,,"-33,610,833","44,972,480","46,209,186","44,567,474","-63,373,310","41,889,007","46,147,930","45,048,446",,"43,646,340","44,364,508","41,859,912",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"8,219,000,000","2,261,000,000","2,089,000,000","1,994,000,000","1,875,000,000","2,002,000,000","1,667,000,000","1,484,000,000","1,559,000,000","1,794,000,000","1,554,000,000","1,801,000,000","1,600,000,000","1,930,000,000","1,741,000,000","1,695,000,000","1,625,000,000","1,863,000,000","1,652,000,000","1,636,000,000","1,641,000,000","1,658,000,000","1,587,000,000","1,646,000,000","1,541,000,000","1,165,000,000","1,112,000,000","1,003,000,000","1,080,000,000","1,232,000,000","1,097,000,000","928,000,000","991,000,000","917,000,000","805,000,000","814,000,000","745,000,000","788,000,000","766,000,000","796,000,000","664,000,000","853,000,000","724,000,000","681,000,000","632,000,000","579,000,000","417,000,000","378,000,000","346,000,000","417,000,000","366,000,000","359,000,000","324,000,000","387,900,000","333,900,000","339,600,000","368,600,000","384,300,277","327,400,468","309,799,512","291,122,313","318,800,338","290,000,000","274,600,425","280,299,815","324,299,149","256,599,978","248,900,167","254,399,813","275,599,721","267,399,535","255,199,460","259,400,242","357,600,479","217,599,849","237,499,666","202,300,630","223,699,732","180,899,514","212,700,257","183,499,339","150,399,780","245,700,000","227,899,682","210,100,382","7,700,889","259,300,931","246,900,151","225,199,432","223,299,639","224,299,669","220,500,222","202,199,507","244,945,471","191,636,097","210,618,950","174,188,679","198,566,305","155,623,565","161,546,377","159,432,624","180,508,243","153,984,256","158,454,106","145,527,555",,,,,,,,,,"27,251,980","28,361,926","26,712,803",,"24,546,425","28,714,267","27,809,236",,"27,434,842","28,297,362","25,805,684",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"8,219,000,000","2,261,000,000","2,089,000,000","1,994,000,000","1,875,000,000","2,002,000,000","1,667,000,000","1,484,000,000","1,559,000,000","1,794,000,000","1,554,000,000","1,801,000,000","1,600,000,000","1,930,000,000","1,741,000,000","1,695,000,000","1,625,000,000","1,863,000,000","1,652,000,000","1,636,000,000","1,641,000,000","1,658,000,000","1,587,000,000","1,646,000,000","1,541,000,000","1,165,000,000","1,112,000,000","1,003,000,000","1,080,000,000","1,232,000,000","1,097,000,000","928,000,000","991,000,000","917,000,000","805,000,000","814,000,000","745,000,000","788,000,000","766,000,000","796,000,000","664,000,000","853,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"8,219,000,000","2,261,000,000","2,089,000,000","1,994,000,000","1,875,000,000","2,002,000,000","1,667,000,000","1,484,000,000","1,559,000,000","1,794,000,000","1,554,000,000","1,801,000,000","1,600,000,000","1,930,000,000","1,741,000,000","1,695,000,000","1,625,000,000","1,863,000,000","1,652,000,000","1,636,000,000","1,641,000,000","1,658,000,000","1,587,000,000","1,646,000,000","1,541,000,000","1,165,000,000","1,112,000,000","1,003,000,000","1,080,000,000","1,232,000,000","1,097,000,000","928,000,000","991,000,000","917,000,000","805,000,000","814,000,000","745,000,000","788,000,000","766,000,000","796,000,000","664,000,000","853,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,000,000","300,000,000","290,000,000","245,000,000","236,000,000","226,000,000","230,000,000","252,000,000","214,000,000","198,000,000","200,000,000","202,300,000","190,900,000","190,200,000","180,600,000","175,100,021","171,299,766","157,799,715","154,305,113","146,900,387","150,999,702","151,900,106","147,099,862","149,799,501","145,399,575","146,199,665","145,999,533","147,798,872","141,199,768","142,999,877","143,299,879","184,400,277","115,100,164","115,000,667","110,499,738","108,999,589","107,400,054","128,600,567","98,000,588","95,999,906","98,000,000","104,300,652","105,600,701","49,000,717","118,199,463","117,800,303","107,499,606","119,299,819","102,000,301","122,999,852","109,199,652","117,354,211","96,258,254","87,562,335","82,716,981","81,434,334","77,276,205","76,142,878","74,184,397","71,870,876","69,465,543","66,666,667","66,048,186",,,,,,,,,"48,547,846","17,720,499","17,847,261","17,854,671","17,736,615","17,342,583","17,433,662","17,239,210",,"16,211,498","16,067,146","16,054,228",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,000,000","300,000,000","290,000,000","245,000,000","236,000,000","226,000,000","230,000,000","252,000,000","214,000,000","198,000,000","200,000,000","202,300,000","190,900,000","190,200,000","180,600,000","175,100,021","171,299,766","157,799,715","154,305,113","146,900,387","150,999,702","151,900,106","147,099,862","149,799,501","145,399,575","146,199,665","145,999,533","147,798,872","141,199,768","142,999,877","143,299,879","184,400,277","115,100,164","115,000,667","110,499,738","108,999,589","107,400,054","128,600,567","98,000,588","95,999,906","98,000,000","104,300,652","105,600,701","49,000,717","118,199,463","117,800,303","107,499,606","119,299,819","102,000,301","122,999,852","109,199,652","117,354,211","96,258,254","87,562,335","82,716,981","81,434,334","77,276,205","76,142,878","74,184,397","71,870,876","69,465,543","66,666,667","66,048,186",,,,,,,,,"48,547,846","17,720,499","17,847,261","17,854,671","17,736,615","17,342,583","17,433,662","17,239,210",,"16,211,498","16,067,146","16,054,228",,,,,,,,,,,,,,,,
