Date,Open,High,Low,Close,Adj Close,Volume
2001-03-19,7.500000,7.750000,7.460938,7.750000,2.005967,257200
2001-03-20,7.687500,7.687500,7.437500,7.562500,1.957435,228800
2001-03-21,7.449219,7.550781,7.210938,7.500000,1.941259,249600
2001-03-22,7.460938,7.460938,7.125000,7.191406,1.861383,193200
2001-03-23,7.207031,7.363281,7.156250,7.324219,1.895760,102800
2001-03-26,7.363281,7.601563,7.324219,7.585938,1.963502,308400
2001-03-27,7.550781,7.601563,7.414063,7.601563,1.967546,357200
2001-03-28,7.625000,7.750000,7.574219,7.613281,1.970580,222800
2001-03-29,7.648438,7.648438,7.363281,7.363281,1.905870,271200
2001-03-30,7.437500,7.539063,7.414063,7.523438,1.947324,93600
2001-04-02,7.539063,7.585938,7.425781,7.449219,1.928115,78400
2001-04-03,7.500000,7.550781,7.226563,7.226563,1.870483,96400
2001-04-04,7.226563,7.414063,7.226563,7.414063,1.919014,53600
2001-04-05,7.425781,7.488281,7.375000,7.488281,1.938225,77600
2001-04-06,7.476563,7.488281,7.425781,7.437500,1.925080,30400
2001-04-09,7.475000,7.497500,7.425000,7.487500,1.938023,77200
2001-04-10,7.500000,7.575000,7.425000,7.475000,1.934788,126000
2001-04-11,7.512500,7.600000,7.485000,7.600000,1.967140,90000
2001-04-12,7.600000,7.612500,7.525000,7.612500,1.970376,103200
2001-04-16,7.625000,7.750000,7.575000,7.750000,2.005967,122800
2001-04-17,7.775000,7.850000,7.675000,7.825000,2.025379,164800
2001-04-18,7.825000,7.825000,7.475000,7.575000,1.960671,287600
2001-04-19,7.562500,7.700000,7.550000,7.675000,1.986555,47200
2001-04-20,7.625000,7.775000,7.575000,7.750000,2.005967,82800
2001-04-23,7.775000,7.837500,7.687500,7.762500,2.009203,133200
2001-04-24,7.750000,7.875000,7.675000,7.862500,2.035085,376000
2001-04-25,7.812500,8.102500,7.800000,8.075000,2.090088,241200
2001-04-26,8.125000,8.362500,8.075000,8.225000,2.128914,332000
2001-04-27,8.100000,8.175000,8.075000,8.150000,2.128389,122000
2001-04-30,8.175000,8.350000,8.175000,8.325000,2.174093,138000
2001-05-01,8.350000,8.375000,8.317500,8.355000,2.181926,65200
2001-05-02,8.350000,8.362500,8.250000,8.312500,2.170828,273200
2001-05-03,8.287500,8.287500,8.137500,8.190000,2.138835,96800
2001-05-04,8.237500,8.260000,8.150000,8.260000,2.157118,46400
2001-05-07,8.322500,8.500000,8.322500,8.350000,2.180621,199600
2001-05-08,8.350000,8.362500,8.237500,8.250000,2.154506,230000
2001-05-09,8.287500,8.312500,8.187500,8.212500,2.144713,67600
2001-05-10,8.237500,8.287500,8.225000,8.270000,2.159729,26400
2001-05-11,8.275000,8.275000,8.150000,8.185000,2.137532,50800
2001-05-14,8.212500,8.297500,8.212500,8.262500,2.157770,173200
2001-05-15,8.242500,8.325000,8.200000,8.325000,2.174093,100000
2001-05-16,8.300000,8.300000,8.100000,8.100000,2.115334,66000
2001-05-17,8.075000,8.087500,8.025000,8.025000,2.095748,70000
2001-05-18,8.062500,8.070000,7.962500,7.975000,2.082690,67200
2001-05-21,8.000000,8.100000,8.000000,8.075000,2.108805,87200
2001-05-22,8.075000,8.125000,7.975000,8.100000,2.115334,86000
2001-05-23,8.125000,8.125000,8.025000,8.100000,2.115334,52400
2001-05-24,8.137500,8.137500,8.050000,8.075000,2.108805,60400
2001-05-25,8.125000,8.187500,8.075000,8.125000,2.121861,98000
2001-05-29,8.025000,8.112500,8.000000,8.000000,2.089218,55600
2001-05-30,8.000000,8.000000,7.752500,7.792500,2.035028,79600
2001-05-31,7.762500,7.900000,7.750000,7.875000,2.056574,80000
2001-06-01,7.850000,7.872500,7.562500,7.562500,1.974964,110400
2001-06-04,7.550000,7.560000,7.312500,7.450000,1.945584,188800
2001-06-05,7.500000,7.525000,7.262500,7.300000,1.906412,164000
2001-06-06,7.325000,7.342500,7.137500,7.342500,1.917510,200000
2001-06-07,7.325000,7.600000,7.300000,7.500000,1.958642,140400
2001-06-08,7.562500,7.587500,7.537500,7.562500,1.974964,38800
2001-06-11,7.537500,7.625000,7.350000,7.350000,1.919469,92000
2001-06-12,7.362500,7.462500,7.300000,7.462500,1.948848,67200
2001-06-13,7.475000,7.525000,7.450000,7.512500,1.961906,30400
2001-06-14,7.537500,7.575000,7.337500,7.350000,1.919469,60800
2001-06-15,7.375000,7.387500,7.300000,7.300000,1.906412,47600
2001-06-18,7.287500,7.287500,7.250000,7.275000,1.899882,53600
2001-06-19,7.297500,7.337500,7.250000,7.250000,1.893353,42400
2001-06-20,7.225000,7.250000,7.125000,7.145000,1.865933,68800
2001-06-21,7.100000,7.125000,7.012500,7.112500,1.857445,112800
2001-06-22,7.087500,7.250000,7.062500,7.250000,1.893353,156400
2001-06-25,7.275000,7.350000,7.262500,7.350000,1.919469,44400
2001-06-26,7.325000,7.325000,7.250000,7.300000,1.906412,43200
2001-06-27,7.312500,7.462500,7.312500,7.450000,1.945584,36400
2001-06-28,7.462500,7.462500,7.350000,7.400000,1.932526,46400
2001-06-29,7.375000,7.375000,7.350000,7.352500,1.920122,18400
2001-07-02,7.337500,7.372500,7.300000,7.372500,1.925345,52000
2001-07-03,7.347500,7.350000,7.312500,7.350000,1.919469,16000
2001-07-05,7.325000,7.437500,7.287500,7.437500,1.942320,50800
2001-07-06,7.437500,7.437500,7.435000,7.437500,1.942320,10000
2001-07-09,7.437500,7.600000,7.362500,7.562500,1.974964,71600
2001-07-10,7.575000,7.762500,7.575000,7.612500,1.988021,139600
2001-07-11,7.637500,7.750000,7.637500,7.737500,2.020666,45200
2001-07-12,7.762500,7.800000,7.750000,7.750000,2.023930,16400
2001-07-13,7.775000,7.825000,7.725000,7.762500,2.027195,18000
2001-07-16,7.750000,7.750000,7.650000,7.700000,2.010873,30800
2001-07-17,7.725000,7.787500,7.712500,7.775000,2.030459,36800
2001-07-18,7.750000,7.850000,7.687500,7.850000,2.050045,80000
2001-07-19,7.912500,7.925000,7.625000,7.650000,1.997815,66000
2001-07-20,7.675000,7.675000,7.450000,7.475000,1.952113,46000
2001-07-23,7.450000,7.512500,7.437500,7.462500,1.948848,32000
2001-07-24,7.487500,7.737500,7.475000,7.737500,2.020666,44800
2001-07-25,7.762500,7.762500,7.637500,7.675000,2.004344,42000
2001-07-26,7.675000,7.737500,7.630000,7.737500,2.020666,40800
2001-07-27,7.800000,7.975000,7.750000,7.962500,2.079424,105600
2001-07-30,8.012500,8.212500,8.012500,8.200000,2.141449,123600
2001-07-31,8.075000,8.075000,7.875000,7.887500,2.095812,65600
2001-08-01,7.862500,7.875000,7.705000,7.705000,2.047319,46000
2001-08-02,7.662500,7.687500,7.625000,7.662500,2.036026,44800
2001-08-03,7.662500,7.662500,7.537500,7.547500,2.005470,71600
2001-08-06,7.562500,7.662500,7.550000,7.612500,2.022741,65600
2001-08-07,7.587500,7.725000,7.562500,7.725000,2.052634,60000
2001-08-08,7.747500,7.812500,7.737500,7.812500,2.075884,8400
2001-08-09,7.837500,7.962500,7.825000,7.962500,2.115740,52800
2001-08-10,7.975000,8.212500,7.962500,8.187500,2.175525,62000
2001-08-13,8.150000,8.250000,8.062500,8.225000,2.185491,61200
2001-08-14,8.250000,8.387500,8.250000,8.350000,2.218704,56000
2001-08-15,8.375000,8.600000,8.375000,8.525000,2.265204,58000
2001-08-16,8.537500,8.687500,8.480000,8.605000,2.286462,122800
2001-08-17,8.637500,8.750000,8.637500,8.687500,2.308383,26400
2001-08-20,8.737500,8.800000,8.690000,8.775000,2.331632,62000
2001-08-21,8.775000,9.350000,8.775000,9.275000,2.464489,151200
2001-08-22,9.225000,9.375000,8.875000,8.912500,2.368168,115200
2001-08-23,8.925000,9.000000,8.600000,8.640000,2.295761,86400
2001-08-24,8.855000,9.437500,8.855000,9.362500,2.487739,212800
2001-08-27,9.400000,10.000000,9.272500,9.432500,2.506339,359200
2001-08-28,9.400000,9.812500,9.025000,9.562500,2.540882,190800
2001-08-29,9.612500,9.612500,9.362500,9.425000,2.504345,220400
2001-08-30,9.427500,9.500000,9.387500,9.432500,2.506339,144800
2001-08-31,9.432500,9.625000,9.412500,9.525000,2.530917,52000
2001-09-04,9.562500,9.997500,9.562500,9.997500,2.656466,146000
2001-09-05,10.000000,10.437500,9.975000,10.000000,2.657131,644400
2001-09-06,10.012500,10.150000,9.900000,10.037500,2.667095,93200
2001-09-07,10.025000,10.350000,9.800000,10.100000,2.683703,151200
2001-09-10,10.100000,10.275000,9.950000,9.975000,2.650489,141200
2001-09-17,9.950000,10.225000,9.950000,9.950000,2.643845,176000
2001-09-18,9.975000,10.000000,9.875000,9.962500,2.647167,54400
2001-09-19,9.987500,10.012500,8.500000,9.037500,2.401381,357200
2001-09-20,8.950000,9.075000,8.550000,8.557500,2.273840,312000
2001-09-21,8.495000,8.875000,8.432500,8.875000,2.358204,232000
