Date,Open,High,Low,Close,Adj Close,Volume
1980-10-01,0.000000,3.939765,3.775608,3.885046,0.599207,203768
1980-10-02,0.000000,4.350158,3.939765,4.213360,0.649844,356366
1980-10-03,0.000000,4.322798,4.240720,4.281759,0.660393,257680
1980-10-06,0.000000,4.295439,4.158641,4.158641,0.641404,137978
1980-10-07,0.000000,4.186001,4.035524,4.076563,0.628745,262249
1980-10-08,0.000000,4.227040,4.076563,4.199680,0.647734,85893
1980-10-09,0.000000,4.268079,4.103922,4.227040,0.651954,185493
1980-10-10,0.000000,4.391197,4.199680,4.309118,0.664613,147115
1980-10-13,0.000000,4.418556,4.295439,4.391197,0.677273,63049
1980-10-14,0.000000,4.569033,4.391197,4.541674,0.700481,111479
1980-10-15,0.000000,4.527994,4.404877,4.404877,0.679383,62136
1980-10-16,0.000000,4.404877,4.281759,4.363837,0.673053,98686
1980-10-17,0.000000,4.596393,4.336478,4.596393,0.708921,148943
1980-10-20,0.000000,4.774230,4.610073,4.746870,0.732130,174528
1980-10-21,0.000000,4.787909,4.459596,4.541674,0.700481,338091
1980-10-22,0.000000,4.623752,4.377517,4.541674,0.700481,305196
1980-10-23,0.000000,4.651112,4.514314,4.651112,0.717360,148029
1980-10-24,0.000000,4.596393,4.541674,4.569033,0.704701,129754
1980-10-27,0.000000,4.555354,4.432236,4.432236,0.683602,182752
1980-10-28,0.000000,4.541674,4.268079,4.486955,0.692042,195545
1980-10-29,0.000000,4.569033,4.404877,4.404877,0.679383,55739
1980-10-30,0.000000,4.363837,4.268079,4.268079,0.658284,49343
1980-10-31,0.000000,4.377517,4.254399,4.377517,0.675162,52998
1980-11-03,0.000000,4.350158,4.213360,4.268079,0.658284,58481
1980-11-05,0.000000,4.445916,4.309118,4.309118,0.664613,180924
1980-11-06,0.000000,4.268079,4.172321,4.172321,0.643514,103255
1980-11-07,0.000000,4.131282,4.021844,4.090243,0.630855,66704
1980-11-10,0.000000,4.131282,4.076563,4.131282,0.637185,47516
1980-11-11,0.000000,4.268079,4.131282,4.172321,0.643514,163563
1980-11-12,0.000000,4.350158,4.186001,4.350158,0.670943,123358
1980-11-13,0.000000,4.459596,4.281759,4.459596,0.687822,505309
1980-11-14,0.000000,4.664792,4.541674,4.637432,0.715250,463276
1980-11-17,0.000000,4.664792,4.569033,4.569033,0.704701,128840
1980-11-18,0.000000,4.842628,4.569033,4.705831,0.725800,310678
1980-11-19,0.000000,4.911027,4.787909,4.787909,0.738459,392917
1980-11-20,0.000000,4.828949,4.705831,4.746870,0.732130,353625
1980-11-21,0.000000,4.733190,4.651112,4.651112,0.717360,444087
1980-11-24,0.000000,4.692151,4.486955,4.569033,0.704701,117875
1980-11-25,0.000000,4.637432,4.514314,4.637432,0.715250,821470
1980-11-26,0.000000,4.678471,4.541674,4.596393,0.708921,245801
1980-11-28,0.000000,4.637432,4.527994,4.555354,0.702591,158994
1980-12-01,0.000000,4.610073,4.500635,4.514314,0.696261,98686
1980-12-02,0.000000,4.582713,4.541674,4.582713,0.706811,32895
1980-12-03,0.000000,4.678471,4.555354,4.569033,0.704701,63049
1980-12-04,0.000000,4.610073,4.541674,4.541674,0.700481,61222
1980-12-05,0.000000,4.582713,4.514314,4.514314,0.696261,60308
1980-12-08,0.000000,4.459596,4.336478,4.336478,0.668833,71273
1980-12-09,0.000000,4.336478,4.240720,4.240720,0.654064,31982
1980-12-10,0.000000,4.268079,4.131282,4.131282,0.637185,31982
1980-12-11,0.000000,4.090243,3.885046,3.912406,0.603427,79497
1980-12-12,0.000000,4.035524,3.926086,3.926086,0.605536,52998
1980-12-15,0.000000,4.186001,3.926086,4.186001,0.645624,70360
1980-12-16,0.000000,4.172321,4.049203,4.076563,0.628745,84066
1980-12-17,0.000000,4.158641,4.076563,4.117602,0.635074,38378
1980-12-18,0.000000,4.268079,4.158641,4.172321,0.643514,51171
1980-12-19,0.000000,4.240720,4.199680,4.199680,0.647734,30154
1980-12-22,0.000000,4.254399,4.186001,4.186001,0.645624,59394
1980-12-23,0.000000,4.254399,4.172321,4.172321,0.643514,66704
1980-12-24,0.000000,4.131282,4.076563,4.131282,0.637185,69446
1980-12-26,0.000000,4.158641,4.103922,4.103922,0.632965,11879
1980-12-29,0.000000,4.213360,4.144961,4.144961,0.639294,94117
1980-12-30,0.000000,4.158641,4.090243,4.131282,0.637185,40205
1980-12-31,0.000000,4.172321,4.103922,4.131282,0.637185,53912
1981-01-02,0.000000,4.186001,4.131282,4.186001,0.645624,44774
1981-01-05,0.000000,4.350158,4.186001,4.350158,0.670943,64877
1981-01-06,0.000000,4.486955,4.377517,4.445916,0.685712,137978
1981-01-07,0.000000,4.363837,4.103922,4.309118,0.664613,229354
1981-01-08,0.000000,4.336478,4.213360,4.281759,0.660393,148943
1981-01-09,0.000000,4.350158,4.227040,4.336478,0.668833,45688
1981-01-12,0.000000,4.445916,4.336478,4.418556,0.681493,63049
1981-01-13,0.000000,4.432236,4.309118,4.336478,0.668833,41119
1981-01-14,0.000000,4.336478,4.281759,4.309118,0.664613,91376
1981-01-15,0.000000,4.336478,4.254399,4.309118,0.664613,97772
1981-01-16,0.000000,4.418556,4.295439,4.336478,0.668833,164477
1981-01-19,0.000000,4.309118,4.295439,4.295439,0.662503,69446
1981-01-20,0.000000,4.322798,4.281759,4.281759,0.660393,39292
1981-01-21,0.000000,4.268079,4.172321,4.227040,0.651954,47516
1981-01-22,0.000000,4.268079,4.131282,4.158641,0.641404,57567
1981-01-23,0.000000,4.186001,4.090243,4.131282,0.637185,63049
1981-01-26,0.000000,4.131282,4.049203,4.090243,0.630855,62136
1981-01-27,0.000000,4.227040,4.076563,4.199680,0.647734,58481
1981-01-28,0.000000,4.199680,4.158641,4.186001,0.645624,53912
1981-01-29,0.000000,4.199680,4.158641,4.199680,0.647734,31982
1981-01-30,0.000000,4.295439,4.199680,4.268079,0.658284,81325
1981-02-02,0.000000,4.240720,4.158641,4.158641,0.641404,134323
1981-02-03,0.000000,4.158641,3.994484,4.144961,0.639294,150770
1981-02-04,0.000000,4.158641,4.035524,4.035524,0.622415,80411
1981-02-05,0.000000,4.062883,3.980805,4.062883,0.626635,28327
1981-02-06,0.000000,4.131282,4.049203,4.131282,0.637185,59394
1981-02-09,0.000000,4.144961,4.117602,4.144961,0.639294,83152
1981-02-10,0.000000,4.144961,4.076563,4.076563,0.628745,43860
1981-02-11,0.000000,4.090243,3.939765,3.939765,0.607646,58481
1981-02-12,0.000000,3.939765,3.802968,3.857687,0.594987,54826
1981-02-13,0.000000,3.898726,3.748249,3.816648,0.588657,84980
1981-02-17,0.000000,3.912406,3.789288,3.816648,0.588657,88635
1981-02-18,0.000000,3.844007,3.775608,3.802968,0.586548,22844
1981-02-19,0.000000,3.816648,3.775608,3.802968,0.586548,87721
1981-02-20,0.000000,3.789288,3.720890,3.775608,0.582328,64877
1981-02-23,0.000000,3.830327,3.707210,3.720890,0.573888,93204
1981-02-24,0.000000,3.761929,3.693530,3.734569,0.575998,29240
1981-02-25,0.000000,3.720890,3.611452,3.707210,0.571778,84980
1981-02-26,0.000000,3.748249,3.652491,3.693530,0.569668,58481
1981-02-27,0.000000,3.720890,3.652491,3.707210,0.571778,122444
1981-03-02,0.000000,3.802968,3.693530,3.802968,0.586548,60308
1981-03-03,0.000000,3.912406,3.844007,3.885046,0.599207,49343
1981-03-04,0.000000,3.926086,3.816648,3.885046,0.599207,124271
1981-03-05,0.000000,3.898726,3.775608,3.789288,0.584438,33809
1981-03-06,0.000000,3.775608,3.707210,3.720890,0.573888,37464
1981-03-09,0.000000,3.775608,3.693530,3.693530,0.569668,40205
1981-03-10,0.000000,3.761929,3.679850,3.734569,0.575998,77670
1981-03-11,0.000000,3.734569,3.556733,3.584092,0.552789,87721
1981-03-12,0.000000,3.939765,3.638811,3.939765,0.607646,63049
1981-03-13,0.000000,3.980805,3.926086,3.953445,0.609756,50257
1981-03-16,0.000000,3.939765,3.844007,3.912406,0.603427,39292
1981-03-17,0.000000,3.994484,3.912406,3.967125,0.611866,24672
1981-03-18,0.000000,3.967125,3.871367,3.898726,0.601317,54826
1981-03-19,0.000000,3.898726,3.816648,3.885046,0.599207,77670
1981-03-20,0.000000,3.871367,3.830327,3.871367,0.597097,38378
1981-03-23,0.000000,3.871367,3.789288,3.844007,0.592877,100514
1981-03-24,0.000000,3.871367,3.761929,3.761929,0.580218,31068
1981-03-25,0.000000,3.844007,3.666171,3.707210,0.571778,72187
1981-03-26,0.000000,3.707210,3.570412,3.570412,0.550679,104169
1981-03-27,0.000000,3.775608,3.597772,3.734569,0.575998,47516
1981-03-30,0.000000,3.789288,3.720890,3.775608,0.582328,49343
1981-03-31,0.000000,3.830327,3.720890,3.830327,0.590767,38378
1981-04-01,0.000000,4.008164,3.857687,4.008164,0.618195,120616
1981-04-02,0.000000,4.021844,3.994484,4.021844,0.620306,62136
1981-04-03,0.000000,4.021844,3.967125,3.967125,0.611866,47516
1981-04-06,0.000000,3.953445,3.898726,3.926086,0.605536,28327
1981-04-07,0.000000,3.939765,3.898726,3.939765,0.607646,21930
1981-04-08,0.000000,4.021844,3.939765,3.980805,0.613976,134323
1981-04-09,0.000000,4.008164,3.953445,3.980805,0.613976,36550
1981-04-10,0.000000,3.994484,3.953445,3.953445,0.609756,34723
1981-04-13,0.000000,3.994484,3.967125,3.967125,0.611866,56653
1981-04-14,0.000000,3.980805,3.898726,3.926086,0.605536,52084
1981-04-15,0.000000,3.926086,3.885046,3.885046,0.599207,18275
1981-04-16,0.000000,3.885046,3.830327,3.830327,0.590767,88635
1981-04-20,0.000000,3.816648,3.720890,3.789288,0.584438,77670
1981-04-21,0.000000,3.748249,3.611452,3.638811,0.561229,279611
1981-04-22,0.000000,3.666171,3.611452,3.652491,0.563339,18275
1981-04-23,0.000000,3.679850,3.652491,3.652491,0.563339,27413
1981-04-24,0.000000,3.597772,3.543053,3.597772,0.554899,58481
1981-04-27,0.000000,3.597772,3.556733,3.597772,0.554899,32895
1981-04-28,0.000000,3.597772,3.570412,3.584092,0.552789,56653
1981-04-29,0.000000,3.597772,3.502014,3.543053,0.546459,98686
1981-04-30,0.000000,3.597772,3.529373,3.584092,0.552789,53912
1981-05-01,0.000000,3.597772,3.570412,3.570412,0.550679,22844
1981-05-04,0.000000,3.584092,3.556733,3.584092,0.552789,15534
1981-05-05,0.000000,3.584092,3.502014,3.556733,0.548570,52998
1981-05-06,0.000000,3.556733,3.515693,3.556733,0.548570,64877
1981-05-07,0.000000,3.556733,3.515693,3.543053,0.546459,27413
1981-05-08,0.000000,3.597772,3.556733,3.597772,0.554899,77670
1981-05-11,0.000000,3.597772,3.543053,3.543053,0.546459,86807
1981-05-12,0.000000,3.556733,3.502014,3.543053,0.546459,50257
1981-05-13,0.000000,3.611452,3.543053,3.584092,0.552789,199200
1981-05-14,0.000000,3.611452,3.570412,3.597772,0.554899,43860
1981-05-15,0.000000,3.666171,3.584092,3.666171,0.565449,116961
1981-05-18,0.000000,3.666171,3.597772,3.625131,0.559119,35637
1981-05-19,0.000000,3.707210,3.638811,3.666171,0.565449,43860
1981-05-20,0.000000,3.625131,3.570412,3.570412,0.550679,33809
1981-05-21,0.000000,3.666171,3.611452,3.638811,0.561229,39292
1981-05-22,0.000000,3.693530,3.638811,3.666171,0.565449,37464
1981-05-26,0.000000,3.720890,3.638811,3.666171,0.565449,50257
1981-05-27,0.000000,3.638811,3.584092,3.611452,0.557009,35637
1981-05-28,0.000000,3.625131,3.556733,3.556733,0.548570,81325
1981-05-29,0.000000,3.584092,3.529373,3.570412,0.550679,35637
1981-06-01,0.000000,3.556733,3.474654,3.474654,0.535910,53912
1981-06-02,0.000000,3.502014,3.228419,3.283138,0.506372,62136
1981-06-03,0.000000,3.296818,3.187380,3.269458,0.504262,83152
1981-06-04,0.000000,3.365216,3.296818,3.337857,0.514811,43860
1981-06-05,0.000000,3.351537,3.283138,3.310497,0.510591,74928
1981-06-08,0.000000,3.324177,3.228419,3.228419,0.497932,75842
1981-06-09,0.000000,3.324177,3.255778,3.324177,0.512702,41119
1981-06-10,0.000000,3.378896,3.283138,3.378896,0.521141,72187
1981-06-11,0.000000,3.488334,3.392576,3.460974,0.533800,52084
1981-06-12,0.000000,3.474654,3.351537,3.419935,0.527471,75842
1981-06-15,0.000000,3.488334,3.433615,3.460974,0.533800,51171
1981-06-16,0.000000,3.529373,3.447295,3.447295,0.531691,67618
1981-06-17,0.000000,3.488334,3.392576,3.488334,0.538020,84066
1981-06-18,0.000000,3.666171,3.460974,3.611452,0.557009,88635
1981-06-19,0.000000,3.611452,3.502014,3.502014,0.540130,40205
1981-06-22,0.000000,3.529373,3.447295,3.502014,0.540130,33809
1981-06-23,0.000000,3.543053,3.460974,3.529373,0.544350,48429
1981-06-24,0.000000,3.556733,3.502014,3.502014,0.540130,21016
1981-06-25,0.000000,3.488334,3.406255,3.406255,0.525361,52084
1981-06-26,0.000000,3.447295,3.406255,3.447295,0.531691,46602
1981-06-29,0.000000,3.529373,3.351537,3.351537,0.516922,45688
1981-06-30,0.000000,3.365216,3.310497,3.310497,0.510591,81325
1981-07-01,0.000000,3.283138,3.228419,3.242099,0.500042,39292
1981-07-02,0.000000,3.324177,3.269458,3.296818,0.508482,31068
1981-07-06,0.000000,3.283138,3.173700,3.173700,0.489493,81325
1981-07-07,0.000000,3.187380,3.091621,3.173700,0.489493,121530
1981-07-08,0.000000,3.269458,3.201059,3.269458,0.504262,48429
1981-07-09,0.000000,3.378896,3.255778,3.378896,0.521141,31982
1981-07-10,0.000000,3.556733,3.406255,3.529373,0.544350,84066
1981-07-13,0.000000,3.570412,3.502014,3.529373,0.544350,46602
1981-07-14,0.000000,3.529373,3.502014,3.502014,0.540130,105082
1981-07-15,0.000000,3.543053,3.502014,3.543053,0.546459,40205
1981-07-16,0.000000,3.625131,3.556733,3.625131,0.559119,48429
1981-07-17,0.000000,3.693530,3.625131,3.638811,0.561229,105082
1981-07-20,0.000000,3.693530,3.584092,3.638811,0.561229,99600
1981-07-21,0.000000,3.720890,3.611452,3.720890,0.573888,76756
1981-07-22,0.000000,3.830327,3.720890,3.789288,0.584438,87721
1981-07-23,0.000000,3.830327,3.748249,3.775608,0.582328,102341
1981-07-24,0.000000,3.775608,3.720890,3.748249,0.578108,70360
1981-07-27,0.000000,3.748249,3.720890,3.720890,0.573888,42033
1981-07-28,0.000000,3.748249,3.693530,3.693530,0.569668,93204
1981-07-29,0.000000,3.734569,3.625131,3.625131,0.559119,31982
1981-07-30,0.000000,3.679850,3.638811,3.679850,0.567558,16448
1981-07-31,0.000000,3.720890,3.679850,3.707210,0.571778,30154
1981-08-03,0.000000,3.789288,3.720890,3.761929,0.580218,36550
1981-08-04,0.000000,3.775608,3.707210,3.720890,0.573888,43860
1981-08-05,0.000000,3.748249,3.720890,3.748249,0.578108,52084
1981-08-06,0.000000,3.816648,3.748249,3.775608,0.582328,73101
1981-08-07,0.000000,3.789288,3.720890,3.789288,0.584438,40205
1981-08-10,0.000000,3.802968,3.775608,3.802968,0.586548,31982
1981-08-11,0.000000,4.008164,3.802968,4.008164,0.618195,123358
1981-08-12,0.000000,4.131282,4.008164,4.049203,0.624525,158080
1981-08-13,0.000000,4.158641,4.049203,4.131282,0.637185,84066
1981-08-14,0.000000,4.268079,4.158641,4.240720,0.654064,134323
1981-08-17,0.000000,4.268079,4.213360,4.227040,0.651954,76756
1981-08-18,0.000000,4.240720,4.144961,4.144961,0.639294,63963
1981-08-19,0.000000,4.131282,3.953445,3.980805,0.613976,39292
1981-08-20,0.000000,3.994484,3.939765,3.967125,0.611866,25585
1981-08-21,0.000000,3.939765,3.802968,3.844007,0.592877,81325
1981-08-24,0.000000,3.885046,3.775608,3.885046,0.599207,55739
1981-08-25,0.000000,3.830327,3.652491,3.720890,0.573888,83152
1981-08-26,0.000000,3.748249,3.652491,3.666171,0.565449,47516
1981-08-27,0.000000,3.707210,3.597772,3.597772,0.554899,23758
1981-08-28,0.000000,3.679850,3.556733,3.652491,0.563339,45688
1981-08-31,0.000000,3.748249,3.666171,3.707210,0.571778,24672
1981-09-01,0.000000,3.679850,3.625131,3.666171,0.565449,18275
1981-09-02,0.000000,3.652491,3.584092,3.638811,0.561229,26499
1981-09-03,0.000000,3.652491,3.611452,3.638811,0.561229,23758
1981-09-04,0.000000,3.625131,3.556733,3.556733,0.548570,65791
1981-09-08,0.000000,3.597772,3.474654,3.474654,0.535910,61222
1981-09-09,0.000000,3.460974,3.447295,3.447295,0.531691,21930
1981-09-10,0.000000,3.529373,3.447295,3.502014,0.540130,44774
1981-09-11,0.000000,3.611452,3.543053,3.611452,0.557009,31068
1981-09-14,0.000000,3.638811,3.584092,3.638811,0.561229,31068
1981-09-15,0.000000,3.652491,3.515693,3.515693,0.542240,45688
1981-09-16,0.000000,3.502014,3.447295,3.447295,0.531691,42947
1981-09-17,0.000000,3.447295,3.419935,3.419935,0.527471,31982
1981-09-18,0.000000,3.447295,3.392576,3.406255,0.525361,50257
1981-09-21,0.000000,3.365216,3.296818,3.324177,0.512702,49343
1981-09-22,0.000000,3.310497,3.201059,3.269458,0.504262,23758
1981-09-23,0.000000,3.310497,3.091621,3.132661,0.483163,45688
1981-09-24,0.000000,3.160020,3.077942,3.146340,0.485273,34723
1981-09-25,0.000000,3.173700,3.091621,3.146340,0.485273,33809
1981-09-28,0.000000,3.160020,3.050582,3.132661,0.483163,53912
1981-09-29,0.000000,3.283138,3.201059,3.242099,0.500042,41119
1981-09-30,0.000000,3.283138,3.228419,3.228419,0.497932,22844
1981-10-01,0.000000,3.214739,3.146340,3.201059,0.493713,58481
1981-10-02,0.000000,3.255778,3.173700,3.255778,0.502152,77670
1981-10-05,0.000000,3.283138,3.187380,3.187380,0.491603,51171
1981-10-06,0.000000,3.242099,3.173700,3.201059,0.493713,37464
1981-10-07,0.000000,3.283138,3.187380,3.283138,0.506372,84980
1981-10-08,0.000000,3.310497,3.283138,3.310497,0.510591,34723
1981-10-09,0.000000,3.324177,3.269458,3.296818,0.508482,40205
1981-10-12,0.000000,3.324177,3.296818,3.324177,0.512702,39292
1981-10-13,0.000000,3.337857,3.296818,3.324177,0.512702,14620
1981-10-14,0.000000,3.351537,3.283138,3.324177,0.512702,45688
1981-10-15,0.000000,3.351537,3.283138,3.324177,0.512702,20103
1981-10-16,0.000000,3.378896,3.283138,3.283138,0.506372,45688
1981-10-19,0.000000,3.283138,3.187380,3.283138,0.506372,772127
1981-10-20,0.000000,3.296818,3.242099,3.296818,0.508482,237578
1981-10-21,0.000000,3.310497,3.255778,3.255778,0.502152,35637
1981-10-22,0.000000,3.228419,3.173700,3.228419,0.497932,40205
1981-10-23,0.000000,3.228419,3.173700,3.228419,0.497932,40205
1981-10-26,0.000000,3.187380,3.118981,3.132661,0.483163,30154
1981-10-27,0.000000,3.146340,3.036902,3.091621,0.476833,57567
1981-10-28,0.000000,3.146340,3.077942,3.146340,0.485273,84066
1981-10-29,0.000000,3.132661,3.077942,3.105301,0.478943,17361
1981-10-30,0.000000,3.255778,3.091621,3.255778,0.502152,53912
1981-11-02,0.000000,3.378896,3.187380,3.365216,0.519031,45688
1981-11-03,0.000000,3.502014,3.392576,3.502014,0.540130,55739
1981-11-04,0.000000,3.543053,3.447295,3.460974,0.533800,102341
1981-11-05,0.000000,3.474654,3.283138,3.337857,0.514811,29240
1981-11-06,0.000000,3.365216,3.283138,3.324177,0.512702,8224
1981-11-09,0.000000,3.324177,3.283138,3.283138,0.506372,19189
1981-11-10,0.000000,3.269458,3.228419,3.269458,0.504262,947569
1981-11-11,0.000000,3.283138,3.228419,3.242099,0.500042,92290
1981-11-12,0.000000,3.269458,3.228419,3.255778,0.502152,196458
1981-11-13,0.000000,3.228419,3.077942,3.146340,0.485273,303368
1981-11-16,0.000000,3.132661,2.968504,3.118981,0.481054,402054
1981-11-17,0.000000,3.105301,3.023223,3.105301,0.478943,227526
1981-11-18,0.000000,3.146340,3.064262,3.146340,0.485273,177269
1981-11-19,0.000000,3.255778,3.118981,3.214739,0.495822,91376
1981-11-20,0.000000,3.255778,3.201059,3.228419,0.497932,229354
1981-11-23,0.000000,3.255778,3.173700,3.201059,0.493713,260422
1981-11-24,0.000000,3.228419,3.091621,3.187380,0.491603,57567
1981-11-25,0.000000,3.228419,3.173700,3.201059,0.493713,110565
1981-11-27,0.000000,3.255778,3.187380,3.201059,0.493713,113306
1981-11-30,0.000000,3.242099,3.173700,3.187380,0.491603,71273
1981-12-01,0.000000,3.214739,3.173700,3.201059,0.493713,74015
1981-12-02,0.000000,3.201059,3.077942,3.146340,0.485273,169959
1981-12-03,0.000000,3.201059,3.091621,3.201059,0.493713,105996
1981-12-04,0.000000,3.228419,3.118981,3.187380,0.491603,447742
1981-12-07,0.000000,3.201059,3.118981,3.160020,0.487383,82238
1981-12-08,0.000000,3.160020,3.118981,3.160020,0.487383,63963
1981-12-09,0.000000,3.173700,3.132661,3.132661,0.483163,54826
1981-12-10,0.000000,3.201059,3.132661,3.173700,0.489493,264990
1981-12-11,0.000000,3.201059,3.118981,3.201059,0.493713,99600
1981-12-14,0.000000,3.201059,3.118981,3.173700,0.489493,63049
1981-12-15,0.000000,3.160020,3.105301,3.132661,0.483163,56653
1981-12-16,0.000000,3.187380,3.091621,3.187380,0.491603,179097
1981-12-17,0.000000,3.173700,3.105301,3.173700,0.489493,42947
1981-12-18,0.000000,3.160020,3.050582,3.118981,0.481054,116961
1981-12-21,0.000000,3.118981,3.050582,3.105301,0.478943,48429
1981-12-22,0.000000,3.077942,3.036902,3.064262,0.472614,46602
1981-12-23,0.000000,3.091621,3.023223,3.077942,0.474723,42033
1981-12-24,0.000000,3.091621,3.009543,3.091621,0.476833,52084
1981-12-28,0.000000,3.091621,3.009543,3.050582,0.470504,62136
1981-12-29,0.000000,3.064262,3.023223,3.036902,0.468394,68532
1981-12-30,0.000000,3.036902,2.968504,3.009543,0.464174,110565
1981-12-31,0.000000,3.064262,2.995863,3.023223,0.466284,664304
