Date,Open,High,Low,Close,Adj Close,Volume
1998-11-18,10.000000,10.031250,10.000000,10.000000,1.745104,5362800
1998-11-19,10.000000,10.093750,10.000000,10.000000,1.745104,482800
1998-11-20,10.031250,10.031250,10.000000,10.000000,1.745104,542400
1998-11-23,10.000000,10.031250,10.000000,10.000000,1.745104,350800
1998-11-24,10.031250,10.031250,10.000000,10.000000,1.745104,259400
1998-11-25,10.000000,10.031250,10.000000,10.031250,1.750558,138200
1998-11-27,10.000000,10.031250,10.000000,10.000000,1.745104,57000
1998-11-30,10.031250,10.031250,10.000000,10.000000,1.745104,203000
1998-12-01,10.000000,10.031250,10.000000,10.000000,1.745104,173800
1998-12-02,10.000000,10.031250,10.000000,10.000000,1.745104,326600
1998-12-03,10.000000,10.031250,9.875000,9.875000,1.723291,1284600
1998-12-04,9.875000,9.906250,9.656250,9.812500,1.712384,720000
1998-12-07,9.750000,9.781250,9.625000,9.687500,1.690570,137200
1998-12-08,9.687500,9.812500,9.687500,9.750000,1.701477,94600
1998-12-09,9.750000,9.781250,9.718750,9.750000,1.701477,76800
1998-12-10,9.750000,9.781250,9.687500,9.750000,1.701477,119600
1998-12-11,9.750000,9.781250,9.687500,9.687500,1.690570,112000
1998-12-14,9.687500,9.718750,9.593750,9.625000,1.679663,270400
1998-12-15,9.687500,9.718750,9.375000,9.500000,1.657849,425400
1998-12-16,9.593750,9.593750,9.250000,9.312500,1.625129,161000
1998-12-17,9.312500,9.406250,9.218750,9.406250,1.641490,84000
1998-12-18,9.406250,9.406250,9.218750,9.250000,1.614221,85400
1998-12-21,9.250000,9.375000,9.031250,9.062500,1.581501,294200
1998-12-22,9.062500,9.062500,8.812500,8.937500,1.559687,437600
1998-12-23,9.000000,9.000000,8.562500,8.656250,1.510606,540200
1998-12-24,8.625000,8.687500,8.500000,8.687500,1.516060,144200
1998-12-28,8.562500,8.625000,8.125000,8.468750,1.477885,494400
1998-12-29,8.343750,8.406250,8.125000,8.375000,1.461525,378200
1998-12-30,8.375000,8.562500,8.218750,8.562500,1.494246,355400
1998-12-31,8.687500,8.687500,8.406250,8.656250,1.510606,285800
1999-01-04,8.718750,9.000000,8.656250,8.968750,1.565141,124400
1999-01-05,9.093750,9.500000,9.031250,9.187500,1.603315,297000
1999-01-06,9.187500,9.187500,8.812500,8.937500,1.559687,257000
1999-01-07,8.812500,8.937500,8.718750,8.875000,1.548781,212000
1999-01-08,9.000000,9.000000,8.843750,8.937500,1.559687,137800
1999-01-11,9.031250,9.031250,8.812500,8.843750,1.543327,140000
1999-01-12,8.812500,9.000000,8.750000,8.875000,1.548781,142800
1999-01-13,8.906250,8.906250,8.781250,8.812500,1.537874,151600
1999-01-14,8.875000,8.906250,8.625000,8.625000,1.505152,121600
1999-01-15,8.562500,8.781250,8.562500,8.718750,1.521512,112000
1999-01-19,8.812500,8.937500,8.687500,8.875000,1.548781,144000
1999-01-20,8.875000,8.906250,8.750000,8.781250,1.532419,177800
1999-01-21,8.812500,8.906250,8.687500,8.812500,1.537874,128400
1999-01-22,8.750000,8.812500,8.687500,8.781250,1.532419,141400
1999-01-25,8.812500,8.812500,8.500000,8.656250,1.510606,248000
1999-01-26,8.687500,8.687500,8.500000,8.593750,1.499699,114200
1999-01-27,8.531250,8.687500,8.500000,8.656250,1.551220,97200
1999-01-28,8.687500,8.687500,8.437500,8.500000,1.523219,144800
1999-01-29,8.531250,8.656250,8.250000,8.656250,1.551220,139200
1999-02-01,8.625000,8.625000,8.437500,8.562500,1.534420,71400
1999-02-02,8.562500,8.625000,8.312500,8.375000,1.500819,287200
1999-02-03,8.375000,8.562500,8.281250,8.437500,1.512019,102400
1999-02-04,8.531250,8.625000,8.375000,8.593750,1.540020,140200
1999-02-05,8.593750,8.625000,8.437500,8.468750,1.517619,128600
1999-02-08,8.562500,8.625000,8.437500,8.593750,1.540020,120600
1999-02-09,8.562500,8.593750,8.375000,8.375000,1.500819,111200
1999-02-10,8.375000,8.406250,8.125000,8.156250,1.461619,150200
1999-02-11,8.187500,8.343750,8.187500,8.312500,1.489619,81200
1999-02-12,8.218750,8.375000,8.187500,8.250000,1.478419,121200
1999-02-16,8.281250,8.375000,8.250000,8.250000,1.478419,82000
1999-02-17,8.250000,8.375000,8.218750,8.250000,1.478419,61000
1999-02-18,8.312500,8.312500,7.937500,8.000000,1.433618,189400
1999-02-19,8.031250,8.250000,8.031250,8.250000,1.478419,117600
1999-02-22,8.187500,8.593750,8.187500,8.468750,1.517619,114200
1999-02-23,8.531250,8.562500,8.312500,8.375000,1.500819,165400
1999-02-24,8.375000,8.625000,8.375000,8.562500,1.534420,147400
1999-02-25,8.500000,8.593750,8.437500,8.531250,1.528820,71000
1999-02-26,8.531250,8.562500,8.500000,8.562500,1.534420,48400
1999-03-01,8.500000,8.562500,8.375000,8.468750,1.517619,101000
1999-03-02,8.500000,8.625000,8.468750,8.531250,1.528820,97600
1999-03-03,8.500000,8.687500,8.500000,8.656250,1.551220,156400
1999-03-04,8.593750,8.750000,8.562500,8.750000,1.568020,115800
1999-03-05,8.718750,8.843750,8.593750,8.781250,1.573619,292000
1999-03-08,8.781250,9.000000,8.781250,8.937500,1.601621,146400
1999-03-09,8.968750,8.968750,8.656250,8.718750,1.562419,76000
1999-03-10,8.718750,8.750000,8.625000,8.718750,1.562419,84600
1999-03-11,8.687500,8.718750,8.656250,8.718750,1.562419,47600
1999-03-12,8.750000,8.875000,8.625000,8.687500,1.556820,123200
1999-03-15,8.656250,8.718750,8.593750,8.656250,1.551220,63800
1999-03-16,8.625000,8.750000,8.562500,8.625000,1.545619,93400
1999-03-17,8.531250,8.562500,8.437500,8.500000,1.523219,52800
1999-03-18,8.500000,8.562500,8.406250,8.500000,1.523219,123600
1999-03-19,8.625000,8.875000,8.625000,8.781250,1.573619,102000
1999-03-22,8.781250,8.781250,8.531250,8.562500,1.534420,90200
1999-03-23,8.562500,8.625000,8.406250,8.500000,1.523219,38800
1999-03-24,8.437500,8.500000,8.375000,8.406250,1.506419,78600
1999-03-25,8.375000,8.375000,8.250000,8.281250,1.484019,105400
1999-03-26,8.281250,8.562500,8.250000,8.562500,1.534420,213800
1999-03-29,8.500000,8.718750,8.500000,8.718750,1.562419,96400
1999-03-30,8.656250,8.812500,8.625000,8.812500,1.579221,108600
