"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","LVMUY","396512428032","157.09","France"
"2","L'Oréal","OR.PA","260798550710","467.66","France"
"3","Hermès","HESAF","182873128960","1709.51","France"
"4","Dior","CDI.PA","140225603632","777.26","France"
"5","TotalEnergies","TTE","129750777856","49.37","France"
"6","Sanofi","SNY","122717151232","48.88","France"
"7","Schneider Electric","SBGSF","101898125312","183.08","France"
"8","Kering","KER.PA","96896185645","780.99","France"
"9","EssilorLuxottica","ESLOF","91468587008","206.06","France"
"10","Air Liquide","AI.PA","81940942938","173","France"
"11","Dassault Systèmes","DASTF","77691387904","59.54","France"
"12","BNP Paribas","BNPQF","77419495424","62.11","France"
"13","AXA","AXAHY","67868278784","28.39","France"
"14","Pernod Ricard","RI.PA","61609110980","237.2","France"
"15","Vinci","DG.PA","55762747880","98.07","France"
"16","Safran","SAFRF","49122193408","112","France"
"17","Crédit Agricole","CRARF","42068500480","13.9","France"
"18","EDF","ECIFF","40957411328","12.65","France"
"19","Danone","BN.PA","39459778872","61.84","France"
"20","Capgemini","CAPMF","39389569024","232.66","France"
"21","ENGIE","ENGI.PA","35506915229","14.67","France"
"22","Compagnie de Saint-Gobain","CODGF","34896617472","66.12","France"
"23","Legrand","LRC.F","30231562545","113.33","France"
"24","Michelin","ML.PA","27975058343","156.7","France"
"25","Orange","ORAN","27558987776","10.44","France"
"26","Société Générale","GLE.PA","27113953917","32.46","France"
"27","Teleperformance","TLPFF","25507198976","434.29","France"
"28","Veolia","VEOEF","24560005120","34.56","France"
"29","Thales","THLEF","20720715776","97.3","France"
"30","bioMérieux","BMXMF","16875393024","138.45","France"
"31","CNP Assurances","CNP.PA","16829093086","24.52","France"
"32","Publicis Groupe","PUB.PA","16059416921","64.38","France"
"33","Amundi","AMUN.PA","16058630865","79.54","France"
"34","Worldline","WLN.PA","15580576766","55.61","France"
"35","Bolloré","BOP.F","14593624573","4.98","France"
"36","Bureau Veritas","BVRDF","14503380992","32.1","France"
"37","Suez","SEV.PA","14337718193","22.42","France"
"38","Vivendi","VIV.PA","13356965175","12.78","France"
"39","Bouygues","EN.PA","13203894139","34.78","France"
"40","Carrefour","CRERF","13196188672","17.19","France"
"41","Sodexo","SW.PA","12307519226","84.1","France"
"42","Alstom","ALO.PA","12297942794","32.94","France"
"43","Aéroports de Paris","ADP.PA","12104326119","122.33","France"
"44","Iliad","IL2.F","12095300155","205.62","France"
"45","Rémy Cointreau","RCO.PA","11699473757","237.31","France"
"46","Edenred","EDEN.PA","11150464789","44.84","France"
"47","Arkema","AKE.PA","10064839405","136.09","France"
"48","Gecina","GFC.PA","10060994920","136.49","France"
"49","Renault","RNSDF","9666197504","32.71","France"
"50","Eiffage","FGR.PA","9350631766","96.55","France"
"51","Unibail-Rodamco-Westfield","URW.AS","9082317761","65.53","France"
"52","Groupe SEB","SK.PA","8585186737","155.79","France"
"53","Getlink","GET.PA","8289121369","15.37","France"
"54","Soitec","SOI.PA","8169751606","234.14","France"
"55","Française des Jeux","FDJ.VI","8059318301","42.2","France"
"56","Ipsen","IPN.PA","8020000439","97.21","France"
"57","Accor","AC.PA","7832836842","29.91","France"
"58","Covivio","COV.PA","7468459398","79.1","France"
"59","Valeo","FR.PA","7114333141","29.44","France"
"60","Somfy","SO.PA","6519330054","189.3","France"
"61","Orpea","ORP.PA","6334141450","98.09","France"
"62","Eurazeo","RF.PA","6325372523","83.05","France"
"63","Klépierre","LI.PA","6232144333","22.23","France"
"64","Faurecia","EO.PA","5972842145","44.33","France"
"65","Rexel","RXL.PA","5911555298","19.39","France"
"66","ALD Automotive","ALD.PA","5814197417","14.42","France"
"67","ALTEN","ATE.PA","5710967885","168.36","France"
"68","Ubisoft","UBSFF","5651337728","45.79","France"
"69","Scor","SCR.PA","5555308546","30.59","France"
"70","Icade","ICAD.PA","5317597967","70.25","France"
"71","JCDecaux","DEC.PA","5199102952","24.43","France"
"72","Wendel","MF.PA","4969149166","113.9","France"
"73","Colas","RE.PA","4656522715","142.66","France"
"74","Tikehau Capital","TKO.PA","4566024562","26.49","France"
"75","OVH Groupe","OVH.PA","4515690035","23.95","France"
"76","Atos","ATO.PA","4509410863","40.75","France"
"77","Neoen","NEOEN.PA","4396587219","41.14","France"
"78","SPIE","SPIE.PA","4130233426","25.79","France"
"79","Nexans","NEX.PA","4046447181","92.67","France"
"80","Groupe Lagardère","MMB.PA","3819338500","27.29","France"
"81","Société Foncière Lyonnaise","FLY.PA","3794775415","88.76","France"
"82","Altarea","ALTA.PA","3525030743","175.26","France"
"83","FFP","FFP.PA","3309397951","133.79","France"
"84","Korian","KORI.PA","3233633595","30.82","France"
"85","Valneva SE","VALN","3193366784","60.86","France"
"86","Rubis","RUI.PA","3017344195","29.29","France"
"87","Eutelsat","ETL.PA","2801705204","12.17","France"
"88","Casino Guichard-Perrachon","CO.PA","2791298370","25.86","France"
"89","Air France-KLM","AF.PA","2764006408","4.31","France"
"90","Covivio Hotels","COVH.PA","2683462354","18.12","France"
"91","Robertet","CBE.PA","2661552787","1037.1","France"
"92","Constellium","CSTM","2439677696","17.22","France"
"93","BIC","BB.PA","2399157099","53.33","France"
"94","Criteo","CRTO","2374849280","39.11","France"
"95","Talend","TLND","2171046400","65.97","France"
"96","Coface","COFA.PA","2085387359","13.99","France"
"97","TF1","TFI.PA","2037572442","9.68","France"
"98","Voltalia","VLTSA.PA","2025148877","21.26","France"
"99","Exclusive Networks","EXN.PA","1916041751","20.95","France"
"100","Fnac Darty","FNAC.PA","1684230937","63.12","France"
