"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Apple","AAPL","2807791353856","171.14","United States"
"2","Microsoft","MSFT","2431083872256","323.8","United States"
"3","Alphabet (Google)","GOOG","1893065162752","2856.06","United States"
"4","Amazon","AMZN","1724480749568","3400.35","United States"
"5","Tesla","TSLA","936542732288","932.57","United States"
"6","Meta (Facebook)","FB","928523681792","333.79","United States"
"7","NVIDIA","NVDA","692800913408","278.01","United States"
"8","Berkshire Hathaway","BRK-A","656404643840","443304","United States"
"9","JPMorgan Chase","JPM","463268085760","156.76","United States"
"10","Visa","V","460586844160","211.88","United States"
"11","UnitedHealth","UNH","458794467328","487.12","United States"
"12","Johnson & Johnson","JNJ","442882293760","168.23","United States"
"13","Home Depot","HD","405144240128","387.98","United States"
"14","Walmart","WMT","384875855872","138.75","United States"
"15","Procter & Gamble","PG","381045342208","157.46","United States"
"16","Bank of America","BAC","359117422592","43.88","United States"
"17","Mastercard","MA","343216979968","349.31","United States"
"18","Pfizer","PFE","333853523968","59.48","United States"
"19","Walt Disney","DIS","270395097088","148.76","United States"
"20","Adobe","ADBE","264849326080","556.64","United States"
"21","Broadcom","AVGO","261359697920","634.96","United States"
"22","Netflix","NFLX","259893215232","586.73","United States"
"23","Oracle","ORCL","258018885632","96.62","United States"
"24","Thermo Fisher Scientific","TMO","256552828928","651.07","United States"
"25","Eli Lilly","LLY","255811846144","267.42","United States"
"26","Exxon Mobil","XOM","255768608768","60.03","United States"
"27","Nike","NKE","255403835392","161.36","United States"
"28","Cisco","CSCO","254996692992","60.46","United States"
"29","Coca-Cola","KO","249360105472","57.73","United States"
"30","Salesforce","CRM","249136037888","252.93","United States"
"31","Costco","COST","242828869632","547.61","United States"
"32","Abbott Laboratories","ABT","242450251776","137.11","United States"
"33","Pepsico","PEP","232700002304","168.3","United States"
"34","AbbVie","ABBV","228993482752","129.53","United States"
"35","Danaher","DHR","223955582976","313.41","United States"
"36","Verizon","VZ","223194890240","53.17","United States"
"37","Comcast","CMCSA","222734860288","48.75","United States"
"38","Chevron","CVX","218985578496","113.6","United States"
"39","PayPal","PYPL","218771963904","186.2","United States"
"40","Intel","INTC","205871546368","50.62","United States"
"41","QUALCOMM","QCOM","198016008192","176.8","United States"
"42","McDonald","MCD","195554017280","261.7","United States"
"43","Merck","MRK","191188402176","75.69","United States"
"44","Wells Fargo","WFC","191187681280","47.95","United States"
"45","United Parcel Service","UPS","179556040704","206.59","United States"
"46","Nextera Energy","NEE","178437013504","90.94","United States"
"47","Intuit","INTU","175640002560","620.27","United States"
"48","Morgan Stanley","MS","174291042304","97.13","United States"
"49","Texas Instruments","TXN","172052905984","186.3","United States"
"50","AT&T","T","169812983808","23.78","United States"
"51","Lowe's Companies","LOW","167149895680","248.09","United States"
"52","AMD","AMD","166348275712","137.75","United States"
"53","Charles Schwab","SCHW","156825255936","82.95","United States"
"54","Union Pacific Corporation","UNP","156019589120","242.69","United States"
"55","T-Mobile US","TMUS","149648670720","119.81","United States"
"56","Philip Morris","PM","145485758464","93.45","United States"
"57","Honeywell","HON","141243744256","205.17","United States"
"58","BlackRock","BLK","138786799616","913.57","United States"
"59","Bristol-Myers Squibb","BMY","136641044480","61.56","United States"
"60","CVS Health","CVS","132481228800","100.36","United States"
"61","Applied Materials","AMAT","131963068416","146.15","United States"
"62","Starbucks","SBUX","127444713472","108.63","United States"
"63","Goldman Sachs","GS","127360073728","381.8","United States"
"64","American Tower","AMT","126996742144","278.86","United States"
"65","Amgen","AMGN","125326680064","222.5","United States"
"66","Estee Lauder","EL","124527263744","345.96","United States"
"67","American Express","AXP","123936702464","160.01","United States"
"68","Raytheon Technologies","RTX","123155062784","82.28","United States"
"69","ServiceNow","NOW","122510368768","615.63","United States"
"70","Intuitive Surgical","ISRG","120531755008","337.4","United States"
"71","Moderna","MRNA","119526653952","294.8","United States"
"72","Prologis","PLD","119164715008","161.18","United States"
"73","Citigroup","C","118143434752","59.54","United States"
"74","Charter Communications","CHTR","116539154432","650","United States"
"75","IBM","IBM","114191171584","127.4","United States"
"76","Boeing","BA","113208459264","192.63","United States"
"77","S&P Global","SPGI","112701243392","467.64","United States"
"78","Zoetis","ZTS","110858158080","234.31","United States"
"79","Caterpillar","CAT","108929490944","201.37","United States"
"80","Anthem","ANTM","108032450560","445.1","United States"
"81","Deere & Company","DE","107600461824","347.03","United States"
"82","Target","TGT","106993180672","223.31","United States"
"83","Snowflake","SNOW","101792677888","332.33","United States"
"84","3M","MMM","100700209152","174.75","United States"
"85","General Electric","GE","100424900608","91.45","United States"
"86","Airbnb","ABNB","100334280704","157.91","United States"
"87","Automatic Data Processing","ADP","96669704192","229.41","United States"
"88","Lockheed Martin","LMT","94908989440","344.14","United States"
"89","Stryker Corporation","SYK","94770233344","251.22","United States"
"90","Lam Research","LRCX","94218469376","669.17","United States"
"91","Micron Technology","MU","92974104576","83","United States"
"92","Booking.com","BKNG","90761043968","2210.46","United States"
"93","Mondelez","MDLZ","90617249792","64.96","United States"
"94","Gilead Sciences","GILD","90578780160","72.21","United States"
"95","ConocoPhillips","COP","90493157376","68.61","United States"
"96","Analog Devices","ADI","89364054016","170.11","United States"
"97","Sherwin-Williams","SHW","89262006272","340.44","United States"
"98","Altria Group","MO","88634761216","48.25","United States"
"99","TJX Companies","TJX","88296972288","74.02","United States"
"100","Blackstone Group","BX","87633879040","123.27","United States"
