"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","BHP Group","BHP","147490111488","58.27","Australia"
"2","Commonwealth Bank","CBA.AX","121169177799","71.01","Australia"
"3","Macquarie","MQG.AX","112917903851","147.13","Australia"
"4","Transurban","TCL.AX","106433991234","9.69","Australia"
"5","CSL","CSL.AX","88824440738","194.93","Australia"
"6","Atlassian","TEAM","88705843200","350.96","Australia"
"7","National Australia Bank","NAB.AX","67501764733","20.65","Australia"
"8","ANZ Bank","ANZ.AX","55800254039","19.79","Australia"
"9","Westpac Banking","WBK","54537134080","14.88","Australia"
"10","Wesfarmers","WES.AX","47688799119","42.06","Australia"
"11","Fortescue","FMG.AX","41865163070","13.6","Australia"
"12","Telstra","TLS.AX","34690685484","2.93","Australia"
"13","Sydney Airport","SYD.AX","33137364727","6.14","Australia"
"14","Woolworths Group","WOW.AX","32698537975","26.98","Australia"
"15","Aristocrat","ALL.AX","20426245572","30.5","Australia"
"16","Afterpay","APT.AX","17264557046","59.22","Australia"
"17","Coles Group","COL.AX","16705126884","12.52","Australia"
"18","Woodside Petroleum","WPL.AX","15212604471","15.69","Australia"
"19","REA Group","REA.AX","14927875313","112.99","Australia"
"20","Sonic Healthcare","SHL.AX","14827740487","30.91","Australia"
"21","Newcrest Mining","NCM.AX","13858451515","16.94","Australia"
"22","Bionomics","BNOX","13228800000","13","Australia"
"23","South32","S32.AX","13008727192","2.79","Australia"
"24","ASX","ASX.AX","12716531571","65.69","Australia"
"25","QBE Insurance","QBE.AX","11973892091","8.11","Australia"
"26","Brambles","BXB.AX","11007021026","7.67","Australia"
"27","Ramsay Health Care","RHC.AX","10984344340","47.99","Australia"
"28","Suncorp","SUN.AX","9795954500","7.76","Australia"
"29","Cochlear","COH.AX","9783251682","148.74","Australia"
"30","Santos","STO.AX","9580571460","4.6","Australia"
"31","TPG Telecom","TPG.AX","7805648299","4.2","Australia"
"32","Insurance Australia Group","IAG.AX","7576076924","3.07","Australia"
"33","Qantas Airways","QAN.AX","6458495244","3.42","Australia"
"34","Treasury Wine Estates","TWE.AX","6267594985","8.68","Australia"
"35","Carsales","CAR.AX","4927624494","17.44","Australia"
"36","Yancoal","YAL.AX","2402729820","1.82","Australia"
"37","Iris Energy","IREN","974139008","17.7","Australia"
"38","Mesoblast","MESO","647060544","4.69","Australia"
"39","Immutep","IMMP","263155840","3.41","Australia"
"40","Advanced Human Imaging","AHI","108815864","4.79","Australia"
"41","IMTE","IMTE","41889092","4.49","Australia"
"42","Genetic Technologies","GENE","33553870","2.03","Australia"
