"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Petrobras","PBR","70373457920","10.79","Brazil"
"2","Vale","VALE","67826638848","14","Brazil"
"3","Nu Holdings","NU","45165064192","9.8","Brazil"
"4","Ambev","ABEV","44793085952","2.81","Brazil"
"5","Banco Santander Brasil","BSBR","41291902976","5.53","Brazil"
"6","Itaú Unibanco","ITUB","36185595904","3.7","Brazil"
"7","Banco Bradesco","BBD","33719566336","3.48","Brazil"
"8","WEG ON","WEGE3.SA","25706422952","6.13","Brazil"
"9","BTG Pactual","BPAC3.SA","24182755060","2.48","Brazil"
"10","XP Inc.","XP","16389190656","29.29","Brazil"
"11","Banco do Brasil","BZLA.F","16018387822","5.43","Brazil"
"12","Rede D'Or Sao Luiz","RDOR3.SA","15931719643","8.08","Brazil"
"13","JBS","JBSS3.SA","15457182558","6.51","Brazil"
"14","Copel","ELP","14968927232","5.47","Brazil"
"15","Suzano","SUZ","14612051968","10.83","Brazil"
"16","Telefonica Brasil","VIV","14565032960","8.59","Brazil"
"17","Itaúsa","ITSA3.SA","14434659019","1.74","Brazil"
"18","B3","B3SA3.SA","13142155810","2.16","Brazil"
"19","Centrais Electricas Brasileiras","EBR","9178241024","5.85","Brazil"
"20","Gerdau","GGB","8630235136","5.06","Brazil"
"21","PagSeguro","PAGS","8277104128","25.17","Brazil"
"22","Hapvida","HAPV3.SA","7732022315","2","Brazil"
"23","Magazine Luíza","MGLU3.SA","7715569184","1.17","Brazil"
"24","Braskem","BAK","7646213632","19.21","Brazil"
"25","Localiza","RENT3.SA","7505383142","9.98","Brazil"
"26","Cosan","CSAN","7243568640","15.5","Brazil"
"27","Grupo NotreDame Intermédica","GNDI3.SA","7048204289","11.46","Brazil"
"28","RaiaDrogasil","RADL3.SA","7021823836","4.26","Brazil"
"29","B2W Digital","BTOW3.SA","7014225655","12.42","Brazil"
"30","Natura&Co","NTCO","6679411712","9.71","Brazil"
"31","Companhia Siderúrgica Nacional","SID","6019705344","4.43","Brazil"
"32","CPFL Energia","CPFE3.SA","5625031901","4.88","Brazil"
"33","ENGIE Brasil","EGIE3.SA","5612599887","6.88","Brazil"
"34","TIM S.A.","TIMB","5564737536","11.42","Brazil"
"35","Atacadão","CRFB3.SA","5517841016","2.78","Brazil"
"36","Sabesp","SBS","4866591232","7.12","Brazil"
"37","StoneCo","STNE","4831681024","15.64","Brazil"
"38","Cemig","CIG","4682300416","2.5","Brazil"
"39","Banco Inter","BIDI3.SA","4501895849","1.74","Brazil"
"40","Equatorial Energia","EQTL3.SA","4064176333","4.14","Brazil"
"41","Assaí Atacadista","ASAI","3428685568","12.73","Brazil"
"42","Comgás","CGAS5.SA","3416073122","25.64","Brazil"
"43","Diagnosticos da America","DASA3.SA","3192750857","5.83","Brazil"
"44","BRF","BRFS","3075352064","3.81","Brazil"
"45","Ultrapar Participacoes","UGP","2860751872","2.62","Brazil"
"46","Embraer","ERJ","2721892352","14.79","Brazil"
"47","Lojas Americanas","LAME3.SA","1949711266","1.04","Brazil"
"48","CI&amp;T","CINT","1680236544","12.71","Brazil"
"49","Azul","AZUL","1547565824","13.43","Brazil"
"50","Banco de Brasília","BSLI3.SA","1516533822","4.57","Brazil"
"51","Locaweb","LWSA3.SA","1417436653","2.42","Brazil"
"52","Via S.A.","VIIA3.SA","1362561863","0.85","Brazil"
"53","Afya","AFYA","1359160704","14.63","Brazil"
"54","Grendene","GRND3.SA","1328711797","1.47","Brazil"
"55","Arco Platform","ARCE","1280479104","22.23","Brazil"
"56","GOL Airlines","GOL","1277205248","6.41","Brazil"
"57","GPA","CBD","1096738816","4.07","Brazil"
"58","OdontoPrev","ODPV3.SA","1096409975","2.11","Brazil"
"59","Brasil Agro","LND","457274688","4.61","Brazil"
