"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Shopify","SHOP","165217222656","1323.4","Canada"
"2","Royal Bank Of Canada","RY","144575512576","101.48","Canada"
"3","Toronto Dominion Bank","TD","133026414592","73.01","Canada"
"4","Canadian National Railway","CNI","89919053824","127.31","Canada"
"5","Brookfield Asset Management","BAM","89889218560","57.32","Canada"
"6","Scotiabank","BNS","82376507392","67.76","Canada"
"7","Enbridge","ENB","74798440448","36.92","Canada"
"8","Bank of Montreal","BMO","67399491584","103.97","Canada"
"9","Thomson Reuters","TRI","55910612992","114.83","Canada"
"10","CIBC","CM","50714959872","112.46","Canada"
"11","lululemon athletica","LULU","49736155136","384.66","Canada"
"12","Canadian Pacific Railway","CP","48255787008","72.35","Canada"
"13","BCE","BCE","46330621952","50.98","Canada"
"14","Canadian Natural Resources","CNQ","45601775616","38.75","Canada"
"15","TC Energy","TRP","44674740224","45.54","Canada"
"16","Alimentation Couche-Tard","ANCUF","42003996672","40","Canada"
"17","Nutrien","NTR","40434475008","70.84","Canada"
"18","Constellation Software","CSU.TO","36966077694","1744.38","Canada"
"19","Manulife Financial","MFC","35278340096","18.16","Canada"
"20","Suncor Energy","SU","33774419968","23.18","Canada"
"21","Barrick Gold","GOLD","32721141760","18.39","Canada"
"22","Sun Life Financial","SLF","31413491712","53.62","Canada"
"23","Telus","TU","31194118144","22.92","Canada"
"24","Great-West Lifeco","GWO.TO","27206163801","29.24","Canada"
"25","Loblaws","L.TO","27137464991","80.97","Canada"
"26","National Bank of Canada","NA.TO","25579406853","75.7","Canada"
"27","Franco-Nevada","FNV","25539428352","133.58","Canada"
"28","Rogers Communication","RCI","23319869440","45.71","Canada"
"29","Magna International","MGA","23245199360","77.29","Canada"
"30","Imperial Oil","IMO","22885603328","32.9","Canada"
"31","Cenovus Energy","CVE","22759430144","11.28","Canada"
"32","Power Corporation of Canada","POW.TO","22593808066","33.46","Canada"
"33","Intact Financial","IFC.TO","22427724016","127.37","Canada"
"34","Fortis","FTS","22197925888","46.94","Canada"
"35","CGI","GIB","20704059392","84.86","Canada"
"36","Wheaton Precious Metals","WPM","18556383232","41.19","Canada"
"37","Restaurant Brands International","QSR","18113488896","57.49","Canada"
"38","Power Financial","PWF-PS.TO","17897716848","19.47","Canada"
"39","George Weston","WN.TO","17072093151","115.59","Canada"
"40","WSP Global","WSP.TO","16392270250","139.47","Canada"
"41","Pembina Pipeline","PBA","16224701440","29.48","Canada"
"42","Hydro One","H.TO","15095942151","25.23","Canada"
"43","First Quantum Minerals","FM.TO","14660703415","21.22","Canada"
"44","Shaw Communications","SJR","14462850048","29.04","Canada"
"45","Dollarama","DOL.TO","14455130681","48.54","Canada"
