"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","ASML","ASML","313223708672","749.87","Netherlands"
"2","Shell","RYDAF","163097673728","21.39","Netherlands"
"3","Prosus","PRX.VI","161998200000","78.26","Netherlands"
"4","Airbus","EADSF","91727527936","115.79","Netherlands"
"5","Adyen","ADYYF","76984705024","2487.92","Netherlands"
"6","Heineken","HEIA.AS","63516629590","110.32","Netherlands"
"7","NXP Semiconductors","NXPI","58162204672","218.71","Netherlands"
"8","Stellantis","STLA","57294708736","18.29","Netherlands"
"9","ING","ING","51027054592","13.32","Netherlands"
"10","DSM","KDSKF","37531971584","214.73","Netherlands"
"11","Ahold Delhaize","AHODF","34882981888","34.48","Netherlands"
"12","Philips","PHG","32232525824","35.19","Netherlands"
"13","Wolters Kluwer","WOSB.F","29602759637","114.64","Netherlands"
"14","Yandex","YNDX","22295820288","62.18","Netherlands"
"15","Exor","EYX.F","20466208083","87.72","Netherlands"
"16","AkzoNobel","AKZA.AS","19997507816","106.65","Netherlands"
"17","ASM International","ASM.AS","19860634400","409.29","Netherlands"
"18","Argenx","ARGX","16639895552","310.26","Netherlands"
"19","NN Group","NN.AS","15962465400","52.22","Netherlands"
"20","JDE Peet's","JDE.F","15191735364","30.23","Netherlands"
"21","ABN AMRO","ABN.AS","13226740770","14.07","Netherlands"
"22","Qiagen","QGEN","12512573440","55.04","Netherlands"
"23","KPN","KPN.F","12473072086","2.96","Netherlands"
"24","IMCD","IMCD.AS","12127023191","213.14","Netherlands"
"25","Just Eat Takeaway","TKAYF","11940794368","56.16","Netherlands"
"26","Randstad","RAND.AS","11875726483","64.56","Netherlands"
"27","Euronext","EUXTF","11110918144","101.95","Netherlands"
"28","AEGON","AEG","9354807296","4.62","Netherlands"
"29","GrandVision","GVNV.AS","8350918920","32.89","Netherlands"
"30","X5 Retail Group","PJP.F","7317428281","26.95","Netherlands"
"31","Aalberts","AALB.AS","6663082618","60.26","Netherlands"
"32","BE Semiconductor","BESI.AS","6447336965","83.42","Netherlands"
"33","ASR Nederland","ASRNL.AS","6067233767","44.71","Netherlands"
"34","OCI","OCI.AS","5518860136","26.31","Netherlands"
"35","Signify","LIGHT.AS","5404031643","43.58","Netherlands"
"36","Vopak","VPK.AS","4325790024","34.49","Netherlands"
"37","Arcadis","ARCAD.AS","4021624107","45.79","Netherlands"
"38","Royal Boskalis Westminster","BOKA.AS","3563910651","27.56","Netherlands"
"39","VEON","VEON","2921047040","1.67","Netherlands"
"40","Corbion","CRBN.AS","2618599707","44.2","Netherlands"
"41","Shop Apotheke Europe","SAE.F","2507645553","138.58","Netherlands"
"42","PostNL","PNL.AS","2057110509","4.01","Netherlands"
"43","Alfen","ALFEN.AS","2030103753","93.58","Netherlands"
"44","TomTom","TOM2.AS","1247228835","9.83","Netherlands"
"45","Core Laboratories","CLB","1038275712","22.43","Netherlands"
"46","uniQure","QURE","981127424","21.23","Netherlands"
"47","ProQR","PRQR","547673472","7.43","Netherlands"
"48","Frank's International","FI","119908848","3.15","Netherlands"
