"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","SAP","SAP","163525181440","138.63","Germany"
"2","Siemens","SIEGY","132941250560","83.16","Germany"
"3","Volkswagen","VOW3.DE","130588429598","199.29","Germany"
"4","Merck KGaA","MRK.DE","108197933714","248.86","Germany"
"5","Allianz","ALIZF","91698814976","224.5","Germany"
"6","Deutsche Telekom","DTE.DE","90613118692","18.17","Germany"
"7","Daimler","DAI.DE","83272006712","77.84","Germany"
"8","Siemens Healthineers","SEMHF","78586896384","70","Germany"
"9","Deutsche Post","DPW.DE","75333881868","60.8","Germany"
"10","BioNTech","BNTX","69670281216","287.28","Germany"
"11","BMW","BMW.DE","63857685060","98.41","Germany"
"12","BASF","BFFAF","62300536832","67.28","Germany"
"13","Infineon","IFX.DE","57323571824","44.05","Germany"
"14","Adidas","ADDDF","55938387968","281","Germany"
"15","Bayer","BAYZF","52313563136","52.61","Germany"
"16","Hapag-Lloyd","HLAG.DE","44893441804","255.42","Germany"
"17","Munich RE","MUV.VI","42069103874","292.11","Germany"
"18","Sartorius","SRT.DE","40288801091","542.32","Germany"
"19","E.ON","EOAN.DE","34763554542","13.33","Germany"
"20","Vonovia","VNA.DE","34161540138","55.36","Germany"
"21","Henkel","HELKF","33643460608","76.25","Germany"
"22","Porsche SE","PAH3.DE","29132816521","95.13","Germany"
"23","Deutsche Börse","DBOEF","28923551744","156.55","Germany"
"24","RWE","RWE.DE","26750668603","39.56","Germany"
"25","Delivery Hero","DHER.F","26014554007","103.69","Germany"
"26","Deutsche Bank","DB","25663750144","12.25","Germany"
"27","Fresenius","FRE.DE","25545937215","39.11","Germany"
"28","EnBW Energie","EBK.DE","23551676535","86.95","Germany"
"29","Beiersdorf","BEI.DE","23035390907","101.56","Germany"
"30","Hannover Rück","HNR1.DE","22611041347","187.49","Germany"
"31","Symrise","SYIEF","20778225664","148.66","Germany"
"32","Continental","CON.DE","20676882633","103.38","Germany"
"33","Zalando","ZAL.DE","19842661779","79.03","Germany"
"34","Carl Zeiss Meditec","AFXA.F","18430190217","206.06","Germany"
"35","Siemens Energy","ENR.F","18161793896","25.32","Germany"
"36","Fresenius Medical Care","FMS","17878493184","30.51","Germany"
"37","PUMA","PMMAF","17751132160","118.67","Germany"
"38","Knorr-Bremse","KBX.DE","16058866218","98.89","Germany"
"39","Deutsche Wohnen","DWNI.DE","16047884624","43.83","Germany"
"40","Uniper","UNPRF","15440098304","42.28","Germany"
"41","Evonik Industries","EVKIF","14826145792","30.32","Germany"
"42","Nemetschek","NEM.F","14064235697","121.77","Germany"
"43","KION Group","KGX.DE","14022321996","106.97","Germany"
"44","HelloFresh","HFG.DE","13509905201","77.67","Germany"
"45","Brenntag","BNR.DE","13280315459","85.96","Germany"
"46","HeidelbergCement","HEI.DE","13245180619","66.75","Germany"
"47","Traton","8TRA.DE","12171166369","24.34","Germany"
"48","Talanx","TLX.DE","11766162129","46.49","Germany"
"49","Covestro","1COV.F","11433487776","59.19","Germany"
"50","Rational AG","RAA.F","11148132128","980.49","Germany"
"51","LEG Immobilien","LEG.DE","10639992265","139.43","Germany"
"52","MTU Aero Engines","MTX.DE","10210893907","191.79","Germany"
"53","GEA Group","G1A.F","9416272643","52.24","Germany"
"54","Commerzbank","CBK.F","8951639462","7.15","Germany"
"55","Bechtle","BC8.F","8839052039","70.15","Germany"
"56","Evotec","EVO","8361952768","22.84","Germany"
"57","Lufthansa","LHA.DE","8073840045","6.75","Germany"
"58","HELLA","HLE.F","7895314946","70.79","Germany"
"59","DWS Group","DWS.F","7839362960","39.2","Germany"
"60","Curevac","CVAC","7669329920","41.05","Germany"
"61","Wacker Chemie","WCH.F","7536897845","151.72","Germany"
"62","United Internet","UTDI.F","7408133093","39.55","Germany"
"63","Sixt","SIX2.F","6674672304","169.6","Germany"
"64","Thyssenkrupp","TKA.F","6628196464","10.62","Germany"
"65","CTS Eventim","EVD.F","6468722204","67.39","Germany"
"66","Fraport","FRA.DE","5975069883","64.67","Germany"
"67","Scout24","G24.F","5701612894","68.27","Germany"
"68","Lechwerke","LEC.F","5578129671","157.38","Germany"
"69","Fielmann","FIE.F","5546861925","66.06","Germany"
"70","Fuchs Petrolub","FPE.F","5497540401","34.83","Germany"
