"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Reliance Industries","RELIANCE.NS","207933425924","30.73","India"
"2","Tata Consultancy Services","TCS.NS","174098176833","47.07","India"
"3","HDFC Bank","HDB","117095276544","63.39","India"
"4","Infosys","INFY","100738899968","24.04","India"
"5","Hindustan Unilever","HINDUNILVR.NS","68813907650","29.29","India"
"6","ICICI Bank","IBN","66172260352","18.81","India"
"7","Housing Development Finance Corporation","HDFC.NS","62233740650","34.37","India"
"8","State Bank of India","SBIN.NS","54820507657","6.14","India"
"9","Bajaj Finance","BAJFINANCE.NS","54696158917","90.62","India"
"10","Bharti Airtel","BHARTIARTL.NS","51433716119","8.75","India"
"11","Wipro","WIT","49227849728","9.01","India"
"12","Kotak Mahindra Bank","KOTAKBANK.NS","46721799008","23.55","India"
"13","HCL Technologies","HCLTECH.NS","41740328250","15.38","India"
"14","Asian Paints","ASIANPAINT.NS","40855984108","42.59","India"
"15","DMart","DMART.NS","39958786866","61.69","India"
"16","ITC","ITC.NS","35265154613","2.86","India"
"17","Larsen &amp; Toubro","LT.NS","34073038304","24.25","India"
"18","Bajaj Finserv","BAJAJFINSV.NS","33875739451","212.78","India"
"19","Adani Green Energy","ADANIGREEN.NS","29023656784","18.56","India"
"20","Maruti Suzuki India","MARUTI.NS","28942507399","95.81","India"
"21","UltraTech Cement","ULTRACEMCO.NS","27791623238","96.35","India"
"22","Axis Bank","AXISBANK.BO","27687801937","9.05","India"
"23","Titan Company","TITAN.NS","26583545542","29.94","India"
"24","Adani Transmission","ADANITRANS.NS","25665373378","23.34","India"
"25","Sun Pharmaceutical","SUNPHARMA.NS","24226000141","10.1","India"
"26","Nestlé India","NESTLEIND.NS","24155263349","250.53","India"
"27","Adani Enterprises","ADANIENT.NS","23760545167","21.6","India"
"28","Tata Motors","TTM","23211730944","30.31","India"
"29","Oil &amp; Natural Gas","ONGC.NS","23035400112","1.83","India"
"30","JSW Steel","JSWSTEEL.NS","20956473338","8.67","India"
"31","Tech Mahindra","TECHM.NS","20934104333","21.57","India"
"32","Adani Ports & SEZ","ADANIPORTS.NS","19409070734","9.51","India"
"33","Powergrid Corporation of India","POWERGRID.NS","19234739825","2.76","India"
"34","Tata Steel","TATASTEEL.NS","18459781267","14.87","India"
"35","HDFC Life","HDFCLIFE.NS","17455126061","8.62","India"
"36","Hindustan Zinc","HINDZINC.NS","17398844703","4.12","India"
"37","Larsen &amp; Toubro Infotech","LTI.BO","16005727476","91.7","India"
"38","NTPC Limited","NTPC.NS","15985747344","1.65","India"
"39","Pidilite","PIDILITIND.NS","15957120457","31.4","India"
"40","Divis Laboratories","DIVISLAB.NS","15726191509","59.24","India"
"41","Vedanta","VEDL","15366895616","16.5","India"
"42","SBI Life Insurance","SBILIFE.NS","15014982118","15","India"
"43","Grasim Industries","GRASIM.NS","14397625477","21.87","India"
"44","Zomato","ZOMATO.NS","13994583243","1.78","India"
"45","Indian Oil","IOC.NS","13950081884","1.48","India"
"46","Mahindra &amp; Mahindra","M&M.NS","13624152219","10.96","India"
"47","Hindalco Industries","HINDALCO.NS","13186247590","5.91","India"
"48","Dabur","DABUR.NS","13120157741","7.42","India"
"49","DLF","DLF.NS","12685789091","5.12","India"
"50","Shree Cement","SHREECEM.NS","12424575846","344.36","India"
"51","Bajaj Auto","BAJAJ-AUTO.NS","12079629860","41.75","India"
"52","Godrej","GODREJCP.NS","12076516409","11.8","India"
"53","Coal India","COALINDIA.NS","11851030407","1.92","India"
"54","Siemens India","SIEMENS.NS","11321934694","31.79","India"
"55","Paytm","PAYTM.NS","11244884944","17.35","India"
"56","Britannia Industries","BRITANNIA.NS","11184160593","46.43","India"
"57","SBI Card","SBICARD.NS","11178997323","11.86","India"
"58","Bharat Petroleum","BPCL.NS","10959266646","5.05","India"
"59","Havells India","HAVELLS.NS","10855516769","17.33","India"
"60","ICICI Prulife","ICICIPRULI.NS","10500794133","7.31","India"
"61","Dr. Reddy's","RDY","10026780672","60.45","India"
"62","Mindtree","MINDTREE.NS","9927937129","60.24","India"
"63","InterGlobe Aviation","INDIGO.NS","9890206538","25.68","India"
"64","Ambuja Cements","AMBUJACEM.NS","9610625822","4.84","India"
"65","Berger Paints","BERGEPAINT.NS","9606913431","9.89","India"
"66","Info Edge","NAUKRI.NS","9156931915","71.1","India"
"67","Cipla","CIPLA.NS","9112802311","11.3","India"
"68","Tata Power","TATAPOWER.NS","9056490834","2.83","India"
"69","Apollo Hospitals","APOLLOHOSP.NS","9037397924","62.85","India"
"70","IndusInd Bank","INDUSINDBK.NS","8980555490","11.59","India"
"71","Indus Towers","INDUSTOWER.NS","8926561460","3.31","India"
"72","Eicher Motors","EICHERMOT.NS","8828117704","32.29","India"
"73","Motherson Sumi Systems","MOTHERSUMI.NS","8807458602","2.79","India"
"74","Tata Consumer Products","TATACONSUM.NS","8789861319","9.54","India"
"75","ICICI Lombard","ICICIGI.NS","8756198523","17.84","India"
"76","Indian Railway Catering & Tourism","IRCTC.NS","8744111309","10.93","India"
"77","Marico","MARICO.NS","8485065777","6.57","India"
"78","SRF Limited","SRF.NS","8425005766","28.42","India"
"79","United Spirits","UNITDSPR.BO","8223122790","11.59","India"
"80","Mphasis","MPHASIS.NS","8038671872","42.85","India"
"81","Piramal Group","PEL.NS","7890184848","33.04","India"
"82","Gland Pharma","GLAND.NS","7873967879","47.92","India"
"83","Muthoot Finance","MUTHOOTFIN.NS","7661891748","19.09","India"
"84","GAIL","GAIL.NS","7559393104","1.7","India"
"85","Lodha Group","LODHA.NS","7486899940","15.55","India"
"86","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","7364826481","66.13","India"
"87","UPL","UPL.NS","7179312360","9.4","India"
"88","Godrej Properties","GODREJPROP.NS","6879554879","24.75","India"
"89","Torrent Pharmaceuticals","TORNTPHARM.NS","6846790061","40.46","India"
"90","IDBI Bank","IDBI.NS","6501726181","0.6","India"
"91","Bharat Electronics","BEL.NS","6440504004","2.64","India"
"92","Hero MotoCorp","HEROMOTOCO.NS","6413817645","32.1","India"
"93","BOSCH India","BOSCHLTD.NS","6235619877","211.42","India"
"94","Procter &amp; Gamble India","PGHH.NS","6189754554","190.68","India"
"95","JSW Energy","JSWENERGY.NS","6176923400","3.77","India"
"96","Cadila Healthcare","CADILAHC.NS","6176875209","6.03","India"
"97","Jubilant FoodWorks","JUBLFOOD.NS","6157487562","46.66","India"
"98","ABB India","ABB.NS","6134865988","28.88","India"
"99","Steel Authority of India","SAIL.NS","6093579195","1.48","India"
"100","Astral Poly Technik","ASTRAL.NS","5912593691","29.43","India"
