"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","NICE","NICE","18432894976","291.49","Israel"
"2","Check Point Software","CHKP","15170843648","114.24","Israel"
"3","SolarEdge","SEDG","15170257920","288.85","Israel"
"4","monday.com","MNDY","12770174976","292.09","Israel"
"5","Israel Chemicals","ICL","12417730560","9.67","Israel"
"6","Teva Pharmaceutical Industries","TEVA","9123074048","8.2","Israel"
"7","Global-e","GLBE","8448633856","58.01","Israel"
"8","Wix.com","WIX","8274364416","145.28","Israel"
"9","IronSource","IS","8131992576","8.01","Israel"
"10","Elbit Systems","ESLT","7586698240","171.63","Israel"
"11","Playtika","PLTK","7275099648","17.76","Israel"
"12","Israel Discount Bank","ISDAY","7262320640","62.39","Israel"
"13","CyberArk","CYBR","6533314048","164.32","Israel"
"14","Kornit Digital","KRNT","6073970176","130.52","Israel"
"15","ZIM Integrated Shipping Services","ZIM","6043244544","50.96","Israel"
"16","InMode","INMD","5176387072","67.77","Israel"
"17","Fiverr","FVRR","4301511168","117.7","Israel"
"18","Tower Semiconductor","TSEM","3962018304","36.52","Israel"
"19","Nova Measuring Instruments","NVMI","3610082304","126.67","Israel"
"20","Taro Pharmaceutical","TARO","1873231360","49.84","Israel"
"21","Sapiens","SPNS","1870699520","34.13","Israel"
"22","Camtek","CAMT","1834775040","41.85","Israel"
"23","Formula Systems","FORTY","1831186560","119.73","Israel"
"24","Plus500","P55.F","1749688778","16.76","Israel"
"25","Radware","RDWR","1666993024","36.24","Israel"
"26","Cellebrite","CLBT","1636660992","8.74","Israel"
"27","Partner Communications","PTNR","1338119936","7.2","Israel"
"28","REE Automotive","REE","1281572992","4.09","Israel"
"29","Riskified","RSKD","1271252096","7.78","Israel"
"30","Similarweb","SMWB","1226074496","16.45","Israel"
"31","AudioCodes","AUDC","1125110912","33.94","Israel"
"32","Nano Dimension","NNDM","1064429312","4.15","Israel"
"33","Magic Software","MGIC","1042762880","20.91","Israel"
"34","Nano-X Imaging","NNOX","902973440","18.86","Israel"
"35","Valens Semiconductor","VLN","782791744","7.98","Israel"
"36","Innoviz","INVZ","756708032","5.66","Israel"
"37","Cellcom Israel","CEL","608417664","3.77","Israel"
"38","Ituran","ITRN","533941792","25.81","Israel"
"39","Itamar Medical","ITMR","506913184","30.87","Israel"
"40","RADA Electronic Industries","RADA","431944640","8.75","Israel"
"41","Gilat Telecom","GILT","422347808","7.47","Israel"
"42","Allot","ALLT","421578016","11.58","Israel"
"43","Tufin","TUFN","398306816","10.55","Israel"
"44","Ellomay Capital","ELLO","381624224","29.7","Israel"
"45","Compugen","CGEN","375221024","4.4","Israel"
"46","Caesarstone","CSTE","362969088","10.53","Israel"
"47","Silicom","SILC","325707552","47.33","Israel"
"48","Kamada","KMDA","305778816","6.72","Israel"
"49","B Communications","BCOM","271712160","2.28","Israel"
"50","Ceragon Networks","CRNT","228736848","2.74","Israel"
"51","Redhill Biopharma","RDHL","138864240","2.65","Israel"
"52","Foresight Autonomous Holdings","FRSX","130774336","1.87","Israel"
"53","ReWalk Robotics","RWLK","82441792","1.32","Israel"
"54","Galmed Pharmaceuticals","GLMD","52174512","2.08","Israel"
"55","Protalix BioTherapeutics","PLX","39807356","0.87","Israel"
"56","Can Fite Biopharma","CANF","26189178","1.27","Israel"
"57","BiondVax","BVXV","21928112","1.53","Israel"
"58","PainReform","PRFX","15513508","1.48","Israel"
"59","Nuvo Group","NUVO","0","0","Israel"
