"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Enel","ENLAY","76547375104","7.5","Italy"
"2","Ferrari","RACE","62880542720","252.51","Italy"
"3","Intesa Sanpaolo","ISNPY","48119066624","14.81","Italy"
"4","ENI","E","47904415744","26.96","Italy"
"5","UniCredit","UCG.MI","33073049940","14.86","Italy"
"6","Generali","G.MI","32975579020","20.94","Italy"
"7","Moncler","MONC.MI","19766131478","71.58","Italy"
"8","Snam","SNMRF","19130787840","5.85","Italy"
"9","Poste Italiane","PST.MI","16532834682","12.71","Italy"
"10","Nexi","NEXI.MI","16429812677","15.8","Italy"
"11","Prada","PRDSF","16353160192","6.39","Italy"
"12","Campari","CPR.MI","16225501933","14.32","Italy"
"13","Atlantia","ATL.MI","16094001057","19.66","Italy"
"14","Terna","TRN.MI","15941861000","7.94","Italy"
"15","Recordati","REC.MI","12939883732","62.86","Italy"
"16","INWIT","INW.MI","11351782029","11.83","Italy"
"17","Telecom Italia","TIT.MI","10501152549","0.5","Italy"
"18","FinecoBank","FBK.MI","10480127296","17.19","Italy"
"19","DiaSorin","DIA.MI","9841961281","179.85","Italy"
"20","Prysmian Group","PRY.MI","9415222250","35.74","Italy"
"21","UnipolSai","US.MI","7770721043","2.75","Italy"
"22","Reply","REY.MI","7136371688","191.12","Italy"
"23","Banca Mediolanum","BMED.MI","7002220483","9.51","Italy"
"24","Pirelli","PIRC.MI","6770565315","6.77","Italy"
"25","Stevanato","STVN","6305154048","23.82","Italy"
"26","Hera Group","HER.MI","5918882544","4.04","Italy"
"27","Italgas","IG.MI","5356140207","6.59","Italy"
"28","De' Longhi","DLG.MI","5235528755","34.89","Italy"
"29","ERG","ERG.MI","4766617772","32.02","Italy"
"30","Buzzi Unicem","BZU.MI","4067851260","21.17","Italy"
"31","Leonardo","LDO.MI","3967188873","6.9","Italy"
"32","IMA Group","IMA.MI","3540525135","82.14","Italy"
"33","Juventus Turin","JUVE.MI","672552913","0.41","Italy"
"34","Cassiopea","CSP.F","373409297","34.19","Italy"
"35","Aeroporto G. Marconi Bologna","ADB.MI","368943169","10.17","Italy"
"36","GEOX","GEO.MI","302242008","1.18","Italy"
"37","A.S. Roma","ASR.MI","219658505","0.35","Italy"
"38","S.S. Lazio","SSL.MI","83136379","1.23","Italy"
