"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Toyota","TM","255142002688","184.04","Japan"
"2","Keyence","KYCCF","155702345728","642","Japan"
"3","Sony","SONY","151137533952","121.13","Japan"
"4","Nippon Telegraph & Telephone","NPPXF","99817889792","27.95","Japan"
"5","Recruit","RCRRF","93705035776","57.34","Japan"
"6","Tokyo Electron","TOELF","86500229120","536","Japan"
"7","SoftBank","SFTBF","82443730944","47.7","Japan"
"8","Mitsubishi UFJ Financial","MUFG","74512023552","5.61","Japan"
"9","Shin-Etsu Chemical","SHECF","72292655104","172.68","Japan"
"10","Nidec","NNDNF","70298247168","119.7","Japan"
"11","KDDI","KDDIF","68323790848","30.28","Japan"
"12","Daikin","DKILY","67813912576","23.05","Japan"
"13","Denso","DNZOF","63053012992","82.25","Japan"
"14","Fast Retailing","FRCOF","61717049344","575","Japan"
"15","Hitachi","HTHIF","56399523840","56.03","Japan"
"16","Oriental Land","OLL.F","56384742942","172.09","Japan"
"17","Hoya","HYB.F","56346965888","152.85","Japan"
"18","Nintendo","NTDOF","55645782016","468.06","Japan"
"19","Chugai Pharmaceutical","4519.T","52237765559","31.78","Japan"
"20","Murata Seisakusho","MRAAF","52226535424","80.8","Japan"
"21","Honda","HMC","47902203904","27.86","Japan"
"22","Sumitomo Mitsui Financial Group","SMFG","46931566592","6.84","Japan"
"23","Itōchū Shōji","ITOCF","46230704128","30.55","Japan"
"24","SMC","SMECF","44917977088","675.34","Japan"
"25","Z Holdings","4689.T","44808813439","5.9","Japan"
"26","Takeda Pharmaceutical","TAK","43409469440","13.74","Japan"
"27","Daiichi Sankyō","DSKYF","42050035712","24.22","Japan"
"28","Fanuc","FANUF","40090796032","209","Japan"
"29","7-Eleven","SVNDF","38985494528","44","Japan"
"30","Tokio Marine","MH6.F","38204072112","55.02","Japan"
"31","Mitsui Bussan","8031.T","37813543042","23.31","Japan"
"32","Japan Tobacco","JAPAF","37474004992","20.83","Japan"
"33","Fujitsu","FJTSY","33742061568","34.04","Japan"
"34","Japan Post Bank","7182.T","33607295040","8.96","Japan"
"35","Mizuho Financial Group","MFG","33077313536","2.61","Japan"
"36","Terumo","4543.T","31559845445","41.75","Japan"
"37","Bridgestone","5108.T","30732133624","43.65","Japan"
"38","Astellas Pharma","ALPMF","30495883264","16.15","Japan"
"39","Fujifilm","4901.T","30393336282","75.84","Japan"
"40","NTT Data","9613.T","29551380964","21.07","Japan"
"41","Japan Post Holdings","6178.T","29216476599","7.83","Japan"
"42","Mitsubishi Electric","MIELF","28648634368","13.21","Japan"
"43","Olympus","7733.T","27999591675","21.78","Japan"
"44","Central Japan Railway","9022.T","27595104969","140.24","Japan"
"45","Kubota","6326.T","27343013990","22.71","Japan"
"46","Sysmex","6869.T","26940685948","128.84","Japan"
"47","Nippon Paint","4612.T","26748553263","11.39","Japan"
"48","Canon","CAJ","26186082304","25.04","Japan"
"49","Shimano","7309.T","26150630832","283.11","Japan"
"50","Nomura Research Institute","4307.T","25566995717","43.46","Japan"
"51","Unicharm","8113.T","25431373460","42.67","Japan"
"52","Toyota Industries","6201.T","25430533979","81.91","Japan"
"53","Kaō","KAO.F","25279237059","52.4","Japan"
"54","Panasonic","6752.T","25191032904","10.79","Japan"
"55","Lasertec","6920.T","24863859141","275.72","Japan"
"56","ORIX","IX","24298192896","101.21","Japan"
"57","Renesas Electronics","6723.T","23839561236","12.28","Japan"
"58","East Japan Railway","9020.T","23762940173","62.99","Japan"
"59","Kyocera","6971.T","23030908395","64.17","Japan"
"60","Shiseido","4911.T","22973528505","57.51","Japan"
"61","Dai-ichi Life Holdings","8750.T","22276888680","21.02","Japan"
"62","Komatsu","6301.T","21913066049","23.18","Japan"
"63","Æon","8267.T","20799287344","24.6","Japan"
"64","Omron","6645.T","20676621687","102.45","Japan"
"65","Shionogi","4507.T","20527962109","68.09","Japan"
"66","Otsuka Holdings","4578.T","20106309868","37.07","Japan"
"67","Nissan","7201.T","19352327053","4.94","Japan"
"68","Suzuki Motor","7269.T","19271025423","39.69","Japan"
"69","Daiwa House","1925.T","19080454081","29.16","Japan"
"70","Nitori Holdings","9843.T","18586290541","164.74","Japan"
"71","Sumitomo","8053.T","18253193135","14.6","Japan"
"72","Nexon","3659.T","17892260255","19.94","Japan"
"73","Toshiba","6502.T","17701549383","40.93","Japan"
