"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","PKO Bank Polski","P9O.F","13028808904","10.42","Poland"
"2","Allegro.eu","ALE.WA","9482105375","9.27","Poland"
"3","Dino Polska","DNP.WA","8326563313","84.93","Poland"
"4","Santander Polska","BZI.F","8156746904","79.82","Poland"
"5","PGNiG","7GG.F","7957946087","1.35","Poland"
"6","PKN Orlen","PKY1.F","7726252660","18.06","Poland"
"7","KGHM Polska Miedź","KGHA.F","6947188461","34.74","Poland"
"8","Cyfrowy Polsat","CP9.F","5363808309","8.47","Poland"
"9","Powszechny Zakład Ubezpieczeń","7PZ.F","4904276375","8.63","Poland"
"10","CD Projekt","OTGLF","4501634048","44.39","Poland"
"11","Orange Polska","TPA1.F","2586575469","1.89","Poland"
"12","Asseco","SFB1.F","1837629351","21.53","Poland"
"13","Tauron Polska","1T5.F","1036169953","0.59","Poland"
"14","PlayWay","6P5.F","663560661","100.54","Poland"
"15","Ten Square Games","1HQ.F","552925552","76.08","Poland"
