"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Saudi Aramco","2222.SR","1877197139824","9.39","Saudi Arabia"
"2","Al Rajhi Bank","1120.SR","94580860862","37.83","Saudi Arabia"
"3","SABIC","2010.SR","93355313521","31.12","Saudi Arabia"
"4","National Commercial Bank","1180.SR","74216870118","16.73","Saudi Arabia"
"5","Saudi Electricity","5110.SR","27130442946","6.51","Saudi Arabia"
"6","Maaden","1211.SR","25146851186","20.43","Saudi Arabia"
"7","Saudi Arabian Fertilizer Company","2020.SR","21941175797","46.09","Saudi Arabia"
"8","Riyad Bank","1010.SR","21900132882","7.3","Saudi Arabia"
"9","The Saudi British Bank","1060.SR","16970867854","8.26","Saudi Arabia"
"10","Almarai","2280.SR","12764517958","12.84","Saudi Arabia"
