"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Samsung","005930.KS","442279979718","65.83","South Korea"
"2","SK Hynix","000660.KS","70799621560","102.96","South Korea"
"3","Samsung Biologics","207940.KS","53327799528","805.98","South Korea"
"4","Coupang","CPNG","51054477312","29.15","South Korea"
"5","Naver","035420.KS","48441112655","324.5","South Korea"
"6","LG Chem","051910.KS","43379604411","588.24","South Korea"
"7","Kakao","035720.KS","42991140401","99.17","South Korea"
"8","Hyundai","HYMTF","40322097152","41.28","South Korea"
"9","Samsung SDI","006405.KS","38578326452","297.07","South Korea"
"10","Kia","000270.KS","28652933123","71.4","South Korea"
"11","Celltrion","068270.KS","23866083494","174.7","South Korea"
"12","Kakao Pay","377300.KS","19700809555","149.38","South Korea"
"13","Krafton","259960.KS","19524756324","417.34","South Korea"
"14","Hyundai Mobis","012330.KS","18902734616","207.61","South Korea"
"15","KB Financial Group","KB","18846595072","48.37","South Korea"
"16","LG Electronics","LGLG.F","18822044833","25.59","South Korea"
"17","SK Telecom","SKM","18497101824","47.17","South Korea"
"18","POSCO","PKX","18491949056","61.13","South Korea"
"19","SK Innovation","096775.KS","16586361187","121.95","South Korea"
"20","Shinhan Financial Group","SHG","16542175232","31.91","South Korea"
"21","Samsung Heavy Industries","010145.KS","15133119383","189.89","South Korea"
"22","Samsung Electro-Mechanics","009155.KS","13617720894","84.4","South Korea"
"23","SK Group","034730.KS","12498586421","222.81","South Korea"
"24","Korea Electric Power","KEP","11726390272","9.13","South Korea"
"25","NCsoft","036570.KS","11482887425","565.45","South Korea"
"26","LG Corp","003550.KS","11102918997","69.46","South Korea"
"27","Hana Financial Group","086790.KS","11036130451","37.85","South Korea"
"28","Samsung Life Insurance","032830.KS","10351149403","57.64","South Korea"
"29","POSCO Chemical","003670.KS","9512187708","122.8","South Korea"
"30","Amorepacific","090430.KS","9503172657","151.49","South Korea"
"31","S-OIL","010950.KS","8617322431","74.94","South Korea"
"32","LG Household &amp; Health Care","051905.KS","8569686997","511.44","South Korea"
"33","Korean Air Lines","003495.KS","8523802891","30.8","South Korea"
"34","Woori Financial Group","WF","8452324864","33.83","South Korea"
"35","Netmarble","251270.KS","8159645979","99.59","South Korea"
"36","Korea Zinc","010130.KS","7816152800","442.24","South Korea"
"37","LG Display","LPL","6876432896","9.41","South Korea"
"38","LOTTE Chemical","011170.KS","6783398923","197.91","South Korea"
"39","KT Corporation","KT","6267588608","13.37","South Korea"
"40","Hanwha Solutions","009830.KS","5890005771","30.72","South Korea"
"41","Hyundai Glovis","086280.KS","5411894791","144.32","South Korea"
"42","Coway","021240.KS","4659910596","64.23","South Korea"
"43","Kangwon Land","035250.KS","4132153118","20.38","South Korea"
"44","Hankook Tire","161390.KS","4123302226","33.8","South Korea"
"45","Hanmi Pharmaceutical","008930.KS","3161618536","47.94","South Korea"
"46","Shinpoong Pharm","019170.KS","1451616361","28.02","South Korea"
"47","Asiana Airlines","020560.KS","1247671295","16.79","South Korea"
"48","Jin Air","272450.KS","706749980","13.71","South Korea"
"49","Jeju Air","089590.KS","700334765","14.09","South Korea"
"50","SsangYong Motor","003620.KS","350291415","2.34","South Korea"
"51","Air Busan","298690.KS","345949736","1.78","South Korea"
"52","T’way Air","091810.KS","278823357","2.53","South Korea"
