"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Inditex","IDEXY","97433665536","15.53","Spain"
"2","Iberdrola","IBDSF","69499445248","11.05","Spain"
"3","Santander","SAN","53242163200","3.06","Spain"
"4","Cellnex Telecom","CLNX.MC","37484283825","55.25","Spain"
"5","Banco Bilbao Vizcaya Argentaria","BBVA","37042454528","5.52","Spain"
"6","Amadeus IT Group","AMADF","29328113664","64.05","Spain"
"7","Naturgy","NTGY.MC","29212140914","30.4","Spain"
"8","Telefónica","TEF","24299995136","4.31","Spain"
"9","Endesa","ELE.MC","23569236418","22.26","Spain"
"10","EDP Renováveis","EDRVF","22859698176","23.77","Spain"
"11","Aena","AENA.MC","22561946481","150.41","Spain"
"12","Ferrovial","FRRVF","21058592768","27.5","Spain"
"13","CaixaBank","CABK.MC","20816608110","2.58","Spain"
"14","Repsol","REPYF","16663262208","11.2","Spain"
"15","Siemens Gamesa","GCTAF","16048936960","23.51","Spain"
"16","Red Eléctrica","REE.MC","11442205112","21.23","Spain"
"17","Grifols","GRFS","11065932800","11.16","Spain"
"18","Acciona","ANA.MC","9812789104","179.57","Spain"
"19","International Consolidated Airlines","BABWF","8682082304","1.75","Spain"
"20","Fluidra","FDR.MC","6985015367","36.8","Spain"
"21","Grupo ACS","ACS.MC","6630039290","24.63","Spain"
"22","Mapfre","MAP.MC","6062810754","1.99","Spain"
"23","Enagás","ENG.MC","5885614877","22.51","Spain"
"24","Merlin Properties","MRL.MC","5054548681","10.83","Spain"
"25","Fomento de Construcciones y Contratas","FCC.MC","4892095988","11.59","Spain"
"26","Inmobiliaria Colonial","COL.MC","4831655485","9.09","Spain"
"27","Bankinter","BKT.MC","4399505943","4.89","Spain"
"28","Grupo Catalana Occidente","GCO.MC","3824576553","31.87","Spain"
"29","Banco Sabadell","BDSB.F","3656890155","0.66","Spain"
"30","CIE Automotive","CIE.MC","3577504895","29.21","Spain"
"31","Ebro Foods","EBRO.MC","3006798526","19.54","Spain"
"32","Viscofan","VIS.MC","2871190277","61.93","Spain"
"33","Solaria Energía","SLR.MC","2281199020","18.26","Spain"
"34","Wallbox","WBX","2157279488","13.4","Spain"
"35","Prosegur","PSG.MC","1324715619","2.46","Spain"
"36","Metrovacesa","MVC.MC","1215719939","8.03","Spain"
