"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Atlas Copco","ATLKY","79264251904","65.04","Sweden"
"2","Investor AB","IVS.F","76512552840","24.85","Sweden"
"3","EQT","EQT.ST","55165482344","55.48","Sweden"
"4","Volvo Group","VOLVF","52961300480","21.58","Sweden"
"5","Spotify","SPOT","45068824576","235.28","Sweden"
"6","Hexagon","HXGBF","39305740288","14.26","Sweden"
"7","Ericsson","ERIC","35098198016","10.54","Sweden"
"8","Sandvik","SAND.ST","32743440964","26.1","Sweden"
"9","H&M","HMRZF","31018135552","18.89","Sweden"
"10","Assa Abloy","ASAZF","30870769664","28.64","Sweden"
"11","Skandinaviska Enskilda Banken","SEBA.F","29604672605","13.68","Sweden"
"12","NIBE Industrier","NDRBF","28000278528","14.23","Sweden"
"13","Evolution Gaming","EVO.ST","27788902670","129.47","Sweden"
"14","Epiroc","EPI-A.ST","27645323422","24.2","Sweden"
"15","Volvo Car","VOLCAR-B.ST","25812882039","8.66","Sweden"
"16","Swedbank","SWDBF","22787457024","20.32","Sweden"
"17","Essity","ESWB.F","22008899412","31.52","Sweden"
"18","Svenska Handelsbanken","SVHH.F","20474221678","10.31","Sweden"
"19","Telia Company","TLSNF","15812145152","3.87","Sweden"
"20","Alfa Laval","ALFA.ST","15707726236","37.79","Sweden"
"21","Fastighets AB Balder","BALD-B.ST","13344831952","71.55","Sweden"
"22","Lundbergföretagen","LUND-B.ST","13182927620","53.16","Sweden"
"23","Industrivarden","INDU-A.ST","13098267054","30.49","Sweden"
"24","Lifco","LIFCO-B.ST","12946090875","26.92","Sweden"
"25","ICA Gruppen","ICA.ST","11875464164","59.04","Sweden"
"26","Swedish Match","SWMA.ST","11856370139","7.63","Sweden"
"27","Lundin Energy","LUNE.ST","11452049027","40.24","Sweden"
"28","Getinge","GETI-B.ST","11271320569","41.38","Sweden"
"29","Sagax","SAGA-B.ST","11169430819","33.61","Sweden"
"30","Boliden","BOL.ST","10393220001","38","Sweden"
"31","Skanska","SKSBF","10327889920","25.05","Sweden"
"32","Svenska Kullagerfabriken","SKUFF","10315892736","23.38","Sweden"
"33","Embracer Group","EMBRAC-B.ST","10309549368","9.51","Sweden"
"34","Tele2","TEL2-A.ST","9667131680","14.15","Sweden"
"35","Kinnevik","KINV-A.ST","9516915442","36.29","Sweden"
"36","Husqvarna","HUSQ-A.ST","8867102690","15.26","Sweden"
"37","Sinch","SINCH.ST","8696826042","11.32","Sweden"
"38","Autoliv","ALV","8490633728","97.06","Sweden"
"39","Holmen","HOLM-B.ST","7520261543","45.93","Sweden"
"40","Beijer Ref","BEIJ-B.ST","7453934212","19.66","Sweden"
"41","Electrolux","ELUX-A.ST","6621828401","24.99","Sweden"
"42","Sweco","SWEC-A.ST","6038135121","16.75","Sweden"
"43","Swedish Orphan Biovitrum","SOBI.ST","5964957507","20.21","Sweden"
"44","Axfood","AXFO.ST","5802750218","27.75","Sweden"
"45","AAK","AAK.ST","5510042481","21.32","Sweden"
"46","Oatly","OTLY","4728298496","7.99","Sweden"
"47","Veoneer","VNE","3887450368","34.71","Sweden"
