"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Nestlé","NSRGY","377610633216","137.29","Switzerland"
"2","Roche","RHHBY","353695236096","51.19","Switzerland"
"3","Novartis","NVS","192166035456","85.9","Switzerland"
"4","Chubb","CB","81741717504","189.77","Switzerland"
"5","Compagnie Financière Richemont","CFR.SW","80763216677","142.78","Switzerland"
"6","ABB","ABB","73262678016","36.76","Switzerland"
"7","Glencore","GLCNF","63726669824","4.82","Switzerland"
"8","Zurich Insurance Group","ZURN.SW","63267776445","426.06","Switzerland"
"9","Lonza","LONN.SW","60421994152","813.4","Switzerland"
"10","UBS","UBS","60124389376","17.41","Switzerland"
"11","Sika","SIKA.SW","56959403285","401.81","Switzerland"
"12","TE Connectivity","TEL","51038617600","156.41","Switzerland"
"13","Givaudan","GIVN.SW","47895239169","5187.07","Switzerland"
"14","STMicroelectronics","STM","42973618176","46.79","Switzerland"
"15","Alcon","ALC","42079109120","84.54","Switzerland"
"16","Partners Group","PGHN.SW","41958340844","1594.18","Switzerland"
"17","Kühne + Nagel","KNIN.SW","36339761708","301.98","Switzerland"
"18","Straumann","STMN.SW","31498560475","1980.22","Switzerland"
"19","Lindt","LISN.SW","31463346086","129622.28","Switzerland"
"20","Holcim","HOLN.SW","29927221927","48.92","Switzerland"
"21","Swisscom","SCMN.SW","29179566466","563.29","Switzerland"
"22","Swiss Re","SREN.SW","28175000969","97.5","Switzerland"
"23","Schindler Group","SCHN.SW","28000205134","259.68","Switzerland"
"24","Geberit","GEBN.SW","27970870203","779.69","Switzerland"
"25","Garmin","GRMN","25430736896","132.23","Switzerland"
"26","SGS","SGSN.SW","24187523734","3227.51","Switzerland"
"27","Sonova","SOON.SW","23005126909","369.18","Switzerland"
"28","Credit Suisse","CS","22603829248","9.38","Switzerland"
"29","Swiss Life","SLHN.SW","18634285641","603.31","Switzerland"
"30","Amcor","AMCR","18076073984","11.79","Switzerland"
"31","Swatch","UHR.SW","14918568526","294.26","Switzerland"
"32","Logitech","LOGI","13982487552","83.3","Switzerland"
"33","Julius Bär","BAER.SW","13618799685","63.88","Switzerland"
"34","Barry Callebaut","BARN.SW","12969418024","2366.26","Switzerland"
"35","Vifor Pharma","VIFN.SW","11262974435","173.66","Switzerland"
"36","On Holding","ONON","11205421056","36.2","Switzerland"
"37","Temenos","TEMN.SW","10390025279","139.14","Switzerland"
"38","SIG Combibloc","SIGN.SW","9084391455","26.71","Switzerland"
"39","Tecan","TECN.SW","7509911072","592.65","Switzerland"
"40","Bâloise","BALN.SW","7046897645","156.48","Switzerland"
"41","Clariant","CLN.SW","6748080883","20.48","Switzerland"
"42","CRISPR Therapeutics","CRSP","6331079168","82.73","Switzerland"
"43","Sportradar","SRAD","5236049920","17.7","Switzerland"
"44","BB Biotech","BION.SW","4602634995","83.08","Switzerland"
"45","Swissquote","SQN.SW","3080153850","207.92","Switzerland"
"46","Transocean","RIG","1907519616","2.91","Switzerland"
"47","ADC Therapeutics","ADCT","1526761728","19.9","Switzerland"
"48","Garrett Motion","GTX","476259712","7.32","Switzerland"
"49","AC Immune","ACIU","364716576","5.02","Switzerland"
"50","Quotient","QTNT","231182176","2.26","Switzerland"
