"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","TSMC","TSM","603244789760","116.32","Taiwan"
"2","MediaTek","2454.TW","61498368241","38.65","Taiwan"
"3","Foxconn","2317.TW","51587732938","3.72","Taiwan"
"4","Formosa Petrochemical","6505.TW","32849080478","3.45","Taiwan"
"5","Chunghwa Telecom","CHT","32027766784","41.13","Taiwan"
"6","Fubon Financial","2881.TW","31480156211","2.67","Taiwan"
"7","Cathay Financial Holding","2882.TW","28649078031","2.18","Taiwan"
"8","United Microelectronics","UMC","28189865984","11.07","Taiwan"
"9","Evergreen Marine","2603.TW","26729919276","5.05","Taiwan"
"10","Delta Electronics","2308.TW","25125250925","9.67","Taiwan"
"11","Nan Ya Plastics","1303.TW","24040394062","3.03","Taiwan"
"12","Formosa Plastics","1301.TW","23576644788","3.7","Taiwan"
"13","China Steel","2002A.TW","19111217568","1.87","Taiwan"
"14","CTBC Financial Holding","2891.TW","17947487132","0.92","Taiwan"
"15","MFHC","2886.TW","17555890564","1.29","Taiwan"
"16","Wan Hai Lines","2615.TW","17548453307","7.19","Taiwan"
"17","Formosa Chemicals &amp; Fibre","1326.TW","16678315430","2.85","Taiwan"
"18","ASE Group","ASX","16039049216","7.3","Taiwan"
"19","Yang Ming","2609.TW","15507775756","4.44","Taiwan"
"20","Uni-President Enterprises","1216.TW","13872936555","2.44","Taiwan"
"21","E.SUN Bank","2884.TW","13445743191","1.01","Taiwan"
"22","Chailease Holding","5871.TW","13272980138","9.15","Taiwan"
"23","Nan Ya PCB","8046.TW","13127693225","20.32","Taiwan"
"24","GlobalWafers","6488.TWO","12614112444","28.98","Taiwan"
"25","Quanta Computer","2382.TW","12321623926","3.2","Taiwan"
"26","Taiwan Cooperative Financial","5880.TW","12275445063","0.9","Taiwan"
"27","Hotai Motor","2207.TW","12019386379","22.01","Taiwan"
"28","Unimicron","3037.TW","11776532598","7.98","Taiwan"
"29","Novatek Microelectronics","3034.TW","11618753638","19.09","Taiwan"
"30","First Financial Holding","2892.TW","11257934731","0.87","Taiwan"
"31","Advantech","2395.TW","11073539770","14.35","Taiwan"
"32","Yuanta Financial Holding","2885.TW","10932745611","0.9","Taiwan"
"33","Largan Precision","3008.TW","10733708256","80.37","Taiwan"
"34","Taiwan Cement","1101.TW","10432645447","1.71","Taiwan"
"35","Realtek","2379.TW","10411929057","20.39","Taiwan"
"36","Taiwan Mobile","3045.TW","10006110738","3.56","Taiwan"
"37","Hua Nan Financial Holdings","2880.TW","9963109676","0.76","Taiwan"
"38","ASUS","2357.TW","9788549758","13.18","Taiwan"
"39","China Development Financial","2883.TW","9158130279","0.61","Taiwan"
"40","Nanya Technology","2408.TW","8430076770","2.72","Taiwan"
"41","Taishin Financial Holdings","2887.TW","7692366137","0.67","Taiwan"
"42","Shanghai Commercial and Savings Bank","5876.TW","7611070036","1.7","Taiwan"
"43","Far EasTone","4904.TW","7440246420","2.28","Taiwan"
"44","Sinopac Financial Holdings","2890.TW","6444055753","0.57","Taiwan"
"45","China Airlines","2610.TW","5406158359","0.94","Taiwan"
"46","Shin Kong Financial Holding","2888.TW","5343947329","0.38","Taiwan"
"47","EVA Air","2618.TW","4877974655","0.95","Taiwan"
"48","Formosa Sumco Technology","3532.TW","4107170467","10.59","Taiwan"
"49","Acer","2353.TW","3237419947","1.08","Taiwan"
"50","Taiwan Business Bank","2834.TW","2686851419","0.35","Taiwan"
"51","Himax","HIMX","2082104320","11.96","Taiwan"
"52","Formosa Taffeta","1434.TW","1724201757","1.02","Taiwan"
"53","Cathay Real Estate Development","2501.TW","796383825","0.69","Taiwan"
