"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","QNB Finansbank","QNBFB.IS","9209364126","2.75","Turkey"
"2","Erdemir","EREGL.IS","6525151253","1.92","Turkey"
"3","ENKA","ENKAI.IS","6190577971","1.12","Turkey"
"4","Koç Holding","KCHOL.IS","5359852110","2.11","Turkey"
"5","İsdemir","ISDMR.IS","4368870328","1.51","Turkey"
"6","Turkcell","TKC","3236716288","3.37","Turkey"
"7","GarantiBank","GARAN.IS","3040778411","0.72","Turkey"
"8","Şişecam","SISE.IS","3039630721","0.99","Turkey"
"9","BİM Birleşik Mağazalar","BIMAS.IS","2892749561","4.81","Turkey"
"10","Tofaş Türk Otomobil Fabrikası","TOASO.IS","2647281264","5.29","Turkey"
"11","Turkey İş Bank","ISATR.IS","2610928727","23478.31","Turkey"
"12","Akbank","AKBNK.IS","2395470455","0.46","Turkey"
"13","Türkiye Kalkınma","KLNMA.IS","2362884566","1.17","Turkey"
"14","Türk Telekom","TTKOM.IS","2161401801","0.62","Turkey"
"15","Arçelik","ARCLK.IS","2084774028","3.09","Turkey"
"16","Turkish Airlines","THYAO.IS","1943244634","1.41","Turkey"
"17","Sabancı Holding","SAHOL.IS","1913673440","0.94","Turkey"
"18","Yapı Kredi","YKBNK.IS","1893055429","0.22","Turkey"
"19","Coca-Cola İçecek","CCOLA.IS","1691198728","6.65","Turkey"
"20","Koza Gold","KOZAL.IS","1337631821","8.77","Turkey"
"21","Efes Beverage Group","AEFES.IS","1294520763","2.19","Turkey"
"22","Enerjisa Enerji","ENJSA.IS","1041105265","0.88","Turkey"
"23","VakıfBank","VAKBN.IS","955516787","0.24","Turkey"
"24","TAV Airports Holding","TAVHL.IS","877468680","2.43","Turkey"
"25","Halkbank","HALKB.IS","790012942","0.32","Turkey"
"26","Pegasus Airlines","PGSUS.IS","619328426","6.05","Turkey"
"27","QNB Finansleasing","QNBFL.IS","565920601","4.92","Turkey"
"28","OYAK Çimento","OYAKC.IS","547273374","0.47","Turkey"
"29","İşbir Holding","ISBIR.IS","123893456","3.83","Turkey"
