"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Astrazeneca","AZN","173567885312","56.02","United Kingdom"
"2","Linde","LIN","171106238464","333.83","United Kingdom"
"3","Unilever","UL","135242432512","52.7","United Kingdom"
"4","Diageo","DEO","122743701504","210.81","United Kingdom"
"5","HSBC","HSBC","119301390336","29.3","United Kingdom"
"6","GlaxoSmithKline","GSK","108434849792","43.1","United Kingdom"
"7","Rio Tinto","RIO","105112018944","64.91","United Kingdom"
"8","BP","BP","87182655488","26.3","United Kingdom"
"9","British American Tobacco","BTI","85705924608","37.35","United Kingdom"
"10","Aon","AON","64420671488","292.38","United Kingdom"
"11","RELX","RELX","59706077184","30.86","United Kingdom"
"12","Reckitt Benckiser","RBGPF","58293694464","81.6","United Kingdom"
"13","IHS Markit","INFO","52335915008","131.22","United Kingdom"
"14","Anglo American","AAM.SW","51942764821","34.15","United Kingdom"
"15","National Grid","NGG","50950402048","70.43","United Kingdom"
"16","London Stock Exchange","LS4C.F","49932124447","89.51","United Kingdom"
"17","Prudential","PUK","46043729920","33.53","United Kingdom"
"18","3i Group","TGOPF","43418660864","19.33","United Kingdom"
"19","Lloyds Banking Group","LYG","43159400448","2.38","United Kingdom"
"20","Vodafone","VOD","41397805056","15.2","United Kingdom"
"21","Barclays","BCS","40410918912","9.65","United Kingdom"
"22","Ashtead","0LC.F","36732870124","82.38","United Kingdom"
"23","Ferguson","FERG","36701257728","166.23","United Kingdom"
"24","Compass Group","CMPGF","36303011840","20.1","United Kingdom"
"25","NatWest Group","NWG","32780953600","5.79","United Kingdom"
"26","Tesco","TSCDF","29324001280","3.82","United Kingdom"
"27","Willis Towers Watson","WLTW","29203617792","232.88","United Kingdom"
"28","Coca-Cola European Partners","CCEP","24606760960","53.55","United Kingdom"
"29","CNH Industrial","CNHI","23984476160","17.71","United Kingdom"
"30","SSE","SCT.F","22993825018","21.17","United Kingdom"
"31","BAE Systems","BSP.F","22652277974","7.12","United Kingdom"
"32","BT Group","BT-A.L","22112627663","222.93","United Kingdom"
"33","Aviva","AIVAF","21350737920","5.48","United Kingdom"
"34","Imperial Brands","ITBA.F","19716051144","20.83","United Kingdom"
"35","Standard Chartered","STAN.L","17709782894","575.16","United Kingdom"
"36","Ocado","OCDDY","17085035520","45.47","United Kingdom"
"37","WPP","WPP","16680872960","72.05","United Kingdom"
"38","Royalty Pharma","RPRX","16553354240","38.54","United Kingdom"
"39","Clarivate","CLVT","16274482176","23.7","United Kingdom"
"40","Liberty Global","LBTYB","14771332096","28.25","United Kingdom"
"41","Smith & Nephew","SNN","14442336256","32.65","United Kingdom"
"42","AVEVA","AVV.L","13076967846","4337.32","United Kingdom"
"43","Rolls-Royce Holdings","RYCEF","12635076608","1.51","United Kingdom"
"44","Mondi","MNDI.L","11745630799","2419.02","United Kingdom"
"45","Pentair","PNR","11603317760","70.12","United Kingdom"
"46","Farfetch","FTCH","11482112000","30.94","United Kingdom"
"47","Sage Group","SGE.L","11054354264","1083.2","United Kingdom"
"48","InterContinental Hotels Group","IHG","10961813504","59.83","United Kingdom"
"49","Kingfisher","KFI1.F","9431261614","4.51","United Kingdom"
"50","Capri Holdings","CPRI","9248715776","61.47","United Kingdom"
"51","Endava","DAVA","9162556416","148.64","United Kingdom"
"52","Rightmove","3JDA.F","8556079485","9.79","United Kingdom"
"53","Meggitt","MEGGF","7611533824","9.4","United Kingdom"
"54","Janus Henderson","JHG","6992044544","41.12","United Kingdom"
