"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Kweichow Moutai","600519.SS","404219156407","321.78","China"
"2","Coca-Cola","KO","249360105472","57.73","United States"
"3","Pepsico","PEP","232700002304","168.3","United States"
"4","Wuliangye Yibin","000858.SZ","143229136902","36.9","China"
"5","Starbucks","SBUX","127444713472","108.63","United States"
"6","Diageo","DEO","122743701504","210.81","United Kingdom"
"7","Anheuser-Busch Inbev","BUD","103862403072","59.79","Belgium"
"8","Nongfu Spring","9633.HK","70633924379","6.28","China"
"9","Heineken","HEIA.AS","63516629590","110.32","Netherlands"
"10","Pernod Ricard","RI.PA","61609110980","237.2","France"
"11","Keurig Dr Pepper","KDP","50592808960","35.68","United States"
"12","Monster Beverage","MNST","48479715328","91.62","United States"
"13","Constellation Brands","STZ","45323522048","242.25","United States"
"14","Ambev","ABEV","44793085952","2.81","Brazil"
"15","YANGHE","002304.SZ","41336398753","27.43","China"
"16","Budweiser APAC","1876.HK","36239665544","2.74","Hong Kong"
"17","Brown Forman","BF-A","33771059200","67.22","United States"
"18","China Resources Beer","0291.HK","26486232740","8.16","Hong Kong"
"19","Coca-Cola European Partners","CCEP","24606760960","53.55","United Kingdom"
"20","Carlsberg","CBGA.F","23181910318","170.4","Denmark"
"21","Tsingtao","600600.SS","17053499547","15.64","China"
"22","Campari","CPR.MI","16225501933","14.32","Italy"
"23","JDE Peet's","JDE.F","15191735364","30.23","Netherlands"
"24","Thai Beverage","TBVPF","12203462656","0.47","Thailand"
"25","Coca-Cola FEMSA","KOF","11768584192","52.67","Mexico"
"26","Suntory","2587.T","11703103501","37.87","Japan"
"27","Molson Coors","TAP","9732696064","44.74","United States"
"28","Becle","CUERVO.MX","9019603980","2.51","Mexico"
"29","Yakult","2267.T","8667281855","54.02","Japan"
"30","United Spirits","UNITDSPR.BO","8223122790","11.59","India"
"31","Boston Beer Company","SAM","6531354624","531.8","United States"
"32","Treasury Wine Estates","TWE.AX","6267594985","8.68","Australia"
"33","United Breweries","UBL.NS","5417409472","20.48","India"
"34","Royal Unibrew","0R1.F","5290130649","106.7","Denmark"
"35","Celsius Holdings","CELH","5087427072","68","United States"
"36","Varun Beverages","VBL.NS","4925301270","11.37","India"
"37","National Beverage","FIZZ","4372145152","46.85","United States"
"38","Compañía Cervecerías Unidas","CCU","2996661248","16.22","Chile"
"39","Dutch Bros","BROS","2395898880","48.04","United States"
"40","Radico Khaitan","RADICO.NS","1917529639","14.34","India"
"41","Coca-Cola İçecek","CCOLA.IS","1691198728","6.65","Turkey"
"42","Efes Beverage Group","AEFES.IS","1294520763","2.19","Turkey"
"43","Olvi plc","OLVAS.HE","1228835796","59.33","Finland"
"44","Delegat","DGL.NZ","984786822","9.74","New Zealand"
"45","The Vita Coco Company","COCO","507405280","9.14","United States"
"46","Tata Coffee","TATACOFFEE.NS","501275587","2.68","India"
"47","Zevia","ZVIA","485265600","7.52","United States"
"48","Alkaline Water Company","WTER","147973264","1.38","United States"
"49","Coffee Day Enterprises","COFFEEDAY.NS","120943053","0.57","India"
"50","Farmer Brothers","FARM","119335920","6.6","United States"
"51","DAVIDsTEA","DTEA","89360400","3.39","Canada"
"52","NuZee","NUZE","72350824","4.06","United States"
"53","Fresh Vine Wine","VINE","69906000","5.73","United States"
"54","Winc","WBEV","63295752","4.81","United States"
"55","Eastside Distilling","EAST","27170150","1.75","United States"
