"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sociedad Química y Minera","SQM","15970021376","55.91","Chile"
"2","Enel Américas","ENIA","12294459392","5.73","Chile"
"3","Banco de Chile","BCH","8854139904","17.53","Chile"
"4","Banco Santander-Chile","BSAC","8178556928","17.36","Chile"
"5","Falabella","FALABELLA.SN","8003416280","3.19","Chile"
"6","Banco de Crédito e Inversiones","BCI.SN","4916874044","31.54","Chile"
"7","Cencosud","CENCOSUD.SN","4476797551","1.58","Chile"
"8","Empresas CMPC","CMPC.SN","4282288390","1.71","Chile"
"9","AntarChile","ANTARCHILE.SN","3347975518","7.34","Chile"
"10","Quiñenco","QUINENCO.SN","3123162374","1.88","Chile"
"11","Compañía Cervecerías Unidas","CCU","2996661248","16.22","Chile"
"12","Enel Chile","ENIC","2697493760","1.95","Chile"
"13","Itaú CorpBanca","ITCB","1986908032","3.08","Chile"
"14","Mallplaza","MALLPLAZA.SN","1854626523","0.95","Chile"
"15","Minera Valparaíso","MINERA.SN","1850686823","14.81","Chile"
"16","Compañía de Acero del Pacífico","CAP.SN","1288786119","8.62","Chile"
"17","Colbún","COLBUN.SN","1232594910","0.07","Chile"
"18","Geopark","GPRK","653583936","10.76","Chile"
"19","LATAM Airlines","LTMAQ","327460320","0.54","Chile"
