"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Nordea Bank","NDA-FI.HE","46042915093","11.65","Finland"
"2","Neste","NESTE.HE","37736113845","49.14","Finland"
"3","KONE","KNEBV.HE","36288743956","70.06","Finland"
"4","Nokia","NOK","34302257152","6.01","Finland"
"5","Sampo","SAMPO.HE","27053624714","49.32","Finland"
"6","Fortum","FORTUM.HE","26993736073","30.39","Finland"
"7","UPM-Kymmene","UPM.HE","19413142568","36.4","Finland"
"8","Stora Enso","STEAV.HE","14862797674","18.96","Finland"
"9","Kesko","KESKOA.HE","12913016391","31.08","Finland"
"10","Elisa","ELISA.HE","9920388318","60.75","Finland"
"11","Wärtsilä","WRT1V.HE","7745748699","13.13","Finland"
"12","Valmet","VALMT.HE","6127864987","41","Finland"
"13","Kojamo","KOJAMO.HE","5803400744","23.48","Finland"
"14","Orion Corporation","ORNAV.HE","5668945782","40.08","Finland"
"15","Nokian Tyres","TYRES.HE","5142505195","37.2","Finland"
"16","Metso","METSO.HE","4732215827","31.72","Finland"
"17","Huhtamäki","HUH1V.HE","4498435356","43.1","Finland"
"18","Qt Group","QTCOM.HE","3553513962","143.11","Finland"
"19","TietoEVRY","TIETO.HE","3523439501","29.75","Finland"
"20","Metsä Board","METSA.HE","3374268601","10.51","Finland"
"21","Cargotec","CGCBV.HE","3126206258","48.48","Finland"
"22","Konecranes","KCR.HE","3073149520","38.83","Finland"
"23","Outokumpu","OUT1V.HE","2751535598","6.08","Finland"
"24","Sanoma","SAA1V.HE","2471710455","15.17","Finland"
"25","Ahlstrom-Munksjö","AM1.HE","2412141521","20.98","Finland"
"26","Kemira","KEMIRA.HE","2317965244","15.14","Finland"
"27","Vaisala","VAIAS.HE","2141782950","59.33","Finland"
"28","Fiskars","FSKRS.HE","2029329870","24.91","Finland"
"29","Tikkurila","TIK1V.HE","1697850108","38.49","Finland"
"30","Revenio","REG1V.HE","1639094175","61.7","Finland"
"31","Uponor","UPONOR.HE","1624440118","22.38","Finland"
"32","Citycon","CTY1S.HE","1282006877","7.61","Finland"
"33","Ponsse","PON1V.HE","1274396889","45.51","Finland"
"34","Tokmanni","TOKMAN.HE","1240751700","21.1","Finland"
"35","Olvi plc","OLVAS.HE","1228835796","59.33","Finland"
"36","YIT","YIT.HE","1025191837","4.9","Finland"
"37","Caverion","CAV1V.HE","955289752","7","Finland"
"38","Finnair","FIA1S.HE","952246322","0.68","Finland"
"39","Aktia Bank","AKTIA.HE","946727338","13.18","Finland"
"40","Enento Group","ENENTO.HE","892565064","37.14","Finland"
