"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Gazprom","OGZPY","104328609792","8.78","Russia"
"2","Sberbank","SBRCY","85843828736","15.87","Russia"
"3","Rosneft","ROSN.VI","72741595032","7.65","Russia"
"4","Novatek","NVTK.VI","67640417474","225.31","Russia"
"5","Lukoil","LUKOY","58506113024","89.39","Russia"
"6","United Heavy Machinery","OMZZP.ME","57222394687","67.59","Russia"
"7","Nornickel","NILSY","45205303296","29.42","Russia"
"8","Polyus","PLZL.ME","24588531935","182.13","Russia"
"9","Surgutneftegas","SNGS.ME","19096029829","0.53","Russia"
"10","Severstal","CHMF.ME","17061231015","20.37","Russia"
"11","Novolipetsk Steel","NLMK.ME","17047752242","2.84","Russia"
"12","Tatneft","OAOFY","15767830528","39.33","Russia"
"13","PhosAgro","PHOR.ME","9880724128","76.3","Russia"
"14","Magnit","MGNT.ME","7788837807","76.43","Russia"
"15","Mobile TeleSystems","MBT","6674684928","7.73","Russia"
"16","Rosseti","RSTI.ME","2999252850","0.02","Russia"
"17","Mechel PAO","MTL","990793792","3.04","Russia"
"18","Cian","CIAN","883742720","12.8","Russia"
"19","Delimobil","DMOB","0","0","Russia"
