"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Nestlé","NSRGY","377610633216","137.29","Switzerland"
"2","McDonald","MCD","195554017280","261.7","United States"
"3","Unilever","UL","135242432512","52.7","United Kingdom"
"4","Mondelez","MDLZ","90617249792","64.96","United States"
"5","Foshan Haitian Flavouring and Food","603288.SS","71718949914","17.02","China"
"6","Hindustan Unilever","HINDUNILVR.NS","68813907650","29.29","India"
"7","DoorDash","DASH","51050311680","148.81","United States"
"8","Chipotle Mexican Grill","CMG","47375511552","1683.84","United States"
"9","Kraft Heinz","KHC","43465654272","35.51","United States"
"10","General Mills","GIS","40975065088","67.65","United States"
"11","Danone","BN.PA","39459778872","61.84","France"
"12","Muyuan Foods","002714.SZ","39106439782","7.43","China"
"13","Archer Daniels Midland","ADM","36514713600","65.27","United States"
"14","Lindt","LISN.SW","31463346086","129622.28","Switzerland"
"15","Tyson Foods","TSN","31163240448","85.43","United States"
"16","Hormel Foods","HRL","26135595008","48.17","United States"
"17","Delivery Hero","DHER.F","26014554007","103.69","Germany"
"18","McCormick & Company","MKC","25157994496","94.12","United States"
"19","Mengniu Dairy","2319.HK","22697899400","5.75","China"
"20","Kellogg's","K","21985376256","64.45","United States"
"21","Yum China","YUMC","20819816448","48.63","China"
"22","Domino's Pizza","DPZ","19212054528","528.38","United States"
"23","Darden Restaurants","DRI","18147835904","139.83","United States"
"24","Restaurant Brands International","QSR","18113488896","57.49","Canada"
"25","Conagra Brands","CAG","16587680768","34.58","United States"
"26","Ajinomoto","2802.T","16583017464","30.7","Japan"
"27","Kikkoman","2801.T","15514042581","80.94","Japan"
"28","JBS","JBSS3.SA","15457182558","6.51","Brazil"
"29","J.M. Smucker Company","SJM","14781797376","136.41","United States"
"30","Kirin Holdings","2503.T","14011413651","16.81","Japan"
"31","Zomato","ZOMATO.NS","13994583243","1.78","India"
"32","Uni-President Enterprises","1216.TW","13872936555","2.44","Taiwan"
"33","Campbell Soup","CPB","13010941952","43.12","United States"
"34","Barry Callebaut","BARN.SW","12969418024","2366.26","Switzerland"
"35","Bunge","BG","12377001984","88.08","United States"
"36","Hai Di Lao Hot Pot","6862.HK","12116933261","2.17","China"
"37","Unilever Indonesia","UNVR.JK","11027548271","0.29","Indonesia"
"38","Chr. Hansen","51C.F","10181612749","77.35","Denmark"
