"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","UnitedHealth","UNH","458794467328","487.12","United States"
"2","CVS Health","CVS","132481228800","100.36","United States"
"3","Anthem","ANTM","108032450560","445.1","United States"
"4","HCA Healthcare","HCA","78934523904","253.79","United States"
"5","Siemens Healthineers","SEMHF","78586896384","70","Germany"
"6","AIER Eye Hospital","300015.SZ","36331975766","6.72","China"
"7","McKesson","MCK","35588644864","233.09","United States"
"8","Sysmex","6869.T","26940685948","128.84","Japan"
"9","Cerner","CERN","26412398592","89.77","United States"
"10","JD Health","6618.HK","26103532461","8.17","China"
"11","AmerisourceBergen","ABC","26054088704","125.18","United States"
"12","PerkinElmer","PKI","23673858048","187.59","United States"
"13","Bio-Rad Laboratories","BIO","21964062720","731.46","United States"
"14","Molina Healthcare","MOH","17690529792","302.92","United States"
"15","Rede D'Or Sao Luiz","RDOR3.SA","15931719643","8.08","Brazil"
"16","Teladoc Health","TDOC","15651705856","97.77","United States"
"17","Masimo","MASI","15466492928","280.08","United States"
"18","Cardinal Health","CAH","13990774784","49.65","United States"
"19","IHH Healthcare","Q0F.SI","13605382156","1.52","Malaysia"
"20","GoodRx","GDRX","13438300160","33.69","United States"
"21","Fisher & Paykel Healthcare","FPH.NZ","12219274051","21.18","New Zealand"
"22","Ramsay Health Care","RHC.AX","10984344340","47.99","Australia"
"23","DaVita","DVA","10686253056","104.87","United States"
"24","Guardant Health","GH","10480733184","103.1","United States"
"25","Henry Schein","HSIC","10227207168","73.75","United States"
"26","Doximity","DOCS","9390552064","50.08","United States"
"27","Agilon Health","AGL","9183971328","23.33","United States"
"28","Apollo Hospitals","APOLLOHOSP.NS","9037397924","62.85","India"
"29","Oak Street Health","OSH","8184290816","33.97","United States"
"30","Chemed","CHE","7914569216","514.1","United States"
"31","Piramal Group","PEL.NS","7890184848","33.04","India"
"32","Hapvida","HAPV3.SA","7732022315","2","Brazil"
"33","Grupo NotreDame Intermédica","GNDI3.SA","7048204289","11.46","Brazil"
"34","Quidel","QDEL","6740882944","161.75","United States"
"35","Sotera Health","SHC","6255294976","22.11","United States"
"36","AMN Healthcare Services","AMN","5408732672","114.41","United States"
"37","Amedisys","AMED","5016530944","153.87","United States"
"38","Ryman Healthcare","RYM.NZ","4228981002","8.46","New Zealand"
"39","Ebos Group","EBO.NZ","4160274815","25.34","New Zealand"
"40","FIGS","FIGS","4107674112","25.13","United States"
"41","Apollo Medical Holdings","AMEH","3828999424","68.93","United States"
"42","CorVel Corporation","CRVL","3511907072","198.19","United States"
"43","Owens &amp; Minor","OMI","3193289472","42.32","United States"
"44","Diagnosticos da America","DASA3.SA","3192750857","5.83","Brazil"
"45","Fortis Healthcare","FORTIS.NS","2739033135","3.63","India"
"46","Privia Health Group","PRVA","2510181376","23.57","United States"
"47","Bright Health","BHG","2375960576","3.78","United States"
"48","Evolent Health","EVH","2372954624","26.54","United States"
"49","Allscripts","MDRX","2272485120","18.54","United States"
"50","Mitra Keluarga","MIKA.JK","2210277991","0.16","Indonesia"
"51","Vocera Communications","VCRA","2176439040","61.24","United States"
"52","Clover Health Investments","CLOV","1980889600","4.19","United States"
"53","ModivCare","MODV","1964452096","140.32","United States"
"54","Cano Health","CANO","1712100480","9.49","United States"
"55","Community Health Systems","CYH","1673808384","12.67","United States"
"56","American Well","AMWL","1671536384","6.43","United States"
"57","Accolade","ACCD","1643272448","24.65","United States"
"58","Tivity Health","TVTY","1232837248","24.78","United States"
"59","Aveanna Healthcare","AVAH","1206274176","6.55","United States"
"60","National Healthcare","NHC","1017012416","65.94","United States"
"61","HealthStream","HSTM","804836096","25.5","United States"
"62","Tabula Rasa HealthCare","TRHC","412527968","16.04","United States"
"63","American Renal Associates","ARA","397938816","11.52","United States"
"64","UpHealth","UPH","337544992","2.34","United States"
"65","Talkspace","TALK","286339040","1.88","United States"
"66","Castlight Health","CSLT","241575200","1.49","United States"
"67","Capital Senior Living","CSU","216072064","33.54","United States"
"68","Shalby","SHALBY.NS","187559408","1.73","India"
"69","Enzo Biochem","ENZ","154140320","3.18","United States"
"70","SOC Telemed","TLMD","151843968","1.51","United States"
"71","Augmedix","AUGX","132655488","3.57","United States"
"72","NantHealth","NH","118908344","1.03","United States"
"73","Ontrak","OTRK","118821760","6.2","United States"
"74","Marpai","MRAI","89020256","4.64","United States"
"75","Genesis HealthCare","GEN","68055192","0.42","United States"
"76","Viveve Medical","VIVE","15055692","1.42","United States"
