"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","BHP Group","BHP","147490111488","58.27","Australia"
"2","Rio Tinto","RIO","105112018944","64.91","United Kingdom"
"3","Vale","VALE","67826638848","14","Brazil"
"4","China Shenhua Energy","CSUAY","64484282368","9.41","China"
"5","Glencore","GLCNF","63726669824","4.82","Switzerland"
"6","Freeport-McMoRan","FCX","55801860096","38","United States"
"7","Anglo American","AAM.SW","51942764821","34.15","United Kingdom"
"8","Newmont","NEM","47240052736","59.24","United States"
"9","Nornickel","NILSY","45205303296","29.42","Russia"
"10","Southern Copper","SCCO","45132472320","58.38","United States"
"11","Fortescue","FMG.AX","41865163070","13.6","Australia"
"12","Nutrien","NTR","40434475008","70.84","Canada"
"13","Zijin Mining","601899.SS","39914330505","1.6","China"
"14","Barrick Gold","GOLD","32721141760","18.39","Canada"
"15","Franco-Nevada","FNV","25539428352","133.58","Canada"
"16","Vedanta","VEDL","15366895616","16.5","India"
"17","Teck Resources","TECK","14352626688","26.95","Canada"
"18","Newcrest Mining","NCM.AX","13858451515","16.94","Australia"
"19","South32","S32.AX","13008727192","2.79","Australia"
"20","Shandong Gold Mining","600547.SS","12352257637","3.03","China"
"21","Coal India","COALINDIA.NS","11851030407","1.92","India"
"22","Boliden","BOL.ST","10393220001","38","Sweden"
"23","Gold Fields","GFI","9241134080","10.41","South Africa"
"24","Sibanye-Stillwater","SBSW","8533952512","12.13","South Africa"
"25","Cameco","CCJ","8416896000","21.15","Canada"
"26","AngloGold Ashanti","AU","8346899968","20","South Africa"
"27","Polymetal","PM6.F","8287290137","17.4","Cyprus"
"28","Kinross Gold","KGC","6956370432","5.55","Canada"
"29","KGHM Polska Miedź","KGHA.F","6947188461","34.74","Poland"
"30","Royal Gold","RGLD","6649714688","101.31","United States"
"31","Bayan Resources","BYAN.JK","6268712630","1.88","Indonesia"
"32","Lynas","LYI.F","5836317121","6.41","Malaysia"
"33","Merdeka Copper Gold","MDKA.JK","5643318736","0.26","Indonesia"
"34","National Mineral Development Corporation","NMDC.NS","5193074018","1.77","India"
"35","Pan American Silver","PAAS","5131636736","24.4","Canada"
"36","Metso","METSO.HE","4732215827","31.72","Finland"
"37","B2Gold","BTG","3895090432","3.69","Canada"
"38","Yamana Gold","YRI.TO","3886415458","4.04","Canada"
"39","Lithium Americas","LAC","3456952064","28.76","Canada"
"40","Alamos Gold","AGI","2841721600","7.24","Canada"
"41","First Majestic Silver","AG","2784240384","10.85","Canada"
"42","Hecla Mining","HL","2690695168","5","United States"
"43","Yancoal","YAL.AX","2402729820","1.82","Australia"
"44","Harmony Gold","HMY","2295795712","3.76","South Africa"
"45","KIOCL","KIOCL.NS","2085252640","3.43","India"
"46","Compass Minerals","CMP","1783942400","52.38","United States"
"47","Hindustan Copper","HINDCOPPER.NS","1509141808","1.56","India"
"48","Alliance Resource Partners","ARLP","1462742528","11.5","United States"
"49","Standard Lithium","SLI","1440189312","8.95","Canada"
"50","Koza Gold","KOZAL.IS","1337631821","8.77","Turkey"
"51","Arch Resources","ARCH","1334798080","87.15","United States"
"52","Peabody Energy","BTU","1300393216","10.18","United States"
"53","Compañía de Acero del Pacífico","CAP.SN","1288786119","8.62","Chile"
"54","Coeur Mining","CDE","1269352832","4.94","United States"
"55","Warrior Met Coal","HCC","1224095872","23.81","United States"
"56","Sandstorm Gold","SAND","1129454720","5.9","Canada"
"57","Energy Fuels","UUUU","1126695936","7.24","United States"
"58","Denison Mines","DNN","1122233088","1.39","Canada"
"59","SilverCrest Metals","SILV","1094423424","7.54","Canada"
"60","NLC India","NLCINDIA.NS","1094288381","0.79","India"
"61","New Found Gold","NFGC","1022916160","6.23","Canada"
"62","Nexa Resources","NEXA","1013158336","7.65","Luxembourg"
"63","Mechel PAO","MTL","990793792","3.04","Russia"
"64","BEML","BEML.NS","976083716","23.44","India"
"65","Fortuna Silver Mines","FSM","939071104","3.22","Canada"
